id,date,6h,back-door,bathroom,bedroom,fridge-door,front-door,hallway,lounge,kitchen,total-events,unique-locations,active-location-ratio,private-to-public-ratio,location-entropy,location-dominance-ratio,back-and-forth-count,num-transitions
f220c,2019-05-21,00-06,0,4,4,0,2,8,0,0,18,4,0.5,1.0,1.84,0.44,0,6
f220c,2019-05-21,06-12,0,2,10,0,3,3,0,0,18,4,0.5,4.0,1.68,0.56,1,9
f220c,2019-05-21,12-18,0,3,9,8,6,9,0,0,35,5,0.62,1.33,2.23,0.26,3,20
f220c,2019-05-21,18-24,0,6,0,2,0,2,0,0,10,3,0.38,3.0,1.37,0.6,0,4
f220c,2019-05-22,00-06,0,2,5,4,0,6,0,0,17,4,0.5,1.17,1.9,0.35,3,10
f220c,2019-05-22,06-12,0,0,3,0,0,0,0,0,3,1,0.12,1.0,-0.0,1.0,0,1
f220c,2019-05-22,12-18,0,6,18,10,9,9,0,0,52,5,0.62,2.67,2.22,0.35,8,31
f220c,2019-05-22,18-24,0,1,1,2,0,1,0,0,5,4,0.5,2.0,1.92,0.4,0,4
f220c,2019-05-23,00-06,0,2,6,4,2,8,0,0,22,5,0.62,1.0,2.12,0.36,4,13
f220c,2019-05-23,06-12,0,3,6,2,2,3,0,0,16,5,0.62,3.0,2.19,0.37,0,8
f220c,2019-05-23,12-18,0,2,9,12,10,8,0,0,41,5,0.62,1.38,2.17,0.29,3,21
f220c,2019-05-23,18-24,0,0,5,2,0,1,0,0,8,3,0.38,5.0,1.3,0.62,0,4
f220c,2019-05-24,00-06,0,4,6,0,0,4,0,0,14,3,0.38,2.5,1.56,0.43,0,8
f220c,2019-05-24,06-12,0,3,8,0,0,3,0,0,14,3,0.38,3.67,1.41,0.57,2,7
f220c,2019-05-24,12-18,0,4,19,8,17,11,0,0,59,5,0.62,2.09,2.15,0.32,11,35
f220c,2019-05-24,18-24,0,0,3,6,0,0,0,0,9,2,0.25,1.0,0.92,0.67,0,4
f220c,2019-05-25,00-06,0,6,7,0,0,4,0,0,17,3,0.38,3.25,1.55,0.41,1,8
f220c,2019-05-25,06-12,0,4,13,8,2,4,0,0,31,5,0.62,4.25,2.05,0.42,1,15
f220c,2019-05-25,12-18,0,7,8,12,21,25,0,0,73,5,0.62,0.6,2.15,0.34,10,47
f220c,2019-05-25,18-24,0,1,3,0,0,4,0,0,8,3,0.38,1.0,1.41,0.5,1,6
f220c,2019-05-26,00-06,0,3,8,4,0,5,0,0,20,4,0.5,2.2,1.9,0.4,0,6
f220c,2019-05-26,06-12,0,3,20,6,2,3,0,0,34,5,0.62,7.67,1.75,0.59,1,10
f220c,2019-05-26,12-18,13,2,20,24,33,24,0,0,116,6,0.75,0.92,2.35,0.28,7,61
f220c,2019-05-26,18-24,0,4,1,6,2,5,0,0,18,5,0.62,1.0,2.11,0.33,0,9
f220c,2019-05-27,00-06,0,0,2,0,0,0,0,0,2,1,0.12,1.0,-0.0,1.0,0,1
f220c,2019-05-27,06-12,0,2,15,4,0,2,0,0,23,4,0.5,8.5,1.45,0.65,0,7
f220c,2019-05-27,12-18,0,5,6,8,4,6,0,0,29,5,0.62,1.83,2.28,0.28,2,16
f220c,2019-05-27,18-24,0,2,3,2,0,2,0,0,9,4,0.5,2.5,1.97,0.33,0,6
f220c,2019-05-28,00-06,0,2,10,2,0,5,0,0,19,4,0.5,2.4,1.68,0.53,3,9
f220c,2019-05-28,06-12,0,4,9,0,0,0,0,0,13,2,0.25,1.0,0.89,0.69,0,3
f220c,2019-05-28,12-18,0,1,15,12,12,6,0,0,46,5,0.62,2.67,2.04,0.33,3,24
f220c,2019-05-28,18-24,0,7,3,0,0,5,0,0,15,3,0.38,2.0,1.51,0.47,0,8
f220c,2019-05-29,00-06,0,2,10,0,0,3,0,0,15,3,0.38,4.0,1.24,0.67,1,7
f220c,2019-05-29,06-12,0,4,9,0,0,2,0,0,15,3,0.38,6.5,1.34,0.6,0,5
f220c,2019-05-29,12-18,0,4,5,10,8,5,0,0,32,5,0.62,1.8,2.24,0.31,0,17
f220c,2019-05-29,18-24,0,2,3,0,2,2,0,0,9,4,0.5,2.5,1.97,0.33,0,6
f220c,2019-05-30,00-06,0,6,7,4,0,7,0,0,24,4,0.5,1.86,1.97,0.29,2,13
f220c,2019-05-30,06-12,0,3,9,4,0,1,0,0,17,4,0.5,12.0,1.66,0.53,0,5
f220c,2019-05-30,12-18,0,2,22,6,6,6,0,0,42,5,0.62,4.0,1.9,0.52,2,19
f220c,2019-05-30,18-24,0,5,10,2,0,6,0,0,23,4,0.5,2.5,1.81,0.43,0,11
f220c,2019-05-31,00-06,0,2,4,0,0,3,0,0,9,3,0.38,2.0,1.53,0.44,0,4
f220c,2019-05-31,06-12,0,4,11,2,2,5,0,0,24,5,0.62,3.0,2.02,0.46,0,13
f220c,2019-05-31,12-18,10,5,12,20,19,17,0,0,83,6,0.75,1.0,2.47,0.24,4,42
f220c,2019-05-31,18-24,0,3,3,4,0,3,0,0,13,4,0.5,2.0,1.99,0.31,0,5
f220c,2019-06-01,00-06,0,10,14,12,3,8,0,0,47,5,0.62,3.0,2.19,0.3,0,15
f220c,2019-06-01,06-12,0,5,8,6,2,5,0,0,26,5,0.62,2.6,2.21,0.31,1,17
f220c,2019-06-01,12-18,3,9,15,10,15,19,0,0,71,6,0.75,1.26,2.43,0.27,9,45
f220c,2019-06-01,18-24,0,4,8,2,0,2,0,0,16,4,0.5,6.0,1.75,0.5,0,7
f220c,2019-06-02,00-06,0,6,19,2,0,9,0,0,36,4,0.5,2.78,1.65,0.53,2,15
f220c,2019-06-02,06-12,2,3,17,12,5,7,0,0,46,6,0.75,2.86,2.25,0.37,2,20
f220c,2019-06-02,12-18,3,5,19,22,19,16,0,0,84,6,0.75,1.5,2.35,0.26,10,45
f220c,2019-06-02,18-24,0,2,5,2,0,4,0,0,13,4,0.5,1.75,1.88,0.38,0,7
f220c,2019-06-03,00-06,0,3,9,4,0,3,0,0,19,4,0.5,4.0,1.82,0.47,1,9
f220c,2019-06-03,06-12,0,2,17,0,0,2,0,0,21,3,0.38,9.5,0.89,0.81,0,5
f220c,2019-06-03,12-18,0,5,11,10,4,7,0,0,37,5,0.62,2.29,2.22,0.3,4,23
f220c,2019-06-03,18-24,0,3,4,0,0,3,0,0,10,3,0.38,2.33,1.57,0.4,2,7
f220c,2019-06-04,00-06,0,3,7,6,0,7,0,0,23,4,0.5,1.43,1.93,0.3,1,11
f220c,2019-06-04,06-12,0,3,31,0,9,5,0,0,48,4,0.5,6.8,1.45,0.65,2,16
f220c,2019-06-04,12-18,0,5,14,16,11,6,0,0,52,5,0.62,3.17,2.19,0.31,2,24
f220c,2019-06-04,18-24,0,1,6,0,0,2,0,0,9,3,0.38,3.5,1.22,0.67,1,5
f220c,2019-06-05,00-06,0,5,15,4,0,10,0,0,34,4,0.5,2.0,1.81,0.44,1,15
f220c,2019-06-05,06-12,0,5,18,2,0,4,0,0,29,4,0.5,5.75,1.52,0.62,0,10
f220c,2019-06-05,12-18,0,6,7,12,8,6,0,0,39,5,0.62,2.17,2.27,0.31,1,21
f220c,2019-06-05,18-24,0,4,3,2,0,7,0,0,16,4,0.5,1.0,1.85,0.44,2,10
f220c,2019-06-06,00-06,0,4,4,4,0,2,0,0,14,4,0.5,4.0,1.95,0.29,0,5
f220c,2019-06-06,06-12,0,3,6,0,0,2,0,0,11,3,0.38,4.5,1.44,0.55,0,5
f220c,2019-06-06,12-18,4,5,18,26,16,13,0,0,82,6,0.75,1.77,2.35,0.32,5,41
f220c,2019-06-06,18-24,0,2,3,4,0,2,0,0,11,4,0.5,2.5,1.94,0.36,0,6
f220c,2019-06-07,00-06,0,3,5,4,0,4,0,0,16,4,0.5,2.0,1.98,0.31,2,8
f220c,2019-06-07,06-12,0,3,9,2,0,1,0,0,15,4,0.5,12.0,1.55,0.6,0,6
f220c,2019-06-07,12-18,0,2,11,6,8,6,0,0,33,5,0.62,2.17,2.16,0.33,3,17
f220c,2019-06-07,18-24,0,3,6,0,0,3,0,0,12,3,0.38,3.0,1.5,0.5,1,6
f220c,2019-06-08,00-06,0,0,1,0,0,0,0,0,1,1,0.12,1.0,-0.0,1.0,0,1
f220c,2019-06-08,06-12,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
f220c,2019-06-08,12-18,0,4,13,6,6,11,0,0,40,5,0.62,1.55,2.19,0.32,11,29
f220c,2019-06-08,18-24,0,2,1,0,0,2,0,0,5,3,0.38,1.5,1.52,0.4,0,4
f220c,2019-06-09,00-06,0,5,12,0,0,4,0,0,21,3,0.38,4.25,1.41,0.57,0,8
f220c,2019-06-09,06-12,0,3,10,4,4,4,0,0,25,5,0.62,3.25,2.16,0.4,3,12
f220c,2019-06-09,12-18,6,4,31,18,17,18,0,0,94,6,0.75,1.94,2.33,0.33,2,45
f220c,2019-06-09,18-24,0,2,5,2,0,5,0,0,14,4,0.5,1.4,1.86,0.36,0,8
f220c,2019-06-10,00-06,0,3,5,2,0,5,0,0,15,4,0.5,1.6,1.91,0.33,3,10
f220c,2019-06-10,06-12,0,4,8,0,3,2,0,0,17,4,0.5,6.0,1.81,0.47,0,6
f220c,2019-06-10,12-18,1,4,12,12,14,8,0,0,51,6,0.75,2.0,2.31,0.27,3,26
f220c,2019-06-10,18-24,0,5,3,0,2,5,0,0,15,4,0.5,1.6,1.91,0.33,0,10
f220c,2019-06-11,00-06,0,6,10,2,0,8,0,0,26,4,0.5,2.0,1.83,0.38,5,19
f220c,2019-06-11,06-12,0,3,22,0,5,3,0,0,33,4,0.5,8.33,1.43,0.67,1,10
f220c,2019-06-11,12-18,0,5,17,5,13,9,0,0,49,5,0.62,2.44,2.16,0.35,3,25
f220c,2019-06-11,18-24,0,3,2,0,0,3,0,0,8,3,0.38,1.67,1.56,0.37,0,4
f220c,2019-06-12,00-06,0,4,7,0,0,3,0,0,14,3,0.38,3.67,1.49,0.5,2,6
f220c,2019-06-12,06-12,0,5,17,0,0,4,0,0,26,3,0.38,5.5,1.27,0.65,0,9
f220c,2019-06-12,12-18,0,0,9,0,6,2,0,0,17,3,0.38,4.5,1.38,0.53,1,7
f220c,2019-06-12,18-24,0,3,9,0,0,4,0,0,16,3,0.38,3.0,1.42,0.56,3,9
f220c,2019-06-13,00-06,0,0,3,0,0,0,0,0,3,1,0.12,1.0,-0.0,1.0,0,1
f220c,2019-06-13,06-12,0,4,17,0,2,5,0,0,28,4,0.5,4.2,1.55,0.61,0,12
f220c,2019-06-13,12-18,0,2,6,0,4,5,0,0,17,4,0.5,1.6,1.9,0.35,1,10
f220c,2019-06-13,18-24,0,3,2,0,0,4,0,0,9,3,0.38,1.25,1.53,0.44,2,8
