id,date,6h,back-door,bathroom,bedroom,fridge-door,front-door,hallway,lounge,kitchen,total-events,unique-locations,active-location-ratio,private-to-public-ratio,location-entropy,location-dominance-ratio,back-and-forth-count,num-transitions
f220c,2019-06-28,00-06,0,4,10,0,0,7,0,0,21,3,0.38,2.0,1.49,0.48,2,11
f220c,2019-06-28,06-12,0,0,7,0,0,0,0,0,7,1,0.12,1.0,-0.0,1.0,0,1
f220c,2019-06-28,12-18,0,7,16,18,17,15,0,0,73,5,0.62,1.53,2.26,0.25,4,40
f220c,2019-06-28,18-24,0,0,1,0,0,2,0,0,3,2,0.25,0.5,0.92,0.67,0,2
f220c,2019-06-29,00-06,0,8,7,2,2,5,0,0,24,5,0.62,3.0,2.12,0.33,0,10
f220c,2019-06-29,06-12,0,4,18,4,2,4,0,0,32,5,0.62,5.5,1.84,0.56,2,15
f220c,2019-06-29,12-18,0,5,43,16,16,30,0,0,110,5,0.62,1.6,2.05,0.39,16,63
f220c,2019-06-29,18-24,0,4,6,4,0,7,0,0,21,4,0.5,1.43,1.96,0.33,0,12
f220c,2019-06-30,00-06,0,4,9,2,0,5,0,0,20,4,0.5,2.6,1.81,0.45,0,9
f220c,2019-06-30,06-12,0,3,14,2,5,4,0,0,28,5,0.62,4.25,1.96,0.5,1,12
f220c,2019-06-30,12-18,0,5,34,20,13,18,0,0,90,5,0.62,2.17,2.11,0.38,12,52
f220c,2019-06-30,18-24,0,0,4,0,0,5,0,0,9,2,0.25,0.8,0.99,0.56,0,4
