id,date,6h,back-door,bathroom,bedroom,fridge-door,kitchen,front-door,hallway,lounge,total-events,unique-locations,active-location-ratio,private-to-public-ratio,location-entropy,location-dominance-ratio,back-and-forth-count,num-transitions
a539e,2019-05-07,18-24,0,1,2,0,12,0,0,0,15,3,0.38,0.25,0.91,0.8,1,4
a539e,2019-05-08,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-05-08,06-12,4,5,1,0,28,0,0,0,38,4,0.5,0.21,1.19,0.74,2,13
a539e,2019-05-08,12-18,0,2,1,0,18,0,0,0,21,3,0.38,0.17,0.72,0.86,1,6
a539e,2019-05-08,18-24,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-05-09,00-06,0,0,0,0,1,0,0,0,1,1,0.12,0.0,-0.0,1.0,0,1
a539e,2019-05-09,06-12,8,1,1,0,28,0,0,0,38,4,0.5,0.07,1.07,0.74,3,11
a539e,2019-05-09,12-18,2,3,0,0,6,0,0,0,11,3,0.38,0.5,1.44,0.55,2,6
a539e,2019-05-09,18-24,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-05-10,00-06,0,0,0,0,2,0,0,0,2,1,0.12,0.0,-0.0,1.0,0,1
a539e,2019-05-10,06-12,0,0,2,0,23,0,0,0,25,2,0.25,0.09,0.4,0.92,2,5
a539e,2019-05-10,12-18,0,0,0,0,4,0,0,0,4,1,0.12,0.0,-0.0,1.0,0,1
a539e,2019-05-10,18-24,2,3,2,0,26,0,0,0,33,4,0.5,0.19,1.08,0.79,4,11
a539e,2019-05-11,00-06,4,3,1,0,12,0,0,0,20,4,0.5,0.33,1.53,0.6,1,10
a539e,2019-05-11,06-12,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-05-11,12-18,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-05-11,18-24,4,5,1,0,15,0,0,0,25,4,0.5,0.4,1.52,0.6,4,12
a539e,2019-05-12,00-06,0,6,0,0,5,0,0,0,11,2,0.25,1.2,0.99,0.55,0,5
a539e,2019-05-12,06-12,0,0,0,0,3,0,0,0,3,1,0.12,0.0,-0.0,1.0,0,1
a539e,2019-05-12,12-18,0,0,0,0,2,0,0,0,2,1,0.12,0.0,-0.0,1.0,0,1
a539e,2019-05-12,18-24,2,1,0,0,6,0,0,0,9,3,0.38,0.17,1.22,0.67,0,4
a539e,2019-05-13,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-05-13,06-12,0,10,3,0,14,0,0,0,27,3,0.38,0.93,1.37,0.52,4,12
a539e,2019-05-13,12-18,2,3,2,0,10,0,0,0,17,4,0.5,0.5,1.62,0.59,5,12
a539e,2019-05-13,18-24,0,0,0,0,2,0,0,0,2,1,0.12,0.0,-0.0,1.0,0,1
a539e,2019-05-14,00-06,0,0,0,0,1,0,0,0,1,1,0.12,0.0,-0.0,1.0,0,1
a539e,2019-05-14,06-12,0,2,1,0,16,0,0,0,19,3,0.38,0.19,0.77,0.84,1,5
a539e,2019-05-14,12-18,0,3,0,0,3,0,0,0,6,2,0.25,1.0,1.0,0.5,0,3
a539e,2019-05-14,18-24,0,0,0,0,1,0,0,0,1,1,0.12,0.0,-0.0,1.0,0,1
a539e,2019-05-15,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-05-15,06-12,2,1,5,0,25,0,0,0,33,4,0.5,0.24,1.11,0.76,6,15
a539e,2019-05-15,12-18,3,7,7,0,47,0,0,0,64,4,0.5,0.3,1.23,0.73,10,29
a539e,2019-05-15,18-24,15,19,12,0,44,0,0,0,90,4,0.5,0.7,1.8,0.49,15,49
a539e,2019-05-16,00-06,0,9,14,0,17,0,0,0,40,3,0.38,1.35,1.54,0.42,7,16
a539e,2019-05-16,06-12,14,43,17,0,60,0,0,0,134,4,0.5,1.0,1.76,0.45,26,78
a539e,2019-05-16,12-18,5,15,14,0,60,0,0,0,94,4,0.5,0.48,1.47,0.64,12,45
a539e,2019-05-16,18-24,24,19,14,0,52,0,0,0,109,4,0.5,0.63,1.81,0.48,10,52
a539e,2019-05-17,00-06,0,6,6,0,4,0,0,0,16,3,0.38,3.0,1.56,0.37,1,9
a539e,2019-05-17,06-12,6,44,20,15,81,0,0,0,166,5,0.62,0.79,1.87,0.49,29,88
a539e,2019-05-17,12-18,16,21,7,34,45,0,0,0,123,5,0.62,0.62,2.1,0.37,19,70
a539e,2019-05-17,18-24,33,14,16,12,45,0,0,0,120,5,0.62,0.67,2.12,0.37,12,69
a539e,2019-05-18,00-06,3,9,10,6,13,0,0,0,41,5,0.62,1.46,2.18,0.32,3,19
a539e,2019-05-18,06-12,18,41,33,22,53,0,0,0,167,5,0.62,1.4,2.22,0.32,32,101
a539e,2019-05-18,12-18,17,12,4,8,16,0,0,0,57,5,0.62,1.0,2.17,0.3,8,32
a539e,2019-05-18,18-24,27,9,15,12,48,0,0,0,111,5,0.62,0.5,2.05,0.43,20,60
a539e,2019-05-19,00-06,0,10,13,2,3,0,0,0,28,4,0.5,7.67,1.66,0.46,0,10
a539e,2019-05-19,06-12,17,41,18,28,62,0,0,0,166,5,0.62,0.95,2.15,0.37,24,92
a539e,2019-05-19,12-18,17,16,6,22,39,0,0,0,100,5,0.62,0.56,2.11,0.39,18,60
a539e,2019-05-19,18-24,16,15,13,12,46,0,0,0,102,5,0.62,0.61,2.09,0.45,21,55
a539e,2019-05-20,00-06,2,12,12,4,8,0,0,0,38,5,0.62,3.0,2.09,0.32,6,26
a539e,2019-05-20,06-12,17,39,21,34,69,0,0,0,180,5,0.62,0.87,2.15,0.38,35,110
a539e,2019-05-20,12-18,7,11,1,14,44,0,0,0,77,5,0.62,0.27,1.71,0.57,9,33
a539e,2019-05-20,18-24,9,13,11,24,57,0,0,0,114,5,0.62,0.42,1.95,0.5,15,53
a539e,2019-05-21,00-06,0,6,8,2,5,0,0,0,21,4,0.5,2.8,1.86,0.38,2,13
a539e,2019-05-21,06-12,27,49,28,32,62,0,0,0,198,5,0.62,1.24,2.24,0.31,45,133
a539e,2019-05-21,12-18,4,14,10,41,66,0,0,0,135,5,0.62,0.36,1.79,0.49,27,72
a539e,2019-05-21,18-24,21,18,18,20,52,0,0,0,129,5,0.62,0.69,2.16,0.4,20,82
a539e,2019-05-22,00-06,0,11,14,2,22,0,0,0,49,4,0.5,1.14,1.71,0.45,4,16
a539e,2019-05-22,06-12,15,52,25,66,77,0,0,0,235,5,0.62,1.0,2.12,0.33,46,153
a539e,2019-05-22,12-18,12,36,25,34,58,0,0,0,165,5,0.62,1.05,2.17,0.35,30,115
a539e,2019-05-22,18-24,15,30,16,24,72,0,0,0,157,5,0.62,0.64,2.05,0.46,23,85
a539e,2019-05-23,00-06,3,26,11,10,15,0,0,0,65,5,0.62,2.47,2.07,0.4,2,19
a539e,2019-05-23,06-12,8,24,25,62,48,0,0,0,167,5,0.62,1.02,2.07,0.37,18,90
a539e,2019-05-23,12-18,7,7,19,60,88,0,0,0,181,5,0.62,0.3,1.74,0.49,16,79
a539e,2019-05-23,18-24,26,10,21,14,61,0,0,0,132,5,0.62,0.51,2.02,0.46,21,71
a539e,2019-05-24,00-06,2,8,10,2,5,0,0,0,27,5,0.62,3.6,2.06,0.37,1,14
a539e,2019-05-24,06-12,16,42,27,42,69,0,0,0,196,5,0.62,1.0,2.17,0.35,41,127
a539e,2019-05-24,12-18,16,19,5,8,28,0,0,0,76,5,0.62,0.86,2.1,0.37,18,52
a539e,2019-05-24,18-24,14,19,21,28,49,0,0,0,131,5,0.62,0.82,2.18,0.37,14,81
a539e,2019-05-25,00-06,2,13,14,4,15,0,0,0,48,5,0.62,1.8,2.04,0.31,2,21
a539e,2019-05-25,06-12,8,52,24,28,66,0,0,0,178,5,0.62,1.15,2.06,0.37,33,107
a539e,2019-05-25,12-18,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-05-25,18-24,0,3,1,4,11,0,0,0,19,4,0.5,0.36,1.57,0.58,0,7
a539e,2019-05-26,00-06,0,4,0,2,4,0,0,0,10,3,0.38,1.0,1.52,0.4,1,7
a539e,2019-05-26,06-12,0,0,0,0,1,0,0,0,1,1,0.12,0.0,-0.0,1.0,0,1
a539e,2019-05-26,12-18,0,0,0,0,1,0,0,0,1,1,0.12,0.0,-0.0,1.0,0,1
a539e,2019-05-26,18-24,6,1,1,14,26,0,0,0,48,5,0.62,0.08,1.61,0.54,5,23
a539e,2019-05-27,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-05-27,06-12,1,2,1,12,18,0,0,0,34,5,0.62,0.17,1.56,0.53,4,16
a539e,2019-05-27,12-18,3,3,0,2,9,0,0,0,17,4,0.5,0.33,1.73,0.53,4,12
a539e,2019-05-27,18-24,0,0,0,0,1,0,0,0,1,1,0.12,0.0,-0.0,1.0,0,1
a539e,2019-05-28,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-05-28,06-12,0,5,0,16,19,0,0,0,40,3,0.38,0.26,1.41,0.47,3,11
a539e,2019-05-28,12-18,0,3,1,0,4,0,0,0,8,3,0.38,1.0,1.41,0.5,0,4
a539e,2019-05-28,18-24,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-05-29,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-05-29,06-12,2,2,0,2,6,0,0,0,12,4,0.5,0.33,1.79,0.5,2,8
a539e,2019-05-29,12-18,0,4,0,0,6,0,0,0,10,2,0.25,0.67,0.97,0.6,1,5
a539e,2019-05-29,18-24,2,0,0,2,9,0,0,0,13,3,0.38,0.0,1.2,0.69,0,5
a539e,2019-05-30,00-06,0,1,0,0,4,0,0,0,5,2,0.25,0.25,0.72,0.8,0,2
a539e,2019-05-30,06-12,0,6,0,2,6,0,0,0,14,3,0.38,1.0,1.45,0.43,1,7
a539e,2019-05-30,12-18,0,4,0,0,17,0,0,0,21,2,0.25,0.24,0.7,0.81,0,4
a539e,2019-05-30,18-24,6,4,0,18,27,0,0,0,55,4,0.5,0.15,1.65,0.49,11,30
a539e,2019-05-31,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-05-31,06-12,2,3,1,10,20,0,0,0,36,5,0.62,0.2,1.66,0.56,13,24
a539e,2019-05-31,12-18,2,3,0,10,11,0,0,0,26,4,0.5,0.27,1.7,0.42,3,14
a539e,2019-05-31,18-24,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-06-01,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-06-01,06-12,2,0,2,2,9,0,0,0,15,4,0.5,0.22,1.6,0.6,3,10
a539e,2019-06-01,12-18,0,5,2,2,13,0,0,0,22,4,0.5,0.54,1.56,0.59,4,13
a539e,2019-06-01,18-24,0,0,0,0,3,0,0,0,3,1,0.12,0.0,-0.0,1.0,0,1
a539e,2019-06-02,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-06-02,06-12,0,3,1,0,4,0,0,0,8,3,0.38,1.0,1.41,0.5,0,4
a539e,2019-06-02,12-18,5,9,0,10,20,0,0,0,44,4,0.5,0.45,1.83,0.45,9,26
a539e,2019-06-02,18-24,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-06-03,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-06-03,06-12,0,0,2,0,1,0,0,0,3,2,0.25,2.0,0.92,0.67,0,2
a539e,2019-06-03,12-18,0,6,1,2,10,0,0,0,19,4,0.5,0.7,1.58,0.53,0,8
a539e,2019-06-03,18-24,0,3,1,2,14,0,0,0,20,4,0.5,0.29,1.32,0.7,5,10
a539e,2019-06-04,00-06,0,1,0,0,0,0,0,0,1,1,0.12,1.0,-0.0,1.0,0,1
a539e,2019-06-04,06-12,2,2,1,0,5,0,0,0,10,4,0.5,0.6,1.76,0.5,1,6
a539e,2019-06-04,12-18,0,3,1,0,7,0,0,0,11,3,0.38,0.57,1.24,0.64,1,5
a539e,2019-06-04,18-24,6,2,1,10,19,0,0,0,38,5,0.62,0.16,1.79,0.5,10,24
a539e,2019-06-05,00-06,0,0,0,0,4,0,0,0,4,1,0.12,0.0,-0.0,1.0,0,1
a539e,2019-06-05,06-12,0,2,1,2,6,0,0,0,11,4,0.5,0.5,1.69,0.55,1,7
a539e,2019-06-05,12-18,20,8,9,14,62,0,0,0,113,5,0.62,0.27,1.85,0.55,21,59
a539e,2019-06-05,18-24,20,16,10,8,62,0,0,0,116,5,0.62,0.42,1.89,0.53,21,67
a539e,2019-06-06,00-06,0,7,11,0,4,0,0,0,22,3,0.38,4.5,1.47,0.5,1,12
a539e,2019-06-06,06-12,53,44,26,14,44,0,0,0,181,5,0.62,1.59,2.2,0.29,33,99
a539e,2019-06-06,12-18,43,15,3,20,50,0,0,0,131,5,0.62,0.36,1.95,0.38,19,63
a539e,2019-06-06,18-24,18,10,12,70,67,0,0,0,177,5,0.62,0.33,1.89,0.4,31,96
a539e,2019-06-07,00-06,4,4,13,2,8,0,0,0,31,5,0.62,2.12,2.05,0.42,3,14
a539e,2019-06-07,06-12,6,36,22,18,50,0,0,0,132,5,0.62,1.16,2.07,0.38,25,87
a539e,2019-06-07,12-18,16,18,7,30,44,0,0,0,115,5,0.62,0.57,2.1,0.38,18,59
a539e,2019-06-07,18-24,20,16,21,17,45,0,0,0,119,5,0.62,0.82,2.19,0.38,16,66
a539e,2019-06-08,00-06,0,10,10,2,4,0,0,0,26,4,0.5,5.0,1.76,0.38,2,14
a539e,2019-06-08,06-12,2,29,22,30,36,0,0,0,119,5,0.62,1.42,2.07,0.3,15,54
a539e,2019-06-08,12-18,12,8,15,30,39,0,0,0,104,5,0.62,0.59,2.1,0.37,16,60
a539e,2019-06-08,18-24,12,10,9,28,59,0,0,0,118,5,0.62,0.32,1.91,0.5,12,58
a539e,2019-06-09,00-06,0,9,11,2,2,0,0,0,24,4,0.5,10.0,1.64,0.46,1,11
a539e,2019-06-09,06-12,19,44,26,16,58,0,0,0,163,5,0.62,1.21,2.15,0.36,24,102
a539e,2019-06-09,12-18,6,15,10,16,47,0,0,0,94,5,0.62,0.53,1.95,0.5,22,64
a539e,2019-06-09,18-24,22,12,10,26,50,0,0,0,120,5,0.62,0.44,2.08,0.42,16,64
a539e,2019-06-10,00-06,0,6,9,0,2,0,0,0,17,3,0.38,7.5,1.38,0.53,1,10
a539e,2019-06-10,06-12,12,47,18,18,51,0,0,0,146,5,0.62,1.27,2.1,0.35,20,84
a539e,2019-06-10,12-18,2,13,11,26,65,0,0,0,117,5,0.62,0.37,1.73,0.56,16,50
a539e,2019-06-10,18-24,8,10,15,30,52,0,0,0,115,5,0.62,0.48,1.98,0.45,19,56
a539e,2019-06-11,00-06,0,6,9,2,2,0,0,0,19,4,0.5,7.5,1.72,0.47,1,12
a539e,2019-06-11,06-12,12,35,25,50,75,0,0,0,197,5,0.62,0.8,2.1,0.38,26,109
a539e,2019-06-11,12-18,18,19,10,12,40,0,0,0,99,5,0.62,0.72,2.14,0.4,18,60
a539e,2019-06-11,18-24,10,14,11,22,46,0,0,0,103,5,0.62,0.54,2.06,0.45,11,52
a539e,2019-06-12,00-06,0,10,10,2,5,0,0,0,27,4,0.5,4.0,1.79,0.37,1,17
a539e,2019-06-12,06-12,3,29,14,12,43,0,0,0,101,5,0.62,1.0,1.95,0.43,17,59
a539e,2019-06-12,12-18,16,16,10,26,51,0,0,0,119,5,0.62,0.51,2.08,0.43,11,61
a539e,2019-06-12,18-24,18,15,11,26,48,0,0,0,118,5,0.62,0.54,2.12,0.41,8,56
a539e,2019-06-13,00-06,0,8,7,0,0,0,0,0,15,2,0.25,1.0,1.0,0.53,1,8
a539e,2019-06-13,06-12,27,44,27,26,61,0,0,0,185,5,0.62,1.16,2.23,0.33,39,122
a539e,2019-06-13,12-18,8,8,4,13,20,0,0,0,53,5,0.62,0.6,2.13,0.38,8,33
a539e,2019-06-13,18-24,12,15,10,29,47,0,0,0,113,5,0.62,0.53,2.07,0.42,15,64
a539e,2019-06-14,00-06,0,6,6,2,1,0,0,0,15,4,0.5,12.0,1.71,0.4,0,7
a539e,2019-06-14,06-12,4,38,18,30,78,0,0,0,168,5,0.62,0.72,1.92,0.46,27,93
a539e,2019-06-14,12-18,13,20,10,36,52,0,0,0,131,5,0.62,0.58,2.07,0.4,21,81
a539e,2019-06-14,18-24,6,11,16,34,56,0,0,0,123,5,0.62,0.48,1.94,0.46,17,58
a539e,2019-06-15,00-06,0,11,15,2,2,0,0,0,30,4,0.5,13.0,1.55,0.5,1,13
a539e,2019-06-15,06-12,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-06-15,12-18,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-06-15,18-24,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-06-17,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-06-17,06-12,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-06-17,12-18,2,13,4,4,31,0,0,0,54,5,0.62,0.55,1.69,0.57,6,29
a539e,2019-06-17,18-24,13,20,15,4,23,0,0,0,75,5,0.62,1.52,2.16,0.31,16,48
a539e,2019-06-18,00-06,0,5,12,2,3,0,0,0,22,4,0.5,5.67,1.67,0.55,3,11
a539e,2019-06-18,06-12,6,44,20,20,50,0,0,0,140,5,0.62,1.28,2.05,0.36,29,86
a539e,2019-06-18,12-18,9,13,4,22,36,0,0,0,84,5,0.62,0.47,2.0,0.43,14,46
a539e,2019-06-18,18-24,14,14,21,12,52,0,0,0,113,5,0.62,0.67,2.06,0.46,11,60
a539e,2019-06-19,00-06,4,13,15,2,7,0,0,0,41,5,0.62,4.0,2.03,0.37,0,19
a539e,2019-06-19,06-12,15,43,18,22,44,0,0,0,142,5,0.62,1.39,2.18,0.31,23,81
a539e,2019-06-19,12-18,10,13,4,26,52,0,0,0,105,5,0.62,0.33,1.88,0.5,9,47
a539e,2019-06-19,18-24,12,16,13,28,50,0,0,0,119,5,0.62,0.58,2.09,0.42,17,63
a539e,2019-06-20,00-06,4,6,7,2,7,0,0,0,26,5,0.62,1.86,2.21,0.27,1,14
a539e,2019-06-20,06-12,8,40,13,34,48,0,0,0,143,5,0.62,1.1,2.08,0.34,31,89
a539e,2019-06-20,12-18,4,9,0,8,14,0,0,0,35,4,0.5,0.64,1.88,0.4,4,23
a539e,2019-06-20,18-24,2,10,9,28,34,0,0,0,83,5,0.62,0.56,1.9,0.41,7,40
a539e,2019-06-21,00-06,2,9,7,0,4,0,0,0,22,4,0.5,4.0,1.81,0.41,0,12
a539e,2019-06-21,06-12,17,33,15,28,71,0,0,0,164,5,0.62,0.68,2.08,0.43,28,99
a539e,2019-06-21,12-18,10,34,20,14,82,0,0,0,160,5,0.62,0.66,1.9,0.51,29,101
a539e,2019-06-21,18-24,6,17,6,14,48,0,0,0,91,5,0.62,0.48,1.87,0.53,10,40
a539e,2019-06-22,00-06,2,11,7,10,20,0,0,0,50,5,0.62,0.9,2.06,0.4,6,28
a539e,2019-06-22,06-12,21,45,23,18,83,0,0,0,190,5,0.62,0.82,2.06,0.44,31,107
a539e,2019-06-22,12-18,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-06-22,18-24,2,2,2,4,10,0,0,0,20,5,0.62,0.4,1.96,0.5,1,9
a539e,2019-06-23,00-06,0,2,0,0,2,0,0,0,4,2,0.25,1.0,1.0,0.5,0,2
a539e,2019-06-23,06-12,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-06-23,12-18,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-06-23,18-24,2,3,3,0,4,0,0,0,12,4,0.5,1.5,1.96,0.33,1,8
a539e,2019-06-24,00-06,0,2,0,0,0,0,0,0,2,1,0.12,1.0,-0.0,1.0,0,1
a539e,2019-06-24,06-12,2,5,0,2,7,0,0,0,16,4,0.5,0.71,1.8,0.44,1,10
a539e,2019-06-24,12-18,8,14,0,18,17,0,0,0,57,4,0.5,0.82,1.94,0.32,4,28
a539e,2019-06-24,18-24,0,0,0,0,1,0,0,0,1,1,0.12,0.0,-0.0,1.0,0,1
a539e,2019-06-25,00-06,0,0,1,0,0,0,0,0,1,1,0.12,1.0,-0.0,1.0,0,1
a539e,2019-06-25,06-12,4,0,0,2,6,0,0,0,12,3,0.38,0.0,1.46,0.5,0,6
a539e,2019-06-25,12-18,2,6,0,2,5,0,0,0,15,4,0.5,1.2,1.83,0.4,3,9
a539e,2019-06-25,18-24,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-06-26,00-06,0,0,1,0,0,0,0,0,1,1,0.12,1.0,-0.0,1.0,0,1
a539e,2019-06-26,06-12,4,0,0,0,9,0,0,0,13,2,0.25,0.0,0.89,0.69,3,6
a539e,2019-06-26,12-18,1,4,2,2,11,0,0,0,20,5,0.62,0.55,1.82,0.55,4,11
a539e,2019-06-26,18-24,3,2,0,8,20,0,0,0,33,4,0.5,0.1,1.49,0.61,6,18
a539e,2019-06-27,00-06,0,2,2,0,0,0,0,0,4,2,0.25,1.0,1.0,0.5,0,2
a539e,2019-06-27,06-12,12,9,3,18,20,0,0,0,62,5,0.62,0.6,2.12,0.32,10,36
a539e,2019-06-27,12-18,2,0,2,0,4,0,0,0,8,3,0.38,0.5,1.5,0.5,0,3
a539e,2019-06-27,18-24,0,2,1,0,16,0,0,0,19,3,0.38,0.19,0.77,0.84,2,6
a539e,2019-06-28,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-06-28,06-12,3,3,0,16,26,0,0,0,48,4,0.5,0.12,1.51,0.54,12,26
a539e,2019-06-28,12-18,3,5,5,2,8,0,0,0,23,5,0.62,1.25,2.18,0.35,0,13
a539e,2019-06-28,18-24,0,0,1,0,0,0,0,0,1,1,0.12,1.0,-0.0,1.0,0,1
a539e,2019-06-29,00-06,0,0,1,0,0,0,0,0,1,1,0.12,1.0,-0.0,1.0,0,1
a539e,2019-06-29,06-12,2,0,0,4,8,0,0,0,14,3,0.38,0.0,1.38,0.57,2,9
a539e,2019-06-29,12-18,0,4,2,2,7,0,0,0,15,4,0.5,0.86,1.8,0.47,3,12
a539e,2019-06-29,18-24,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-06-30,00-06,0,0,1,0,0,0,0,0,1,1,0.12,1.0,-0.0,1.0,0,1
a539e,2019-06-30,06-12,6,1,2,10,28,0,0,0,47,5,0.62,0.11,1.61,0.6,11,27
a539e,2019-06-30,12-18,0,8,0,2,6,0,0,0,16,3,0.38,1.33,1.41,0.5,5,10
a539e,2019-06-30,18-24,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
