id,date,6h,back-door,bathroom,bedroom,fridge-door,kitchen,front-door,hallway,lounge,total-events,unique-locations,active-location-ratio,private-to-public-ratio,location-entropy,location-dominance-ratio,back-and-forth-count,num-transitions
a539e,2019-05-03,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-05-03,06-12,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-05-03,12-18,11,24,21,19,31,0,0,0,106,5,0.62,1.45,2.25,0.29,15,64
a539e,2019-05-03,18-24,15,14,20,14,38,0,0,0,101,5,0.62,0.89,2.19,0.38,12,54
a539e,2019-05-04,00-06,8,7,5,9,17,0,0,0,46,5,0.62,0.71,2.19,0.37,4,26
a539e,2019-05-04,06-12,15,37,21,40,65,0,0,0,178,5,0.62,0.89,2.15,0.37,31,98
a539e,2019-05-04,12-18,52,19,6,18,44,0,0,0,139,5,0.62,0.57,2.03,0.37,26,84
a539e,2019-05-04,18-24,44,13,23,22,76,0,0,0,178,5,0.62,0.47,2.05,0.43,22,95
a539e,2019-05-05,00-06,0,6,6,0,0,0,0,0,12,2,0.25,1.0,1.0,0.5,1,7
a539e,2019-05-05,06-12,16,46,25,57,85,0,0,0,229,5,0.62,0.84,2.11,0.37,44,138
a539e,2019-05-05,12-18,0,3,0,2,4,0,0,0,9,3,0.38,0.75,1.53,0.44,0,6
a539e,2019-05-05,18-24,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-05-06,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a539e,2019-05-06,06-12,2,0,1,2,10,0,0,0,15,4,0.5,0.1,1.43,0.67,0,6
a539e,2019-05-06,12-18,2,2,0,0,3,0,0,0,7,3,0.38,0.67,1.56,0.43,2,6
a539e,2019-05-06,18-24,4,3,4,4,15,0,0,0,30,5,0.62,0.47,1.99,0.5,1,14
a539e,2019-05-07,00-06,0,1,0,0,1,0,0,0,2,2,0.25,1.0,1.0,0.5,0,2
a539e,2019-05-07,06-12,2,6,4,7,15,0,0,0,34,5,0.62,0.67,2.04,0.44,5,21
a539e,2019-05-07,12-18,2,2,1,0,3,0,0,0,8,4,0.5,1.0,1.91,0.37,0,5
