id,date,6h,back-door,bedroom,fridge-door,front-door,hallway,kitchen,lounge,bathroom,total-events,unique-locations,active-location-ratio,private-to-public-ratio,location-entropy,location-dominance-ratio,back-and-forth-count,num-transitions
714d7,2019-05-13,00-06,0,7,0,0,1,2,0,0,10,3,0.38,2.33,1.16,0.7,0,3
714d7,2019-05-13,06-12,3,11,30,2,9,32,1,0,88,7,0.88,0.26,2.14,0.36,5,44
714d7,2019-05-13,12-18,3,4,6,10,28,25,31,0,107,7,0.88,0.05,2.39,0.29,11,79
714d7,2019-05-13,18-24,4,13,0,0,15,17,12,0,61,5,0.62,0.3,2.21,0.28,10,42
714d7,2019-05-14,00-06,0,5,0,0,1,3,0,0,9,3,0.38,1.25,1.35,0.56,0,3
714d7,2019-05-14,06-12,3,9,22,2,9,26,1,0,72,7,0.88,0.25,2.22,0.36,4,39
714d7,2019-05-14,12-18,7,4,6,8,28,27,21,0,101,7,0.88,0.05,2.48,0.28,11,79
714d7,2019-05-14,18-24,2,14,8,8,20,31,14,0,97,7,0.88,0.22,2.51,0.32,9,64
714d7,2019-05-15,00-06,0,5,0,0,0,1,0,0,6,2,0.25,5.0,0.65,0.83,0,2
714d7,2019-05-15,06-12,1,23,24,4,17,44,2,0,115,7,0.88,0.37,2.2,0.38,7,59
714d7,2019-05-15,12-18,7,2,14,14,26,28,21,0,112,7,0.88,0.03,2.55,0.25,15,89
714d7,2019-05-15,18-24,2,32,2,2,26,22,21,0,107,7,0.88,0.46,2.27,0.3,10,73
714d7,2019-05-16,00-06,0,1,0,0,0,0,0,0,1,1,0.12,1.0,-0.0,1.0,0,1
714d7,2019-05-16,06-12,1,27,34,10,36,57,15,0,180,7,0.88,0.25,2.43,0.32,19,123
714d7,2019-05-16,12-18,5,6,10,8,24,19,17,0,89,7,0.88,0.1,2.6,0.27,10,69
714d7,2019-05-16,18-24,2,17,2,8,39,39,28,0,135,7,0.88,0.16,2.3,0.29,17,95
714d7,2019-05-17,00-06,0,0,0,0,0,1,0,0,1,1,0.12,0.0,-0.0,1.0,0,1
714d7,2019-05-17,06-12,0,0,0,4,3,4,0,0,11,3,0.38,0.0,1.57,0.36,3,9
714d7,2019-05-17,12-18,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
714d7,2019-05-17,18-24,0,0,0,0,0,1,0,0,1,1,0.12,0.0,-0.0,1.0,0,1
714d7,2019-05-18,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
714d7,2019-05-18,06-12,0,0,0,4,2,3,0,0,9,3,0.38,0.0,1.53,0.44,1,7
714d7,2019-05-18,12-18,0,0,0,0,0,1,0,0,1,1,0.12,0.0,-0.0,1.0,0,1
714d7,2019-05-18,18-24,0,0,0,0,0,2,0,0,2,1,0.12,0.0,-0.0,1.0,0,1
714d7,2019-05-19,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
714d7,2019-05-19,06-12,0,0,0,4,2,5,0,0,11,3,0.38,0.0,1.49,0.45,0,6
714d7,2019-05-19,12-18,0,0,0,0,0,2,0,0,2,1,0.12,0.0,-0.0,1.0,0,1
714d7,2019-05-19,18-24,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
714d7,2019-05-20,00-06,0,0,0,0,0,1,0,0,1,1,0.12,0.0,-0.0,1.0,0,1
714d7,2019-05-20,06-12,0,0,0,4,2,3,0,0,9,3,0.38,0.0,1.53,0.44,0,6
714d7,2019-05-20,12-18,0,0,0,0,0,1,0,0,1,1,0.12,0.0,-0.0,1.0,0,1
714d7,2019-05-20,18-24,0,0,0,0,0,2,0,0,2,1,0.12,0.0,-0.0,1.0,0,1
714d7,2019-05-21,00-06,0,0,0,0,0,1,0,0,1,1,0.12,0.0,-0.0,1.0,0,1
714d7,2019-05-21,06-12,0,0,0,4,2,4,0,0,10,3,0.38,0.0,1.52,0.4,0,6
714d7,2019-05-21,12-18,0,0,0,0,0,1,0,0,1,1,0.12,0.0,-0.0,1.0,0,1
714d7,2019-05-21,18-24,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
714d7,2019-05-22,00-06,0,0,0,0,0,1,0,0,1,1,0.12,0.0,-0.0,1.0,0,1
714d7,2019-05-22,06-12,0,0,0,4,2,3,0,0,9,3,0.38,0.0,1.53,0.44,0,6
714d7,2019-05-22,12-18,0,0,0,0,0,1,0,0,1,1,0.12,0.0,-0.0,1.0,0,1
714d7,2019-05-22,18-24,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
714d7,2019-05-23,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
714d7,2019-05-23,06-12,0,0,0,0,0,1,0,0,1,1,0.12,0.0,-0.0,1.0,0,1
714d7,2019-05-23,12-18,0,0,0,4,2,5,0,0,11,3,0.38,0.0,1.49,0.45,1,7
714d7,2019-05-23,18-24,0,0,0,0,0,1,0,0,1,1,0.12,0.0,-0.0,1.0,0,1
714d7,2019-05-24,00-06,0,0,0,0,0,1,0,0,1,1,0.12,0.0,-0.0,1.0,0,1
714d7,2019-05-24,06-12,1,4,26,6,7,41,1,0,86,7,0.88,0.08,1.95,0.48,3,38
714d7,2019-05-24,12-18,3,15,32,10,35,44,23,0,162,7,0.88,0.15,2.52,0.27,16,114
714d7,2019-05-24,18-24,0,20,2,6,24,33,19,0,104,6,0.75,0.26,2.27,0.32,11,71
714d7,2019-05-25,00-06,0,5,0,0,0,2,0,0,7,2,0.25,2.5,0.86,0.71,1,4
714d7,2019-05-25,06-12,1,15,22,2,8,31,4,0,83,7,0.88,0.35,2.23,0.37,9,45
714d7,2019-05-25,12-18,0,3,32,10,42,48,39,0,174,6,0.75,0.02,2.28,0.28,20,126
714d7,2019-05-25,18-24,3,7,0,4,30,28,21,0,93,6,0.75,0.09,2.17,0.32,9,72
714d7,2019-05-26,00-06,0,3,2,0,2,3,0,0,10,4,0.5,0.6,1.97,0.3,0,6
714d7,2019-05-26,06-12,1,11,34,6,13,39,2,0,106,7,0.88,0.2,2.17,0.37,10,57
714d7,2019-05-26,12-18,5,7,23,8,30,38,23,0,134,7,0.88,0.08,2.51,0.28,10,94
714d7,2019-05-26,18-24,0,7,10,2,16,21,12,0,68,6,0.75,0.14,2.35,0.31,3,45
