id,date,6h,back-door,bedroom,fridge-door,front-door,hallway,kitchen,lounge,bathroom,total-events,unique-locations,active-location-ratio,private-to-public-ratio,location-entropy,location-dominance-ratio,back-and-forth-count,num-transitions
a380e,2019-04-29,00-06,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a380e,2019-04-29,06-12,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0
a380e,2019-04-29,12-18,0,3,15,6,9,37,71,0,141,6,0.75,0.03,1.91,0.5,23,77
a380e,2019-04-29,18-24,4,22,12,0,16,60,46,0,160,6,0.75,0.18,2.19,0.37,24,94
a380e,2019-04-30,00-06,0,10,0,0,0,0,0,0,10,1,0.12,1.0,-0.0,1.0,0,1
a380e,2019-04-30,06-12,4,30,8,0,13,23,30,0,108,6,0.75,0.45,2.32,0.28,16,61
a380e,2019-04-30,12-18,4,2,4,0,12,19,15,0,56,6,0.75,0.04,2.23,0.34,7,37
a380e,2019-04-30,18-24,0,18,22,0,11,45,38,0,134,5,0.62,0.19,2.16,0.34,23,79
a380e,2019-05-01,00-06,0,17,0,0,0,0,0,0,17,1,0.12,1.0,-0.0,1.0,0,1
a380e,2019-05-01,06-12,4,39,11,0,17,24,24,0,119,6,0.75,0.6,2.34,0.33,13,73
a380e,2019-05-01,12-18,0,5,22,0,7,59,36,0,129,5,0.62,0.05,1.88,0.46,17,65
a380e,2019-05-01,18-24,4,0,22,0,0,42,30,0,98,4,0.5,0.0,1.72,0.43,11,48
a380e,2019-05-02,00-06,0,24,0,0,1,3,2,0,30,4,0.5,4.0,1.01,0.8,1,6
a380e,2019-05-02,06-12,4,29,14,0,14,49,26,0,136,6,0.75,0.33,2.29,0.36,15,66
a380e,2019-05-02,12-18,12,8,26,0,16,67,58,0,187,6,0.75,0.06,2.2,0.36,34,104
a380e,2019-05-02,18-24,0,21,26,0,8,64,44,0,163,5,0.62,0.18,2.06,0.39,19,82
a380e,2019-05-03,00-06,0,12,0,0,0,0,0,0,12,1,0.12,1.0,-0.0,1.0,0,1
a380e,2019-05-03,06-12,4,21,10,0,8,51,35,0,129,6,0.75,0.22,2.16,0.4,18,72
a380e,2019-05-03,12-18,16,3,10,0,6,30,14,0,79,6,0.75,0.06,2.28,0.38,12,45
a380e,2019-05-03,18-24,0,13,16,0,4,55,44,0,132,5,0.62,0.13,1.91,0.42,29,69
a380e,2019-05-04,00-06,0,18,0,0,0,0,0,0,18,1,0.12,1.0,-0.0,1.0,0,1
a380e,2019-05-04,06-12,0,28,8,0,20,55,28,0,139,5,0.62,0.27,2.1,0.4,19,82
a380e,2019-05-04,12-18,4,12,26,0,15,65,39,0,161,6,0.75,0.1,2.18,0.4,21,82
a380e,2019-05-04,18-24,4,19,14,0,5,24,25,0,91,6,0.75,0.35,2.33,0.27,12,48
a380e,2019-05-05,00-06,0,14,0,0,0,0,0,0,14,1,0.12,1.0,-0.0,1.0,0,1
a380e,2019-05-05,06-12,0,32,6,0,19,28,18,0,103,5,0.62,0.49,2.16,0.31,11,60
a380e,2019-05-05,12-18,8,6,18,0,38,65,33,0,168,6,0.75,0.04,2.2,0.39,28,116
a380e,2019-05-05,18-24,0,15,24,0,5,31,29,0,104,5,0.62,0.23,2.14,0.3,16,55
a380e,2019-05-06,00-06,0,14,0,0,0,0,0,0,14,1,0.12,1.0,-0.0,1.0,0,1
a380e,2019-05-06,06-12,0,31,8,0,9,46,38,0,132,5,0.62,0.33,2.05,0.35,20,67
a380e,2019-05-06,12-18,12,7,20,0,4,52,32,0,127,6,0.75,0.08,2.16,0.41,17,69
a380e,2019-05-06,18-24,4,12,10,0,7,52,71,0,156,6,0.75,0.09,1.92,0.46,35,91
a380e,2019-05-07,00-06,0,16,0,0,0,0,0,0,16,1,0.12,1.0,-0.0,1.0,0,1
a380e,2019-05-07,06-12,4,27,10,0,8,32,27,0,108,6,0.75,0.4,2.29,0.3,11,55
a380e,2019-05-07,12-18,6,9,8,0,19,27,26,0,95,6,0.75,0.12,2.37,0.28,13,75
