id,date,12h,back-door,bathroom,bedroom,fridge-door,hallway,kitchen,lounge
0efe8,2019-05-14,00-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0efe8,2019-05-14,12-24,5.0,2.0,9.0,9.0,26.0,23.0,48.0
0efe8,2019-05-15,00-12,4.0,10.0,8.0,16.0,56.0,58.0,68.0
0efe8,2019-05-15,12-24,13.0,1.0,6.0,18.0,102.0,50.0,110.0
0efe8,2019-05-16,00-12,15.0,7.0,7.0,6.0,92.0,26.0,81.0
0efe8,2019-05-16,12-24,17.0,1.0,6.0,12.0,108.0,48.0,127.0
0efe8,2019-05-17,00-12,15.0,9.0,20.0,4.0,34.0,20.0,62.0
0efe8,2019-05-17,12-24,43.0,2.0,6.0,16.0,70.0,46.0,113.0
0efe8,2019-05-18,00-12,11.0,9.0,7.0,8.0,60.0,25.0,89.0
0efe8,2019-05-18,12-24,17.0,4.0,6.0,12.0,69.0,30.0,145.0
0efe8,2019-05-19,00-12,10.0,3.0,9.0,4.0,63.0,37.0,79.0
0efe8,2019-05-19,12-24,5.0,5.0,5.0,6.0,72.0,24.0,86.0
0efe8,2019-05-20,00-12,0.0,2.0,2.0,0.0,6.0,0.0,7.0
0efe8,2019-05-20,12-24,11.0,3.0,5.0,16.0,60.0,26.0,72.0
0efe8,2019-05-21,00-12,8.0,2.0,6.0,6.0,71.0,29.0,104.0
0efe8,2019-05-21,12-24,8.0,1.0,6.0,22.0,77.0,29.0,91.0
0efe8,2019-05-22,00-12,14.0,3.0,7.0,18.0,66.0,41.0,112.0
0efe8,2019-05-22,12-24,17.0,2.0,5.0,8.0,60.0,28.0,76.0
0efe8,2019-05-23,00-12,16.0,8.0,17.0,4.0,57.0,21.0,83.0
0efe8,2019-05-23,12-24,6.0,2.0,3.0,20.0,85.0,29.0,82.0
0efe8,2019-05-24,00-12,13.0,5.0,9.0,12.0,82.0,32.0,78.0
0efe8,2019-05-24,12-24,14.0,1.0,3.0,20.0,40.0,24.0,82.0
0efe8,2019-05-25,00-12,15.0,7.0,8.0,10.0,63.0,25.0,85.0
0efe8,2019-05-25,12-24,3.0,0.0,6.0,28.0,44.0,37.0,78.0
0efe8,2019-05-26,00-12,18.0,6.0,9.0,12.0,51.0,27.0,82.0
