id,date,12h,back-door,bathroom,bedroom,fridge-door,hallway,kitchen,lounge
0efe8,2019-05-26,12-24,6.0,1.0,3.0,16.0,38.0,27.0,85.0
0efe8,2019-05-27,00-12,4.0,7.0,12.0,8.0,38.0,35.0,77.0
0efe8,2019-05-27,12-24,14.0,2.0,5.0,28.0,62.0,36.0,106.0
0efe8,2019-05-28,00-12,12.0,4.0,10.0,8.0,57.0,24.0,64.0
0efe8,2019-05-28,12-24,10.0,2.0,6.0,20.0,72.0,30.0,97.0
0efe8,2019-05-29,00-12,10.0,7.0,8.0,12.0,46.0,25.0,81.0
0efe8,2019-05-29,12-24,19.0,1.0,5.0,22.0,79.0,23.0,86.0
0efe8,2019-05-30,00-12,4.0,3.0,9.0,6.0,37.0,16.0,68.0
0efe8,2019-05-30,12-24,20.0,0.0,4.0,16.0,63.0,40.0,109.0
0efe8,2019-05-31,00-12,5.0,7.0,16.0,16.0,37.0,33.0,53.0
0efe8,2019-05-31,12-24,11.0,2.0,5.0,18.0,55.0,25.0,91.0
0efe8,2019-06-01,00-12,8.0,5.0,12.0,12.0,44.0,29.0,97.0
0efe8,2019-06-01,12-24,6.0,1.0,3.0,12.0,24.0,21.0,23.0
0efe8,2019-06-02,00-12,1.0,3.0,5.0,10.0,21.0,9.0,33.0
0efe8,2019-06-02,12-24,1.0,2.0,4.0,8.0,23.0,25.0,28.0
0efe8,2019-06-03,00-12,0.0,2.0,2.0,0.0,0.0,0.0,0.0
0efe8,2019-06-03,12-24,21.0,2.0,7.0,4.0,15.0,20.0,33.0
0efe8,2019-06-04,00-12,10.0,4.0,5.0,10.0,58.0,43.0,88.0
0efe8,2019-06-04,12-24,7.0,2.0,4.0,24.0,31.0,26.0,69.0
0efe8,2019-06-05,00-12,7.0,5.0,8.0,20.0,38.0,34.0,78.0
0efe8,2019-06-05,12-24,8.0,1.0,5.0,16.0,20.0,26.0,121.0
0efe8,2019-06-06,00-12,8.0,7.0,14.0,20.0,40.0,40.0,75.0
0efe8,2019-06-06,12-24,4.0,3.0,5.0,14.0,33.0,25.0,69.0
0efe8,2019-06-07,00-12,8.0,4.0,6.0,12.0,23.0,33.0,97.0
0efe8,2019-06-07,12-24,12.0,2.0,4.0,18.0,36.0,38.0,54.0
0efe8,2019-06-08,00-12,15.0,7.0,7.0,16.0,26.0,26.0,50.0
0efe8,2019-06-08,12-24,16.0,1.0,7.0,22.0,27.0,28.0,58.0
0efe8,2019-06-09,00-12,20.0,4.0,6.0,10.0,33.0,29.0,52.0
0efe8,2019-06-09,12-24,16.0,1.0,8.0,24.0,42.0,35.0,98.0
0efe8,2019-06-10,00-12,19.0,8.0,15.0,16.0,49.0,31.0,77.0
0efe8,2019-06-10,12-24,4.0,9.0,10.0,16.0,51.0,46.0,42.0
0efe8,2019-06-11,00-12,2.0,4.0,13.0,8.0,23.0,25.0,24.0
0efe8,2019-06-11,12-24,4.0,2.0,8.0,14.0,28.0,36.0,25.0
0efe8,2019-06-12,00-12,8.0,4.0,9.0,14.0,38.0,21.0,34.0
0efe8,2019-06-12,12-24,8.0,2.0,4.0,12.0,21.0,18.0,26.0
0efe8,2019-06-13,00-12,0.0,10.0,12.0,6.0,26.0,19.0,26.0
0efe8,2019-06-13,12-24,12.0,2.0,21.0,12.0,34.0,37.0,34.0
0efe8,2019-06-14,00-12,4.0,9.0,28.0,8.0,40.0,25.0,21.0
0efe8,2019-06-14,12-24,7.0,2.0,2.0,16.0,41.0,48.0,45.0
0efe8,2019-06-15,00-12,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0efe8,2019-06-15,12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0efe8,2019-06-17,00-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0efe8,2019-06-17,12-24,1.0,3.0,6.0,8.0,28.0,24.0,50.0
0efe8,2019-06-18,00-12,10.0,6.0,10.0,6.0,31.0,27.0,28.0
0efe8,2019-06-18,12-24,6.0,1.0,7.0,12.0,25.0,30.0,31.0
0efe8,2019-06-19,00-12,12.0,5.0,12.0,8.0,55.0,51.0,67.0
0efe8,2019-06-19,12-24,8.0,1.0,5.0,18.0,30.0,29.0,38.0
0efe8,2019-06-20,00-12,7.0,12.0,12.0,6.0,39.0,28.0,36.0
0efe8,2019-06-20,12-24,6.0,2.0,5.0,14.0,25.0,24.0,30.0
0efe8,2019-06-21,00-12,5.0,8.0,10.0,18.0,31.0,32.0,32.0
0efe8,2019-06-21,12-24,8.0,2.0,7.0,8.0,21.0,21.0,25.0
0efe8,2019-06-22,00-12,3.0,5.0,12.0,8.0,25.0,23.0,27.0
0efe8,2019-06-22,12-24,1.0,3.0,6.0,24.0,31.0,35.0,45.0
0efe8,2019-06-23,00-12,2.0,4.0,10.0,8.0,23.0,28.0,25.0
0efe8,2019-06-23,12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0efe8,2019-06-24,00-12,4.0,10.0,11.0,12.0,21.0,19.0,30.0
0efe8,2019-06-24,12-24,2.0,4.0,11.0,20.0,30.0,28.0,30.0
0efe8,2019-06-25,00-12,8.0,3.0,9.0,4.0,22.0,17.0,32.0
0efe8,2019-06-25,12-24,4.0,1.0,13.0,6.0,37.0,33.0,47.0
0efe8,2019-06-26,00-12,2.0,8.0,13.0,12.0,26.0,24.0,29.0
0efe8,2019-06-26,12-24,6.0,2.0,10.0,14.0,27.0,20.0,38.0
0efe8,2019-06-27,00-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0efe8,2019-06-27,12-24,4.0,1.0,8.0,28.0,28.0,23.0,24.0
0efe8,2019-06-28,00-12,5.0,8.0,14.0,14.0,25.0,18.0,21.0
0efe8,2019-06-28,12-24,3.0,1.0,8.0,12.0,18.0,14.0,20.0
0efe8,2019-06-29,00-12,1.0,5.0,7.0,10.0,39.0,40.0,49.0
0efe8,2019-06-29,12-24,1.0,2.0,6.0,12.0,33.0,24.0,35.0
0efe8,2019-06-30,00-12,2.0,3.0,18.0,4.0,17.0,15.0,17.0
0efe8,2019-06-30,12-24,2.0,0.0,6.0,8.0,10.0,11.0,11.0
