id,date,12h,back-door,bathroom,bedroom,fridge-door,front-door,kitchen
c55f8,2019-04-17,12-24,57.0,0.0,0.0,42.0,25.0,75.0
c55f8,2019-04-18,00-12,74.0,0.0,0.0,35.0,76.0,51.0
c55f8,2019-04-18,12-24,16.0,0.0,0.0,17.0,26.0,17.0
c55f8,2019-04-22,00-12,0.0,0.0,0.0,0.0,0.0,0.0
c55f8,2019-04-22,12-24,4.0,2.0,0.0,62.0,50.0,92.0
c55f8,2019-04-23,00-12,43.0,2.0,0.0,20.0,22.0,25.0
c55f8,2019-04-23,12-24,74.0,0.0,1.0,46.0,48.0,133.0
c55f8,2019-04-24,00-12,31.0,0.0,17.0,20.0,48.0,49.0
c55f8,2019-04-24,12-24,283.0,0.0,0.0,78.0,61.0,166.0
c55f8,2019-04-25,00-12,49.0,0.0,7.0,14.0,54.0,40.0
c55f8,2019-04-25,12-24,27.0,0.0,1.0,4.0,18.0,17.0
c55f8,2019-04-26,00-12,47.0,0.0,5.0,30.0,48.0,61.0
c55f8,2019-04-26,12-24,105.0,2.0,2.0,86.0,53.0,128.0
c55f8,2019-04-27,00-12,13.0,1.0,13.0,12.0,22.0,28.0
c55f8,2019-04-27,12-24,29.0,0.0,5.0,22.0,13.0,63.0
c55f8,2019-04-28,00-12,2.0,0.0,4.0,10.0,12.0,13.0
c55f8,2019-04-28,12-24,52.0,0.0,0.0,80.0,61.0,160.0
c55f8,2019-04-29,00-12,34.0,0.0,0.0,52.0,49.0,77.0
c55f8,2019-04-29,12-24,73.0,0.0,0.0,90.0,63.0,161.0
c55f8,2019-04-30,00-12,48.0,0.0,0.0,22.0,55.0,53.0
c55f8,2019-04-30,12-24,58.0,0.0,0.0,44.0,67.0,85.0
c55f8,2019-05-01,00-12,76.0,0.0,0.0,38.0,83.0,85.0
c55f8,2019-05-01,12-24,84.0,0.0,0.0,64.0,29.0,89.0
c55f8,2019-05-02,00-12,78.0,0.0,0.0,42.0,55.0,53.0
c55f8,2019-05-02,12-24,55.0,0.0,0.0,22.0,56.0,41.0
c55f8,2019-05-03,00-12,41.0,0.0,0.0,14.0,24.0,50.0
c55f8,2019-05-03,12-24,75.0,0.0,0.0,54.0,47.0,90.0
c55f8,2019-05-04,00-12,50.0,0.0,0.0,30.0,28.0,49.0
c55f8,2019-05-04,12-24,35.0,0.0,0.0,46.0,39.0,102.0
c55f8,2019-05-05,00-12,28.0,0.0,0.0,36.0,37.0,39.0
c55f8,2019-05-05,12-24,55.0,0.0,0.0,108.0,46.0,119.0
c55f8,2019-05-06,00-12,37.0,0.0,0.0,16.0,29.0,43.0
c55f8,2019-05-06,12-24,70.0,0.0,0.0,56.0,51.0,75.0
c55f8,2019-05-07,00-12,62.0,0.0,9.0,30.0,38.0,46.0
c55f8,2019-05-07,12-24,20.0,0.0,1.0,12.0,9.0,33.0
c55f8,2019-05-08,00-12,30.0,5.0,18.0,24.0,29.0,49.0
c55f8,2019-05-08,12-24,76.0,1.0,7.0,72.0,34.0,106.0
c55f8,2019-05-09,00-12,53.0,6.0,26.0,28.0,72.0,67.0
c55f8,2019-05-09,12-24,26.0,0.0,11.0,12.0,19.0,19.0
c55f8,2019-05-10,00-12,46.0,14.0,22.0,43.0,38.0,68.0
c55f8,2019-05-10,12-24,91.0,3.0,27.0,58.0,76.0,95.0
c55f8,2019-05-11,00-12,37.0,5.0,24.0,22.0,48.0,48.0
c55f8,2019-05-11,12-24,58.0,2.0,7.0,46.0,35.0,92.0
c55f8,2019-05-12,00-12,12.0,11.0,32.0,20.0,38.0,54.0
c55f8,2019-05-12,12-24,118.0,13.0,25.0,72.0,73.0,155.0
c55f8,2019-05-13,00-12,36.0,15.0,29.0,48.0,38.0,51.0
c55f8,2019-05-13,12-24,56.0,7.0,26.0,106.0,115.0,101.0
c55f8,2019-05-14,00-12,36.0,2.0,32.0,18.0,35.0,56.0
c55f8,2019-05-14,12-24,88.0,1.0,9.0,88.0,42.0,107.0
c55f8,2019-05-15,00-12,37.0,11.0,20.0,20.0,29.0,19.0
c55f8,2019-05-15,12-24,46.0,0.0,0.0,46.0,13.0,67.0
c55f8,2019-05-16,00-12,37.0,7.0,0.0,24.0,52.0,39.0
c55f8,2019-05-16,12-24,25.0,2.0,0.0,34.0,42.0,61.0
c55f8,2019-05-17,00-12,37.0,10.0,0.0,24.0,33.0,52.0
c55f8,2019-05-17,12-24,77.0,0.0,0.0,74.0,24.0,127.0
c55f8,2019-05-18,00-12,32.0,9.0,0.0,24.0,39.0,58.0
c55f8,2019-05-18,12-24,63.0,2.0,0.0,56.0,23.0,127.0
c55f8,2019-05-19,00-12,17.0,9.0,14.0,14.0,28.0,43.0
c55f8,2019-05-19,12-24,43.0,2.0,30.0,32.0,86.0,126.0
c55f8,2019-05-20,00-12,31.0,10.0,18.0,37.0,60.0,50.0
c55f8,2019-05-20,12-24,68.0,3.0,5.0,56.0,27.0,112.0
c55f8,2019-05-21,00-12,30.0,9.0,24.0,20.0,21.0,28.0
c55f8,2019-05-21,12-24,96.0,5.0,13.0,84.0,61.0,127.0
c55f8,2019-05-22,00-12,21.0,6.0,25.0,20.0,29.0,50.0
