id,date,12h,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
d93d8,2019-05-08,00-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d93d8,2019-05-08,12-24,18.0,25.0,10.0,61.0,72.0,83.0,67.0
d93d8,2019-05-09,00-12,41.0,77.0,4.0,34.0,74.0,55.0,43.0
d93d8,2019-05-09,12-24,19.0,16.0,8.0,85.0,80.0,69.0,80.0
d93d8,2019-05-10,00-12,30.0,77.0,4.0,30.0,47.0,32.0,19.0
d93d8,2019-05-10,12-24,17.0,30.0,8.0,46.0,88.0,83.0,74.0
d93d8,2019-05-11,00-12,24.0,50.0,0.0,42.0,50.0,51.0,27.0
d93d8,2019-05-11,12-24,22.0,17.0,6.0,64.0,80.0,79.0,89.0
d93d8,2019-05-12,00-12,24.0,61.0,0.0,34.0,41.0,69.0,24.0
d93d8,2019-05-12,12-24,23.0,9.0,0.0,44.0,69.0,75.0,75.0
d93d8,2019-05-13,00-12,29.0,61.0,4.0,28.0,55.0,48.0,39.0
d93d8,2019-05-13,12-24,19.0,25.0,6.0,88.0,100.0,94.0,105.0
d93d8,2019-05-14,00-12,42.0,63.0,4.0,47.0,81.0,58.0,48.0
d93d8,2019-05-14,12-24,27.0,14.0,0.0,73.0,68.0,69.0,77.0
d93d8,2019-05-15,00-12,42.0,85.0,10.0,52.0,76.0,61.0,30.0
d93d8,2019-05-15,12-24,14.0,41.0,10.0,48.0,74.0,54.0,72.0
d93d8,2019-05-16,00-12,27.0,104.0,6.0,26.0,57.0,50.0,23.0
d93d8,2019-05-16,12-24,19.0,28.0,8.0,52.0,78.0,66.0,83.0
d93d8,2019-05-17,00-12,24.0,68.0,8.0,26.0,48.0,31.0,14.0
d93d8,2019-05-17,12-24,24.0,35.0,8.0,34.0,76.0,45.0,62.0
d93d8,2019-05-18,00-12,21.0,72.0,5.0,14.0,43.0,25.0,13.0
d93d8,2019-05-18,12-24,31.0,52.0,16.0,70.0,113.0,83.0,133.0
d93d8,2019-05-19,00-12,14.0,58.0,0.0,26.0,35.0,44.0,15.0
d93d8,2019-05-19,12-24,22.0,9.0,0.0,62.0,70.0,78.0,68.0
d93d8,2019-05-20,00-12,25.0,85.0,4.0,28.0,57.0,37.0,31.0
d93d8,2019-05-20,12-24,21.0,23.0,8.0,84.0,81.0,91.0,94.0
d93d8,2019-05-21,00-12,25.0,71.0,4.0,52.0,58.0,45.0,40.0
d93d8,2019-05-21,12-24,34.0,31.0,6.0,72.0,105.0,70.0,105.0
d93d8,2019-05-22,00-12,37.0,92.0,11.0,68.0,93.0,64.0,78.0
d93d8,2019-05-22,12-24,15.0,14.0,4.0,44.0,82.0,90.0,68.0
d93d8,2019-05-23,00-12,28.0,89.0,4.0,32.0,61.0,37.0,27.0
d93d8,2019-05-23,12-24,17.0,26.0,10.0,20.0,49.0,27.0,48.0
d93d8,2019-05-24,00-12,33.0,111.0,4.0,38.0,59.0,59.0,17.0
d93d8,2019-05-24,12-24,7.0,18.0,2.0,39.0,55.0,42.0,65.0
d93d8,2019-05-25,00-12,49.0,83.0,0.0,19.0,77.0,55.0,28.0
d93d8,2019-05-25,12-24,12.0,37.0,9.0,12.0,39.0,27.0,43.0
d93d8,2019-05-26,00-12,6.0,43.0,0.0,20.0,18.0,25.0,10.0
d93d8,2019-05-26,12-24,27.0,28.0,14.0,30.0,104.0,90.0,96.0
d93d8,2019-05-27,00-12,26.0,80.0,6.0,24.0,68.0,65.0,39.0
d93d8,2019-05-27,12-24,7.0,14.0,2.0,52.0,39.0,36.0,43.0
d93d8,2019-05-28,00-12,20.0,56.0,6.0,40.0,72.0,59.0,36.0
d93d8,2019-05-28,12-24,14.0,49.0,8.0,24.0,63.0,39.0,65.0
d93d8,2019-05-29,00-12,33.0,78.0,4.0,32.0,64.0,33.0,33.0
d93d8,2019-05-29,12-24,22.0,20.0,8.0,50.0,75.0,72.0,87.0
d93d8,2019-05-30,00-12,34.0,109.0,10.0,38.0,67.0,38.0,43.0
d93d8,2019-05-30,12-24,13.0,30.0,4.0,44.0,61.0,65.0,41.0
d93d8,2019-05-31,00-12,21.0,86.0,4.0,34.0,50.0,43.0,29.0
d93d8,2019-05-31,12-24,12.0,20.0,14.0,54.0,68.0,66.0,77.0
d93d8,2019-06-01,00-12,21.0,82.0,0.0,26.0,46.0,43.0,21.0
d93d8,2019-06-01,12-24,14.0,18.0,0.0,60.0,70.0,60.0,77.0
d93d8,2019-06-02,00-12,21.0,100.0,6.0,40.0,59.0,44.0,37.0
d93d8,2019-06-02,12-24,13.0,15.0,2.0,70.0,54.0,59.0,71.0
d93d8,2019-06-03,00-12,28.0,67.0,4.0,32.0,61.0,37.0,27.0
d93d8,2019-06-03,12-24,5.0,9.0,2.0,14.0,17.0,13.0,14.0
d93d8,2019-06-04,00-12,23.0,59.0,2.0,36.0,57.0,39.0,45.0
d93d8,2019-06-04,12-24,24.0,35.0,4.0,47.0,76.0,71.0,78.0
d93d8,2019-06-05,00-12,31.0,76.0,2.0,30.0,78.0,69.0,53.0
d93d8,2019-06-05,12-24,19.0,23.0,14.0,62.0,84.0,64.0,89.0
d93d8,2019-06-06,00-12,22.0,68.0,6.0,42.0,46.0,42.0,31.0
d93d8,2019-06-06,12-24,14.0,22.0,6.0,48.0,63.0,54.0,65.0
d93d8,2019-06-07,00-12,22.0,82.0,6.0,32.0,46.0,39.0,16.0
d93d8,2019-06-07,12-24,35.0,26.0,6.0,70.0,71.0,77.0,78.0
d93d8,2019-06-08,00-12,14.0,93.0,0.0,40.0,55.0,43.0,36.0
d93d8,2019-06-08,12-24,13.0,21.0,6.0,34.0,66.0,79.0,62.0
d93d8,2019-06-09,00-12,16.0,45.0,0.0,32.0,35.0,51.0,34.0
d93d8,2019-06-09,12-24,16.0,13.0,0.0,36.0,61.0,67.0,85.0
d93d8,2019-06-10,00-12,22.0,68.0,4.0,30.0,52.0,40.0,26.0
d93d8,2019-06-10,12-24,17.0,24.0,8.0,88.0,77.0,98.0,56.0
d93d8,2019-06-11,00-12,27.0,83.0,6.0,46.0,74.0,47.0,41.0
d93d8,2019-06-11,12-24,23.0,13.0,6.0,72.0,69.0,76.0,79.0
d93d8,2019-06-12,00-12,22.0,67.0,2.0,30.0,64.0,45.0,45.0
d93d8,2019-06-12,12-24,24.0,19.0,6.0,54.0,95.0,74.0,103.0
d93d8,2019-06-13,00-12,28.0,82.0,4.0,37.0,66.0,49.0,37.0
d93d8,2019-06-13,12-24,18.0,18.0,4.0,54.0,59.0,47.0,65.0
d93d8,2019-06-14,00-12,20.0,64.0,4.0,26.0,43.0,41.0,31.0
d93d8,2019-06-14,12-24,28.0,32.0,12.0,54.0,100.0,87.0,102.0
d93d8,2019-06-15,00-12,3.0,19.0,0.0,16.0,15.0,16.0,13.0
d93d8,2019-06-15,12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d93d8,2019-06-17,00-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d93d8,2019-06-17,12-24,10.0,9.0,4.0,50.0,50.0,62.0,65.0
d93d8,2019-06-18,00-12,17.0,74.0,4.0,22.0,50.0,34.0,29.0
d93d8,2019-06-18,12-24,13.0,24.0,4.0,26.0,44.0,27.0,55.0
d93d8,2019-06-19,00-12,32.0,115.0,6.0,42.0,71.0,44.0,31.0
d93d8,2019-06-19,12-24,14.0,21.0,14.0,54.0,72.0,64.0,83.0
d93d8,2019-06-20,00-12,27.0,77.0,10.0,20.0,62.0,40.0,41.0
d93d8,2019-06-20,12-24,17.0,13.0,2.0,52.0,81.0,62.0,79.0
d93d8,2019-06-21,00-12,28.0,70.0,8.0,18.0,59.0,35.0,12.0
d93d8,2019-06-21,12-24,33.0,41.0,17.0,30.0,90.0,62.0,85.0
