id,date,12h,back-door,bedroom,fridge-door,front-door,hallway,kitchen,lounge
a380e,2019-04-29,00-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a380e,2019-04-29,12-24,4.0,25.0,27.0,6.0,25.0,97.0,117.0
a380e,2019-04-30,00-12,4.0,40.0,8.0,0.0,13.0,23.0,30.0
a380e,2019-04-30,12-24,4.0,20.0,26.0,0.0,23.0,64.0,53.0
a380e,2019-05-01,00-12,4.0,56.0,11.0,0.0,17.0,24.0,24.0
a380e,2019-05-01,12-24,4.0,5.0,44.0,0.0,7.0,101.0,66.0
a380e,2019-05-02,00-12,4.0,53.0,14.0,0.0,15.0,52.0,28.0
a380e,2019-05-02,12-24,12.0,29.0,52.0,0.0,24.0,131.0,102.0
a380e,2019-05-03,00-12,4.0,33.0,10.0,0.0,8.0,51.0,35.0
a380e,2019-05-03,12-24,16.0,16.0,26.0,0.0,10.0,85.0,58.0
a380e,2019-05-04,00-12,0.0,46.0,8.0,0.0,20.0,55.0,28.0
a380e,2019-05-04,12-24,8.0,31.0,40.0,0.0,20.0,89.0,64.0
a380e,2019-05-05,00-12,0.0,46.0,6.0,0.0,19.0,28.0,18.0
a380e,2019-05-05,12-24,8.0,21.0,42.0,0.0,43.0,96.0,62.0
a380e,2019-05-06,00-12,0.0,45.0,8.0,0.0,9.0,46.0,38.0
a380e,2019-05-06,12-24,16.0,19.0,30.0,0.0,11.0,104.0,103.0
a380e,2019-05-07,00-12,4.0,43.0,10.0,0.0,8.0,32.0,27.0
a380e,2019-05-07,12-24,6.0,9.0,12.0,0.0,19.0,64.0,45.0
a380e,2019-05-08,00-12,0.0,50.0,20.0,0.0,17.0,54.0,34.0
a380e,2019-05-08,12-24,8.0,21.0,30.0,0.0,7.0,107.0,56.0
a380e,2019-05-09,00-12,0.0,39.0,8.0,0.0,6.0,43.0,27.0
a380e,2019-05-09,12-24,10.0,27.0,34.0,0.0,9.0,121.0,66.0
a380e,2019-05-10,00-12,6.0,38.0,14.0,0.0,21.0,31.0,29.0
a380e,2019-05-10,12-24,19.0,18.0,20.0,0.0,19.0,76.0,44.0
a380e,2019-05-11,00-12,6.0,38.0,22.0,0.0,10.0,81.0,46.0
a380e,2019-05-11,12-24,4.0,72.0,20.0,0.0,18.0,64.0,47.0
a380e,2019-05-12,00-12,1.0,30.0,40.0,0.0,6.0,71.0,36.0
a380e,2019-05-12,12-24,7.0,32.0,24.0,0.0,24.0,60.0,50.0
a380e,2019-05-13,00-12,0.0,49.0,12.0,0.0,16.0,46.0,32.0
a380e,2019-05-13,12-24,8.0,15.0,38.0,0.0,17.0,88.0,59.0
a380e,2019-05-14,00-12,5.0,36.0,12.0,0.0,14.0,38.0,26.0
a380e,2019-05-14,12-24,17.0,8.0,26.0,0.0,10.0,95.0,68.0
a380e,2019-05-15,00-12,2.0,42.0,10.0,0.0,11.0,45.0,41.0
a380e,2019-05-15,12-24,4.0,21.0,28.0,0.0,9.0,91.0,54.0
a380e,2019-05-16,00-12,0.0,38.0,12.0,0.0,6.0,75.0,32.0
a380e,2019-05-16,12-24,25.0,19.0,56.0,0.0,28.0,145.0,57.0
a380e,2019-05-17,00-12,4.0,40.0,6.0,0.0,9.0,31.0,28.0
a380e,2019-05-17,12-24,6.0,10.0,28.0,0.0,6.0,114.0,66.0
a380e,2019-05-18,00-12,0.0,45.0,6.0,0.0,11.0,35.0,41.0
a380e,2019-05-18,12-24,10.0,23.0,45.0,0.0,31.0,117.0,61.0
a380e,2019-05-19,00-12,0.0,46.0,10.0,0.0,16.0,41.0,32.0
a380e,2019-05-19,12-24,4.0,19.0,26.0,0.0,11.0,99.0,53.0
a380e,2019-05-20,00-12,4.0,44.0,16.0,0.0,22.0,37.0,26.0
a380e,2019-05-20,12-24,4.0,4.0,16.0,0.0,3.0,51.0,32.0
a380e,2019-05-21,00-12,4.0,41.0,12.0,0.0,14.0,34.0,27.0
a380e,2019-05-21,12-24,30.0,8.0,32.0,0.0,20.0,104.0,50.0
a380e,2019-05-22,00-12,0.0,44.0,6.0,0.0,7.0,36.0,32.0
a380e,2019-05-22,12-24,9.0,12.0,30.0,0.0,7.0,70.0,55.0
a380e,2019-05-23,00-12,2.0,42.0,8.0,0.0,16.0,36.0,45.0
a380e,2019-05-23,12-24,4.0,6.0,33.0,0.0,12.0,66.0,36.0
a380e,2019-05-24,00-12,6.0,48.0,10.0,0.0,13.0,25.0,20.0
a380e,2019-05-24,12-24,0.0,2.0,0.0,0.0,7.0,8.0,15.0
