id,date,12h,back-door,bathroom,bedroom,fridge-door,front-door,hallway,lounge
f220c,2019-04-26,00-12,24.0,6.0,10.0,18.0,0.0,0.0,4.0
f220c,2019-04-26,12-24,0.0,10.0,28.0,14.0,0.0,0.0,2.0
f220c,2019-04-27,00-12,0.0,13.0,18.0,10.0,0.0,0.0,0.0
f220c,2019-04-27,12-24,0.0,10.0,16.0,12.0,0.0,0.0,0.0
f220c,2019-04-28,00-12,0.0,1.0,3.0,4.0,0.0,0.0,0.0
f220c,2019-04-28,12-24,6.0,13.0,29.0,14.0,0.0,0.0,0.0
f220c,2019-04-29,00-12,0.0,6.0,27.0,2.0,0.0,0.0,0.0
f220c,2019-04-29,12-24,0.0,11.0,12.0,6.0,6.0,13.0,0.0
f220c,2019-04-30,00-12,0.0,11.0,24.0,2.0,5.0,18.0,0.0
f220c,2019-04-30,12-24,0.0,11.0,46.0,14.0,12.0,14.0,0.0
f220c,2019-05-01,00-12,0.0,6.0,19.0,6.0,2.0,9.0,0.0
f220c,2019-05-01,12-24,2.0,5.0,26.0,22.0,23.0,30.0,0.0
f220c,2019-05-02,00-12,0.0,3.0,21.0,2.0,2.0,7.0,0.0
f220c,2019-05-02,12-24,0.0,1.0,7.0,14.0,6.0,8.0,0.0
f220c,2019-05-03,00-12,0.0,11.0,29.0,6.0,6.0,23.0,0.0
f220c,2019-05-03,12-24,14.0,6.0,14.0,14.0,27.0,19.0,0.0
f220c,2019-05-04,00-12,0.0,7.0,15.0,4.0,0.0,9.0,0.0
f220c,2019-05-04,12-24,0.0,6.0,16.0,18.0,8.0,15.0,0.0
f220c,2019-05-05,00-12,3.0,11.0,25.0,8.0,11.0,11.0,0.0
f220c,2019-05-05,12-24,17.0,7.0,18.0,12.0,23.0,33.0,0.0
f220c,2019-05-06,00-12,0.0,8.0,13.0,6.0,2.0,4.0,0.0
f220c,2019-05-06,12-24,0.0,10.0,16.0,6.0,4.0,17.0,0.0
f220c,2019-05-07,00-12,0.0,4.0,9.0,4.0,0.0,5.0,0.0
f220c,2019-05-07,12-24,0.0,9.0,18.0,6.0,16.0,16.0,0.0
f220c,2019-05-08,00-12,0.0,4.0,10.0,4.0,2.0,5.0,0.0
f220c,2019-05-08,12-24,0.0,3.0,15.0,12.0,8.0,11.0,0.0
f220c,2019-05-09,00-12,0.0,11.0,22.0,0.0,0.0,8.0,0.0
f220c,2019-05-09,12-24,0.0,8.0,16.0,10.0,10.0,11.0,0.0
f220c,2019-05-10,00-12,0.0,7.0,26.0,2.0,9.0,8.0,0.0
f220c,2019-05-10,12-24,0.0,13.0,32.0,8.0,12.0,13.0,0.0
f220c,2019-05-11,00-12,2.0,8.0,28.0,10.0,6.0,11.0,0.0
f220c,2019-05-11,12-24,2.0,6.0,11.0,13.0,14.0,16.0,0.0
f220c,2019-05-12,00-12,0.0,6.0,17.0,3.0,6.0,11.0,0.0
f220c,2019-05-12,12-24,6.0,6.0,16.0,24.0,19.0,23.0,0.0
f220c,2019-05-13,00-12,0.0,3.0,15.0,0.0,0.0,9.0,0.0
f220c,2019-05-13,12-24,0.0,5.0,24.0,8.0,12.0,9.0,0.0
f220c,2019-05-14,00-12,0.0,7.0,20.0,2.0,0.0,6.0,0.0
f220c,2019-05-14,12-24,0.0,7.0,12.0,10.0,16.0,9.0,0.0
f220c,2019-05-15,00-12,0.0,4.0,16.0,8.0,4.0,5.0,0.0
f220c,2019-05-15,12-24,4.0,7.0,15.0,12.0,19.0,20.0,0.0
f220c,2019-05-16,00-12,0.0,5.0,18.0,4.0,0.0,6.0,0.0
f220c,2019-05-16,12-24,0.0,4.0,13.0,10.0,9.0,5.0,0.0
f220c,2019-05-17,00-12,0.0,8.0,15.0,8.0,6.0,7.0,0.0
f220c,2019-05-17,12-24,0.0,9.0,33.0,12.0,14.0,16.0,0.0
f220c,2019-05-18,00-12,1.0,9.0,20.0,12.0,4.0,6.0,0.0
f220c,2019-05-18,12-24,0.0,6.0,15.0,8.0,10.0,16.0,0.0
f220c,2019-05-19,00-12,0.0,11.0,19.0,10.0,8.0,14.0,0.0
f220c,2019-05-19,12-24,6.0,6.0,24.0,16.0,10.0,21.0,0.0
f220c,2019-05-20,00-12,0.0,7.0,23.0,4.0,0.0,12.0,0.0
f220c,2019-05-20,12-24,1.0,5.0,22.0,10.0,16.0,27.0,0.0
f220c,2019-05-21,00-12,0.0,6.0,14.0,0.0,5.0,11.0,0.0
f220c,2019-05-21,12-24,0.0,9.0,9.0,10.0,6.0,11.0,0.0
f220c,2019-05-22,00-12,0.0,2.0,8.0,4.0,0.0,6.0,0.0
f220c,2019-05-22,12-24,0.0,7.0,19.0,12.0,9.0,10.0,0.0
f220c,2019-05-23,00-12,0.0,5.0,12.0,6.0,4.0,11.0,0.0
f220c,2019-05-23,12-24,0.0,2.0,14.0,14.0,10.0,9.0,0.0
f220c,2019-05-24,00-12,0.0,7.0,14.0,0.0,0.0,7.0,0.0
f220c,2019-05-24,12-24,0.0,4.0,22.0,14.0,17.0,11.0,0.0
f220c,2019-05-25,00-12,0.0,10.0,20.0,8.0,2.0,8.0,0.0
f220c,2019-05-25,12-24,0.0,8.0,11.0,12.0,21.0,29.0,0.0
f220c,2019-05-26,00-12,0.0,6.0,28.0,10.0,2.0,8.0,0.0
f220c,2019-05-26,12-24,13.0,6.0,21.0,30.0,35.0,29.0,0.0
f220c,2019-05-27,00-12,0.0,2.0,17.0,4.0,0.0,2.0,0.0
f220c,2019-05-27,12-24,0.0,7.0,9.0,10.0,4.0,8.0,0.0
f220c,2019-05-28,00-12,0.0,6.0,19.0,2.0,0.0,5.0,0.0
f220c,2019-05-28,12-24,0.0,8.0,18.0,12.0,12.0,11.0,0.0
f220c,2019-05-29,00-12,0.0,6.0,19.0,0.0,0.0,5.0,0.0
f220c,2019-05-29,12-24,0.0,6.0,8.0,10.0,10.0,7.0,0.0
f220c,2019-05-30,00-12,0.0,9.0,16.0,8.0,0.0,8.0,0.0
f220c,2019-05-30,12-24,0.0,7.0,32.0,8.0,6.0,12.0,0.0
