id,date,12h,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen
56b6b,2019-06-02,00-12,4.0,0.0,27.0,2.0,2.0,10.0,13.0
56b6b,2019-06-02,12-24,10.0,0.0,79.0,6.0,16.0,53.0,90.0
56b6b,2019-06-03,00-12,7.0,0.0,64.0,0.0,18.0,62.0,57.0
56b6b,2019-06-03,12-24,4.0,0.0,3.0,0.0,14.0,17.0,22.0
56b6b,2019-06-04,00-12,0.0,0.0,33.0,0.0,19.0,40.0,57.0
56b6b,2019-06-04,12-24,0.0,0.0,8.0,0.0,32.0,32.0,42.0
56b6b,2019-06-05,00-12,0.0,0.0,36.0,0.0,26.0,44.0,65.0
56b6b,2019-06-05,12-24,0.0,0.0,2.0,0.0,22.0,29.0,37.0
56b6b,2019-06-06,00-12,0.0,0.0,0.0,0.0,5.0,13.0,43.0
56b6b,2019-06-06,12-24,0.0,0.0,3.0,0.0,20.0,22.0,40.0
56b6b,2019-06-07,00-12,2.0,0.0,0.0,0.0,20.0,46.0,79.0
56b6b,2019-06-07,12-24,0.0,0.0,2.0,0.0,20.0,40.0,49.0
56b6b,2019-06-08,00-12,0.0,0.0,1.0,0.0,22.0,20.0,9.0
56b6b,2019-06-08,12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56b6b,2019-06-10,00-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56b6b,2019-06-10,12-24,0.0,0.0,0.0,0.0,4.0,2.0,2.0
56b6b,2019-06-12,00-12,0.0,0.0,2.0,0.0,4.0,3.0,1.0
56b6b,2019-06-12,12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56b6b,2019-06-13,00-12,8.0,0.0,14.0,0.0,6.0,15.0,34.0
56b6b,2019-06-13,12-24,2.0,0.0,0.0,2.0,6.0,6.0,2.0
56b6b,2019-06-14,00-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56b6b,2019-06-14,12-24,2.0,0.0,10.0,0.0,6.0,6.0,8.0
56b6b,2019-06-17,00-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56b6b,2019-06-17,12-24,11.0,0.0,66.0,18.0,19.0,56.0,106.0
56b6b,2019-06-18,00-12,13.0,0.0,61.0,6.0,20.0,42.0,39.0
56b6b,2019-06-18,12-24,16.0,0.0,47.0,2.0,20.0,72.0,99.0
56b6b,2019-06-19,00-12,4.0,0.0,36.0,2.0,6.0,11.0,23.0
56b6b,2019-06-19,12-24,20.0,0.0,50.0,12.0,12.0,62.0,85.0
56b6b,2019-06-20,00-12,25.0,0.0,79.0,8.0,20.0,51.0,60.0
56b6b,2019-06-20,12-24,25.0,0.0,54.0,10.0,16.0,54.0,77.0
56b6b,2019-06-21,00-12,3.0,0.0,35.0,2.0,13.0,33.0,26.0
56b6b,2019-06-21,12-24,17.0,0.0,61.0,10.0,13.0,69.0,78.0
56b6b,2019-06-22,00-12,7.0,0.0,90.0,2.0,8.0,24.0,32.0
56b6b,2019-06-22,12-24,11.0,0.0,42.0,10.0,21.0,45.0,76.0
56b6b,2019-06-23,00-12,0.0,0.0,58.0,0.0,6.0,27.0,24.0
56b6b,2019-06-23,12-24,6.0,0.0,34.0,2.0,8.0,26.0,25.0
56b6b,2019-06-24,00-12,4.0,0.0,33.0,2.0,6.0,26.0,22.0
56b6b,2019-06-24,12-24,18.0,0.0,54.0,10.0,22.0,69.0,91.0
56b6b,2019-06-25,00-12,6.0,0.0,52.0,2.0,16.0,37.0,40.0
56b6b,2019-06-25,12-24,26.0,0.0,72.0,9.0,24.0,78.0,86.0
56b6b,2019-06-26,00-12,2.0,0.0,52.0,0.0,4.0,22.0,18.0
56b6b,2019-06-26,12-24,24.0,0.0,72.0,27.0,26.0,88.0,110.0
56b6b,2019-06-27,00-12,14.0,0.0,67.0,4.0,8.0,37.0,44.0
56b6b,2019-06-27,12-24,23.0,0.0,42.0,24.0,18.0,74.0,147.0
56b6b,2019-06-28,00-12,0.0,0.0,49.0,0.0,6.0,23.0,19.0
56b6b,2019-06-28,12-24,18.0,0.0,47.0,12.0,19.0,48.0,63.0
56b6b,2019-06-29,00-12,1.0,0.0,51.0,1.0,6.0,26.0,35.0
56b6b,2019-06-29,12-24,11.0,0.0,54.0,35.0,22.0,56.0,97.0
56b6b,2019-06-30,00-12,2.0,0.0,34.0,0.0,6.0,9.0,8.0
56b6b,2019-06-30,12-24,8.0,0.0,75.0,2.0,14.0,37.0,48.0
