iter	Passed	Remaining
228	1687	5680
229	1694	5671
230	1701	5663
231	1708	5656
232	1716	5650
233	1723	5643
234	1731	5637
235	1739	5630
236	1746	5621
237	1752	5612
238	1760	5605
239	1767	5596
240	1774	5588
241	1782	5582
242	1789	5574
243	1796	5565
244	1804	5559
245	1811	5551
246	1817	5542
247	1825	5536
248	1833	5530
249	1840	5522
250	1848	5515
251	1856	5510
252	1863	5502
253	1871	5495
254	1878	5489
255	1886	5481
256	1894	5475
257	1901	5469
258	1909	5461
259	1916	5454
260	1924	5448
261	1931	5441
262	1939	5435
263	1947	5428
264	1954	5419
265	1961	5412
266	1968	5404
267	1975	5396
268	1983	5389
269	1991	5384
270	1999	5377
271	2005	5366
272	2012	5359
273	2019	5351
274	2026	5343
275	2034	5338
276	2042	5330
277	2049	5321
278	2057	5316
279	2065	5310
280	2072	5303
281	2080	5296
282	2087	5287
283	2094	5281
284	2103	5276
285	2111	5271
286	2119	5265
287	2128	5261
288	2136	5255
289	2143	5249
290	2150	5239
291	2157	5232
292	2165	5225
293	2173	5218
294	2180	5211
295	2187	5203
296	2194	5195
297	2202	5188
298	2210	5182
299	2217	5174
300	2224	5166
301	2231	5158
302	2238	5150
303	2245	5141
304	2253	5134
305	2260	5127
306	2268	5120
307	2276	5114
308	2282	5104
309	2289	5096
310	2297	5090
311	2305	5084
312	2313	5076
313	2322	5074
314	2330	5068
315	2337	5060
316	2344	5052
317	2352	5046
318	2359	5037
319	2366	5028
320	2373	5020
321	2380	5012
322	2388	5006
323	2395	4997
324	2402	4990
325	2409	4981
326	2417	4974
327	2424	4967
328	2432	4960
329	2441	4956
330	2448	4948
331	2456	4942
332	2463	4934
333	2471	4927
334	2477	4918
335	2484	4909
336	2492	4903
337	2500	4897
338	2507	4890
339	2515	4882
340	2522	4875
341	2529	4867
342	2536	4858
343	2544	4851
344	2551	4844
345	2558	4835
346	2564	4826
347	2573	4821
348	2580	4814
349	2588	4808
350	2596	4800
351	2603	4792
352	2609	4783
353	2617	4777
354	2624	4769
355	2632	4762
356	2639	4753
357	2646	4746
358	2656	4742
359	2663	4735
360	2672	4730
361	2679	4721
362	2685	4713
363	2692	4704
364	2699	4696
365	2707	4690
366	2715	4683
367	2722	4676
368	2731	4670
369	2738	4662
370	2745	4655
371	2752	4647
372	2760	4639
373	2768	4633
374	2775	4626
375	2782	4618
376	2790	4611
377	2797	4602
378	2804	4595
379	2812	4588
380	2819	4580
381	2826	4572
382	2833	4564
383	2841	4558
384	2850	4553
385	2858	4546
386	2865	4538
387	2871	4529
388	2880	4523
389	2887	4515
390	2895	4509
391	2901	4500
392	2908	4492
393	2916	4485
394	2924	4479
395	2933	4473
396	2940	4465
397	2947	4458
398	2954	4450
399	2962	4444
400	2970	4437
401	2978	4430
402	2986	4423
403	2992	4414
404	2999	4406
405	3005	4397
406	3012	4389
407	3020	4383
408	3028	4375
409	3035	4368
410	3044	4362
411	3051	4355
412	3059	4347
413	3066	4340
414	3073	4332
415	3081	4326
416	3088	4317
417	3095	4310
418	3103	4303
419	3110	4295
420	3117	4287
421	3124	4279
422	3131	4271
423	3139	4264
424	3147	4257
425	3155	4251
426	3162	4243
427	3170	4236
428	3177	4228
429	3184	4221
430	3191	4213
431	3198	4205
432	3205	4197
433	3213	4190
434	3219	4182
435	3227	4174
436	3234	4166
437	3241	4158
438	3249	4152
439	3256	4144
440	3264	4137
441	3270	4129
442	3277	4121
443	3284	4112
444	3291	4105
445	3298	4097
446	3305	4089
447	3312	4081
448	3319	4073
449	3326	4065
450	3334	4058
451	3341	4051
452	3348	4043
453	3355	4035
454	3363	4029
455	3371	4021
456	3377	4013
457	3385	4006
458	3392	3998
459	3399	3990
460	3406	3982
461	3413	3975
462	3421	3967
463	3429	3961
464	3436	3953
465	3443	3946
466	3451	3939
467	3458	3931
468	3466	3924
469	3472	3916
470	3479	3907
471	3486	3899
472	3494	3893
473	3501	3885
474	3508	3877
475	3515	3870
476	3522	3862
477	3530	3854
478	3538	3848
479	3544	3840
480	3552	3833
481	3558	3824
482	3566	3817
483	3574	3811
484	3582	3804
485	3590	3797
486	3597	3789
487	3604	3781
488	3611	3773
489	3618	3766
490	3625	3758
491	3632	3750
492	3640	3743
493	3647	3735
494	3654	3728
495	3662	3721
496	3669	3713
497	3676	3705
498	3683	3697
499	3690	3690
500	3699	3684
501	3706	3677
502	3714	3670
503	3721	3662
504	3728	3654
505	3735	3646
506	3742	3638
507	3750	3632
508	3758	3625
509	3767	3619
510	3775	3612
511	3782	3605
512	3790	3598
513	3796	3589
514	3803	3581
515	3810	3574
516	3817	3566
517	3824	3558
518	3832	3551
519	3839	3543
520	3846	3536
521	3854	3529
522	3860	3520
523	3867	3512
524	3875	3506
525	3882	3499
526	3891	3492
527	3898	3484
528	3906	3477
529	3913	3470
530	3921	3463
531	3928	3455
532	3935	3448
533	3942	3440
534	3950	3433
535	3957	3425
536	3964	3417
537	3970	3409
538	3977	3401
539	3984	3394
540	3991	3386
541	3998	3378
542	4006	3372
543	4014	3365
544	4022	3358
545	4030	3351
546	4037	3343
547	4045	3336
548	4052	3329
549	4059	3321
550	4066	3313
551	4072	3305
552	4082	3299
553	4089	3292
554	4096	3284
555	4103	3276
556	4110	3269
557	4118	3262
558	4125	3255
559	4132	3247
560	4139	3238
561	4146	3231
562	4153	3223
563	4160	3216
564	4168	3209
565	4175	3201
566	4182	3193
567	4189	3186
568	4196	3178
569	4205	3172
570	4213	3165
571	4221	3158
572	4229	3151
573	4236	3143
574	4243	3136
575	4251	3129
576	4257	3121
577	4265	3113
578	4272	3106
579	4279	3098
580	4286	3091
581	4293	3083
582	4301	3076
583	4309	3069
584	4316	3062
585	4323	3054
586	4331	3047
587	4337	3039
588	4345	3031
589	4351	3023
590	4359	3017
591	4366	3009
592	4374	3002
593	4381	2995
594	4388	2987
595	4396	2980
596	4403	2972
597	4411	2965
598	4418	2957
599	4425	2950
600	4433	2943
601	4440	2935
602	4448	2928
603	4454	2920
604	4461	2913
605	4468	2904
606	4476	2897
607	4483	2890
608	4491	2883
609	4498	2876
610	4505	2868
611	4512	2861
612	4519	2853
613	4527	2846
614	4533	2838
615	4542	2831
616	4548	2823
617	4556	2816
618	4564	2809
619	4572	2802
620	4580	2795
621	4588	2788
622	4596	2781
623	4603	2773
624	4609	2765
625	4617	2758
626	4624	2751
627	4631	2743
628	4638	2735
629	4645	2728
630	4652	2720
631	4658	2712
632	4665	2704
633	4672	2697
634	4680	2690
635	4688	2683
636	4695	2676
637	4703	2668
638	4711	2661
639	4719	2654
640	4726	2647
641	4733	2639
642	4741	2632
643	4749	2625
644	4757	2618
645	4764	2610
646	4770	2602
647	4778	2595
648	4786	2588
649	4794	2581
650	4801	2574
651	4809	2566
652	4816	2559
653	4823	2552
654	4830	2544
655	4837	2536
656	4844	2529
657	4851	2521
658	4858	2514
659	4867	2507
660	4875	2500
661	4882	2492
662	4888	2484
663	4895	2477
664	4903	2470
665	4910	2462
666	4917	2455
667	4924	2447
668	4932	2440
669	4941	2433
670	4948	2426
671	4956	2419
672	4964	2412
673	4971	2404
674	4979	2397
675	4988	2390
676	4995	2383
677	5002	2375
678	5009	2368
679	5019	2361
680	5026	2354
681	5033	2347
682	5041	2339
683	5047	2332
684	5055	2324
685	5063	2317
686	5070	2310
687	5077	2302
688	5084	2295
689	5091	2287
690	5099	2280
691	5106	2272
692	5112	2265
693	5120	2257
694	5127	2250
695	5135	2243
696	5142	2235
697	5149	2228
698	5157	2220
699	5163	2213
700	5171	2205
701	5179	2198
702	5186	2191
703	5193	2183
704	5201	2176
705	5208	2169
706	5216	2161
707	5223	2154
708	5229	2146
709	5236	2138
710	5243	2131
711	5250	2123
712	5259	2117
713	5267	2109
714	5274	2102
715	5282	2095
716	5288	2087
717	5295	2079
718	5302	2072
719	5309	2064
720	5317	2057
721	5323	2049
722	5330	2042
723	5337	2034
724	5344	2027
725	5351	2019
726	5358	2012
727	5366	2004
728	5374	1997
729	5382	1990
730	5389	1983
731	5397	1976
732	5406	1969
733	5414	1962
734	5421	1954
735	5428	1947
736	5435	1939
737	5441	1931
738	5448	1924
739	5456	1916
740	5463	1909
741	5470	1902
742	5478	1894
743	5485	1887
744	5493	1880
745	5500	1872
746	5507	1865
747	5515	1858
748	5521	1850
749	5530	1843
750	5539	1836
751	5546	1829
752	5554	1821
753	5561	1814
754	5568	1806
755	5576	1799
756	5583	1792
757	5590	1784
758	5597	1777
759	5605	1770
760	5614	1763
761	5621	1755
762	5628	1748
763	5635	1740
764	5642	1733
765	5649	1725
766	5656	1718
767	5664	1711
768	5672	1704
769	5681	1697
770	5689	1689
771	5696	1682
772	5703	1675
773	5711	1667
774	5718	1660
775	5725	1652
776	5733	1645
777	5740	1638
778	5748	1630
779	5756	1623
780	5765	1616
781	5773	1609
782	5780	1602
783	5787	1594
784	5795	1587
785	5803	1580
786	5811	1572
787	5818	1565
788	5825	1557
789	5832	1550
790	5839	1542
791	5847	1535
792	5854	1528
793	5861	1520
794	5868	1513
795	5876	1505
796	5884	1498
797	5891	1491
798	5898	1483
799	5905	1476
800	5913	1469
801	5920	1461
802	5927	1454
803	5933	1446
804	5940	1439
805	5947	1431
806	5954	1423
807	5961	1416
808	5969	1409
809	5973	1401
810	5980	1393
811	5989	1386
812	5996	1379
813	6003	1371
814	6013	1365
815	6021	1357
816	6028	1350
817	6034	1342
818	6042	1335
819	6049	1328
820	6056	1320
821	6063	1312
822	6069	1305
823	6077	1298
824	6084	1290
825	6092	1283
826	6099	1275
827	6106	1268
828	6112	1260
829	6121	1253
830	6128	1246
831	6136	1239
832	6144	1231
833	6150	1224
834	6158	1216
835	6165	1209
836	6171	1201
837	6178	1194
838	6186	1187
839	6193	1179
840	6200	1172
841	6207	1164
842	6213	1157
843	6221	1149
844	6228	1142
845	6235	1135
846	6243	1127
847	6252	1120
848	6258	1113
849	6265	1105
850	6272	1098
851	6279	1090
852	6286	1083
853	6293	1075
854	6300	1068
855	6306	1060
856	6313	1053
857	6321	1046
858	6328	1038
859	6334	1031
860	6341	1023
861	6348	1016
862	6355	1008
863	6362	1001
864	6369	994
865	6375	986
866	6382	979
867	6390	971
868	6397	964
869	6404	956
870	6411	949
871	6417	942
872	6424	934
873	6431	927
874	6438	919
875	6445	912
876	6452	905
877	6460	897
878	6467	890
879	6474	882
880	6482	875
881	6489	868
882	6496	860
883	6503	853
884	6510	845
885	6516	838
886	6523	831
887	6531	823
888	6537	816
889	6545	808
890	6551	801
891	6558	794
892	6564	786
893	6572	779
894	6579	771
895	6587	764
896	6594	757
897	6601	749
898	6609	742
899	6616	735
900	6623	727
901	6631	720
902	6638	713
903	6646	705
904	6654	698
905	6663	691
906	6671	684
907	6678	676
908	6686	669
909	6692	661
910	6699	654
911	6707	647
912	6714	639
913	6721	632
914	6727	624
915	6734	617
916	6742	610
917	6749	602
918	6756	595
919	6764	588
920	6767	580
921	6774	573
922	6781	565
923	6789	558
924	6797	551
925	6806	543
926	6816	536
927	6825	529
928	6836	522
929	6844	515
930	6851	507
931	6859	500
932	6867	493
933	6877	485
934	6884	478
935	6891	471
936	6898	463
937	6905	456
938	6912	449
939	6920	441
940	6927	434
941	6934	426
942	6940	419
943	6947	412
944	6955	404
945	6964	397
946	6971	390
947	6979	382
948	6987	375
949	6994	368
950	7001	360
951	7007	353
952	7014	345
953	7021	338
954	7028	331
955	7034	323
956	7041	316
957	7049	309
958	7057	301
959	7065	294
960	7072	287
961	7079	279
962	7086	272
963	7093	264
964	7100	257
965	7108	250
966	7114	242
967	7121	235
968	7129	228
969	7135	220
970	7143	213
971	7151	206
972	7158	198
973	7164	191
974	7172	183
975	7178	176
976	7186	169
977	7191	161
978	7198	154
979	7205	147
980	7213	139
981	7220	132
982	7227	125
983	7235	117
984	7242	110
985	7249	102
986	7257	95
987	7264	88
988	7270	80
989	7277	73
990	7283	66
991	7290	58
992	7297	51
993	7304	44
994	7312	36
995	7319	29
996	7327	22
997	7333	14
998	7339	7
999	7348	0
