iter	Passed	Remaining
0	5	5788
1	12	6231
2	18	6023
3	24	6218
4	31	6320
5	39	6477
6	45	6461
7	52	6516
8	58	6458
9	65	6521
10	72	6519
11	79	6555
12	86	6545
13	93	6600
14	100	6574
15	106	6553
16	113	6557
17	120	6587
18	127	6572
19	133	6534
20	140	6572
21	148	6594
22	155	6609
23	162	6620
24	170	6649
25	177	6661
26	185	6670
27	194	6734
28	201	6741
29	209	6781
30	217	6799
31	224	6793
32	226	6649
33	235	6677
34	242	6674
35	249	6689
36	256	6686
37	263	6669
38	269	6645
39	277	6662
40	284	6650
41	292	6661
42	298	6652
43	306	6663
44	315	6686
45	321	6675
46	329	6676
47	335	6663
48	343	6662
49	351	6675
50	358	6661
51	365	6658
52	372	6651
53	379	6640
54	385	6626
55	393	6625
56	400	6627
57	408	6628
58	414	6611
59	421	6611
60	429	6604
61	436	6604
62	444	6607
63	451	6598
64	459	6608
65	465	6588
66	472	6583
67	479	6575
68	486	6568
69	493	6559
70	500	6548
71	507	6535
72	514	6528
73	521	6531
74	529	6529
75	536	6522
76	544	6530
77	552	6528
78	559	6518
79	566	6517
80	573	6506
81	580	6498
82	589	6515
83	596	6508
84	603	6499
85	611	6495
86	619	6500
87	626	6493
88	634	6493
89	641	6481
90	647	6469
91	655	6469
92	661	6455
93	669	6453
94	676	6439
95	683	6438
96	690	6432
97	699	6434
98	705	6421
99	714	6430
100	721	6423
101	728	6414
102	736	6413
103	743	6409
104	751	6405
105	758	6399
106	765	6389
107	773	6386
108	780	6376
109	787	6371
110	795	6367
111	803	6367
112	810	6359
113	818	6358
114	825	6354
115	832	6344
116	840	6344
117	847	6332
118	854	6327
119	862	6321
120	870	6321
121	877	6317
122	884	6307
123	892	6302
124	898	6290
125	905	6283
126	913	6276
127	922	6285
128	929	6275
129	936	6267
130	943	6261
131	951	6258
132	961	6265
133	968	6255
134	975	6248
135	982	6238
136	990	6236
137	997	6228
138	1004	6221
139	1012	6222
140	1021	6221
141	1029	6217
142	1037	6218
143	1044	6210
144	1052	6206
145	1061	6206
146	1069	6206
147	1076	6199
148	1083	6188
149	1091	6186
150	1098	6175
151	1105	6168
152	1114	6170
153	1121	6162
154	1128	6153
155	1136	6150
156	1143	6140
157	1151	6135
158	1158	6126
159	1166	6122
160	1173	6115
161	1182	6118
162	1190	6111
163	1197	6106
164	1206	6104
165	1214	6099
166	1221	6091
167	1228	6083
168	1235	6076
169	1243	6069
170	1250	6062
171	1259	6061
172	1268	6062
173	1275	6054
174	1281	6042
175	1288	6033
176	1295	6021
177	1302	6016
178	1309	6005
179	1317	6001
180	1324	5992
181	1331	5982
182	1340	5983
183	1348	5980
184	1355	5971
185	1365	5974
186	1372	5968
187	1380	5963
188	1388	5958
189	1396	5953
190	1403	5944
191	1410	5934
192	1416	5924
193	1425	5921
194	1433	5916
195	1440	5910
196	1448	5903
197	1455	5894
198	1463	5892
199	1472	5888
200	1479	5879
201	1485	5869
202	1493	5864
203	1501	5859
204	1508	5851
205	1517	5850
206	1525	5845
207	1533	5837
208	1540	5832
209	1547	5823
210	1554	5814
211	1561	5803
212	1568	5793
213	1574	5784
214	1582	5778
215	1589	5770
216	1598	5767
217	1605	5759
218	1612	5750
219	1619	5742
220	1626	5733
221	1634	5728
222	1642	5724
223	1649	5714
224	1656	5706
225	1664	5699
226	1673	5697
227	1680	5689
