iter	Logloss
184	0.1413992255
185	0.1408268211
186	0.1399394965
187	0.1391601704
188	0.138598754
189	0.13777947
190	0.1373979863
191	0.1368754939
192	0.1360838204
193	0.1354512111
194	0.1348274621
195	0.1342621762
196	0.1334824885
197	0.1329588077
198	0.132390727
199	0.131691906
200	0.1311249119
201	0.1306195029
202	0.1302009301
203	0.1297687022
204	0.1290079956
205	0.1284191499
206	0.127724733
207	0.1270497475
208	0.1265646996
209	0.125879025
210	0.1253840987
211	0.1250377778
212	0.1244151088
213	0.1240722563
214	0.1237717684
215	0.1232387098
216	0.1227508742
217	0.1220359529
218	0.1216262051
219	0.1212495919
220	0.1208726527
221	0.1204439697
222	0.1201482904
223	0.1198485902
224	0.1193598205
225	0.119070575
226	0.1187472191
227	0.1182315806
228	0.1176927163
229	0.1172798492
230	0.1164896622
231	0.1160967029
232	0.11574185
233	0.1154879731
234	0.1148890732
235	0.1143186077
236	0.1137512932
237	0.1133679228
238	0.1128185976
239	0.1124539175
240	0.1119783967
241	0.1116313574
242	0.1113134932
243	0.1107174385
244	0.1103394529
245	0.1099357333
246	0.1095651659
247	0.1090675216
248	0.108683135
249	0.1082121437
250	0.1077823747
251	0.1070805549
252	0.1067432088
253	0.1062412754
254	0.1057033705
255	0.1052759803
256	0.1048090778
257	0.1040704385
258	0.1036751336
259	0.1033588023
260	0.102861564
261	0.1024314891
262	0.1021251586
263	0.1015815006
264	0.1011187327
265	0.1006058999
266	0.1003019352
267	0.09997453694
268	0.09966886311
269	0.09944610641
270	0.09914575638
271	0.09892313767
272	0.09869651518
273	0.0983635158
274	0.09776854033
275	0.09735444809
276	0.09687223762
277	0.09657236245
278	0.09603643556
279	0.09551003859
280	0.09495950627
281	0.09454734915
282	0.0942174085
283	0.09379824012
284	0.09350630054
285	0.09316816834
286	0.09289056854
287	0.09252394012
288	0.09223527538
289	0.09184771215
290	0.09160590513
291	0.09119174643
292	0.0908042506
293	0.09055331893
294	0.09036347953
295	0.09008189486
296	0.08971078091
297	0.08934587626
298	0.08916892659
299	0.08884228588
300	0.08862363582
301	0.08829730067
302	0.0880159294
303	0.08778517052
304	0.08740491106
305	0.08705362924
306	0.08679313755
307	0.0865182048
308	0.0863297142
309	0.0860650314
310	0.08578476657
311	0.08544661752
312	0.08524589153
313	0.0850772378
314	0.0848154718
315	0.08442823411
316	0.08421036149
317	0.08386236774
318	0.08372871716
319	0.0835264467
320	0.08328090282
321	0.08312436492
322	0.08283658119
323	0.08252363711
324	0.08222032694
325	0.08200824616
326	0.08166135698
327	0.08144823573
328	0.0811576362
329	0.08093737715
330	0.08068286845
331	0.08052376463
332	0.0802999871
333	0.08000626663
334	0.0797425884
335	0.07957704837
336	0.07935372921
337	0.07898672549
338	0.07875109574
339	0.07847648934
340	0.07820791502
341	0.07782353368
342	0.077564687
343	0.07733288814
344	0.07689426063
345	0.07670614888
346	0.07646008495
347	0.0761220859
348	0.07587532711
349	0.07559681867
350	0.07540810712
351	0.07510924803
352	0.07490700427
353	0.07456852697
354	0.0743116134
355	0.07399948543
356	0.0738232345
357	0.07362507748
358	0.0735082852
359	0.07320612908
360	0.0730175228
361	0.07280208659
362	0.07259099634
363	0.07241604577
364	0.07212344463
365	0.07195563279
366	0.07172303484
367	0.07144225694
368	0.07121662464
369	0.07093400916
370	0.07075205797
371	0.07053333196
372	0.07038700262
373	0.07021677678
374	0.06998999143
375	0.06975246734
376	0.06948168859
377	0.06919222386
378	0.06904483517
379	0.06872886344
380	0.06854654714
381	0.06842886995
382	0.0682017104
383	0.06805742215
384	0.06790272065
385	0.06780034727
386	0.06767315153
387	0.06741481703
388	0.06725318072
389	0.0670491141
390	0.06690636581
391	0.06673155382
392	0.06654142643
393	0.06635658425
394	0.06616604002
395	0.06594265881
396	0.06574183666
397	0.06545458346
398	0.0652625717
399	0.0651448946
400	0.0650036888
401	0.06483431314
402	0.06467598916
403	0.06457610484
404	0.06438100846
405	0.06421420448
406	0.06404222175
407	0.06397371609
408	0.06375766476
409	0.06358040843
410	0.06341421661
411	0.06323487723
412	0.06301748504
413	0.06284216582
414	0.06262649411
415	0.06241052422
416	0.06213789683
417	0.06201680242
418	0.06190663312
419	0.06179643628
420	0.06170136009
421	0.06158330211
422	0.06147916318
423	0.0612819819
424	0.0611252606
425	0.06089846431
426	0.06076712594
427	0.060507799
428	0.06036773914
429	0.06021345208
430	0.06006451882
431	0.05991098507
432	0.05979581663
433	0.05964792139
434	0.05955720415
435	0.05946462916
436	0.05933911567
437	0.05922852653
438	0.05902690442
439	0.05890598877
440	0.05878686017
441	0.0585700384
442	0.05849123969
443	0.05843608614
444	0.05836177281
445	0.05824221825
446	0.05808242667
447	0.05794047061
448	0.05778289869
449	0.05751835607
450	0.05731608869
451	0.05706483446
452	0.05689333398
453	0.05678104928
454	0.0565949928
455	0.05644829342
456	0.05639193803
457	0.05623075644
458	0.05611087124
459	0.05597895182
460	0.05584565749
461	0.05577543334
462	0.0556212376
463	0.05553988384
464	0.055433845
465	0.05533805388
466	0.0552455536
467	0.05510087039
468	0.05499345586
469	0.0549367234
470	0.0547477839
471	0.0546699988
472	0.05457598825
473	0.05450725497
474	0.05439274008
475	0.0542704867
476	0.0541659985
477	0.05404306467
478	0.05395279351
479	0.05383844305
480	0.05369003638
481	0.05350370899
482	0.05342302733
483	0.05317157752
484	0.05298544425
485	0.05283207626
486	0.05271344858
487	0.05256895323
488	0.05240833667
489	0.05219028412
490	0.05201040059
491	0.05194055442
492	0.05185406024
493	0.0517182924
494	0.05157613788
495	0.05138337487
496	0.05128731092
497	0.05117725937
498	0.05109011452
499	0.05101352887
500	0.05086140973
501	0.05077578438
502	0.05058383779
503	0.05044111033
504	0.05034416824
505	0.05021873316
506	0.05015717692
507	0.05006578507
508	0.04987446174
509	0.04973106144
510	0.04956673372
511	0.04951666377
512	0.04939484699
513	0.04936939167
514	0.04932069079
515	0.04919781581
516	0.04909002714
517	0.04890260948
518	0.04882918572
519	0.04871605658
520	0.04864681004
521	0.04853129813
522	0.04844045348
523	0.04834043579
524	0.04817318508
525	0.04812967968
526	0.04800128298
527	0.04786974585
528	0.0477678787
529	0.04763942247
530	0.04749901888
531	0.04742308542
532	0.04731773135
533	0.04723182782
534	0.04708117151
535	0.0469702545
536	0.04687020637
537	0.04677275837
538	0.04664928151
539	0.04649480965
540	0.04638369946
541	0.04625045995
542	0.04603935323
543	0.04596174201
544	0.04585432616
545	0.04578220481
546	0.04568472451
547	0.04560596136
548	0.04546663347
549	0.04529457792
550	0.0452050637
551	0.04511701282
552	0.04497965199
553	0.04488094494
554	0.04483567043
555	0.04476254773
556	0.04466102257
557	0.04452617462
558	0.04447908928
559	0.04434782705
560	0.04424386464
561	0.04418149907
562	0.04412986834
563	0.04404990014
564	0.04396754113
565	0.04389950735
566	0.04377588953
567	0.04373506191
568	0.04361133286
569	0.04347123874
570	0.04336120066
571	0.04328887533
572	0.04319489656
573	0.04309927794
574	0.04296218415
575	0.04291305012
576	0.04286331685
577	0.0427311642
578	0.04265528161
579	0.04261885096
580	0.04255736374
581	0.04253902819
582	0.04246059621
583	0.04237952355
584	0.04234851098
585	0.04228910228
586	0.04221553714
587	0.04208878054
588	0.04203187918
589	0.04195219721
590	0.04183356231
591	0.04173069284
592	0.04166430887
593	0.04160209364
594	0.04151906497
595	0.04142072267
596	0.04131867588
597	0.04123339352
598	0.04117721394
599	0.04102578963
600	0.04090668252
601	0.04082382124
602	0.04074835753
603	0.04069869392
604	0.04063935905
605	0.04058107379
606	0.04055568897
607	0.04045507326
608	0.04039649725
609	0.04025156602
610	0.04014407141
611	0.04006844765
612	0.03995200123
613	0.03989215072
614	0.03976668117
615	0.03967979467
616	0.03958177028
617	0.03951962536
618	0.03946707403
619	0.03937464589
620	0.03925671114
621	0.03919369173
622	0.03904295671
623	0.03893092931
624	0.03888331688
625	0.03881223759
626	0.03878625935
627	0.03874690169
628	0.03871362464
629	0.03865556218
630	0.03856542014
631	0.03845832375
632	0.03840983141
633	0.03834808275
634	0.03830225113
635	0.03824900888
636	0.03817244235
637	0.03809486989
638	0.03806445823
639	0.03799172468
640	0.0379383359
641	0.03790089021
642	0.0378037881
643	0.03773511689
644	0.03770300925
645	0.03759607508
646	0.03754220649
647	0.03749776898
648	0.03740259482
649	0.03733949102
650	0.03723146753
651	0.03714699958
652	0.03709650946
653	0.03704166076
654	0.03700774676
655	0.03697801193
656	0.0368753806
657	0.03678235192
658	0.03674499297
659	0.03667003636
660	0.03659929245
661	0.03653349425
662	0.0364654517
663	0.03644744769
664	0.03638954767
665	0.03629307627
666	0.03622684986
667	0.03620449663
668	0.03611523432
669	0.03601977117
670	0.03598292067
671	0.03588223465
672	0.03583181761
673	0.03581065478
674	0.03574753731
675	0.0356407006
676	0.03559933246
677	0.03556178855
678	0.03550458557
679	0.03545297109
680	0.03536950741
681	0.0352858009
682	0.03518049187
683	0.03514862798
684	0.03511835264
685	0.03508520481
686	0.03505486692
687	0.03498256238
688	0.03487434194
689	0.0348323639
690	0.03474407024
691	0.03470672127
692	0.03466427159
693	0.034562739
694	0.03454505324
695	0.03449337657
696	0.03442618841
697	0.03437480242
698	0.03430600106
699	0.03418757907
700	0.03414538738
701	0.03409448918
702	0.0340209689
703	0.03393651748
704	0.03390315371
705	0.03379621264
706	0.03372100797
707	0.03367960924
708	0.03365180489
709	0.03361296737
710	0.0335507662
711	0.0334606559
712	0.03341557258
713	0.0333472547
714	0.03331050499
715	0.03326316967
716	0.03324371747
717	0.03319314675
718	0.033137842
719	0.03309118608
720	0.03299587759
721	0.03293566496
722	0.03291086848
723	0.0328171792
724	0.0327514694
725	0.03270414094
726	0.03265264906
727	0.03261950045
728	0.0325685689
729	0.03253376848
730	0.0325150121
731	0.03244053143
732	0.03239296977
733	0.03238238897
734	0.03228178184
735	0.03221990268
736	0.03219520284
737	0.03215440065
738	0.03210273293
739	0.03207116452
740	0.03201613291
741	0.03193573929
742	0.03190361613
743	0.03183222567
744	0.03171877786
745	0.03162343017
746	0.03159994679
747	0.03158874728
748	0.03156562979
749	0.03150915204
750	0.03148703918
751	0.031450751
752	0.03140063789
753	0.031347683
754	0.03132149154
755	0.03127747195
756	0.03124781077
757	0.03116698529
758	0.03111175845
759	0.0310819827
760	0.03103593399
761	0.03099083377
762	0.03089025753
763	0.03086343391
764	0.03080627559
765	0.03078700621
766	0.03076039693
767	0.03070605177
768	0.03062945253
769	0.03057053553
770	0.03053874747
771	0.03048993194
772	0.03043368834
773	0.03039875949
774	0.03031507539
775	0.03029395234
776	0.03023740993
777	0.03020161294
778	0.03005791867
779	0.03000276865
780	0.02996036465
781	0.02991973081
782	0.02982790075
783	0.02976022411
784	0.02971331974
785	0.02966912574
786	0.02955614353
787	0.02953010713
788	0.0294788092
789	0.02945926755
790	0.0294113102
791	0.02934645967
792	0.02930732929
793	0.02925762166
794	0.02920945264
795	0.02917840277
796	0.02913460717
797	0.02910684348
798	0.02908095233
799	0.02903043637
800	0.02897295077
801	0.028946326
802	0.02891492214
803	0.02889260655
804	0.02887017873
805	0.02882394366
806	0.02876658293
807	0.02872125454
808	0.02866096967
809	0.02864829424
810	0.02860906434
811	0.02860066865
812	0.02859064134
813	0.02851908256
814	0.02849091834
815	0.02844870005
816	0.02840450305
817	0.02836258136
818	0.02832180155
819	0.02829214028
820	0.02825152335
821	0.02821905004
822	0.0281505227
823	0.02813342331
824	0.02811948549
825	0.02808996844
826	0.02804902305
827	0.02803037672
828	0.02796896677
829	0.02791761847
830	0.0278680116
831	0.02781925846
832	0.02777383111
833	0.02777140158
834	0.02773419357
835	0.02764119306
836	0.02757053222
837	0.02752480513
838	0.02747803977
839	0.02745741672
840	0.0274258485
841	0.02742029762
842	0.02741225183
843	0.02737945291
844	0.02736204595
845	0.02728062953
846	0.0272289899
847	0.02716865729
848	0.02712649965
849	0.02711089333
850	0.02706279672
851	0.02704704083
852	0.02695278037
853	0.02693536392
854	0.02688557557
855	0.0268487605
856	0.02682188105
857	0.02680909302
858	0.02674962445
859	0.02671065302
860	0.02668171268
861	0.02665259103
862	0.02663283952
863	0.02658580326
864	0.02651583079
865	0.026503394
866	0.02648820932
867	0.02645447947
868	0.02639961403
869	0.02637203766
870	0.02634932475
871	0.0263285481
872	0.02629766222
873	0.0262718494
874	0.02623997356
875	0.02617289141
876	0.02613349996
877	0.02608469233
878	0.02607116865
879	0.02603821658
880	0.02600688774
881	0.0259685971
882	0.02594601518
883	0.02593557814
884	0.02585479264
885	0.02582932395
886	0.02578264045
887	0.02575365275
888	0.02571429849
889	0.02568969314
890	0.02563781157
891	0.02559608026
892	0.02551494139
893	0.02547669539
894	0.02541190928
895	0.02535736742
896	0.02534024083
897	0.02532044914
898	0.02525311357
899	0.02519824591
900	0.02517225815
901	0.02514261843
902	0.02511600094
903	0.02506584427
904	0.02498859056
905	0.02495435437
906	0.0249325542
907	0.02488357705
908	0.02484023697
909	0.02483177171
910	0.02480859544
911	0.02479607366
912	0.02475545932
913	0.02470748459
914	0.02465770674
915	0.02463751656
916	0.02457195233
917	0.02451556211
918	0.02448897435
919	0.02445457277
920	0.02444722654
921	0.02443520424
922	0.02436962954
923	0.02433638815
924	0.02429705863
925	0.02424919824
926	0.02421160896
927	0.0241521084
928	0.0241470715
929	0.02412218825
930	0.02410056557
931	0.02409307923
932	0.02404160119
933	0.02401642153
934	0.02396671486
935	0.02395396941
936	0.02392520837
937	0.02388831794
938	0.02388022285
939	0.02382232553
940	0.02376881858
941	0.02374300003
942	0.02374116602
943	0.02368766162
944	0.02364758725
945	0.02360675681
946	0.02355526705
947	0.02354522863
948	0.02352344927
949	0.02349891384
950	0.02346666192
951	0.02344973395
952	0.02341963766
953	0.02338181706
954	0.0233493416
955	0.02330162183
956	0.02326232942
957	0.0232021017
958	0.02318179282
959	0.02312213187
960	0.02307558729
961	0.02303818918
962	0.02300212785
963	0.02298935848
964	0.02295147055
965	0.02292142522
966	0.02291010317
967	0.02285323306
968	0.02282184462
969	0.02279772586
970	0.0227556512
971	0.02272843448
972	0.02269965673
973	0.02267567983
974	0.02262339111
975	0.02259598256
976	0.02257381981
977	0.02257059804
978	0.02252170146
979	0.02251396282
980	0.02250683305
981	0.02248036717
982	0.02247399694
983	0.02244914094
984	0.02243005397
985	0.02238086267
986	0.02234131121
987	0.02230374164
988	0.02226963891
989	0.02225804322
990	0.02225401842
991	0.02221844907
992	0.02219870747
993	0.02218663599
994	0.02216119945
995	0.02215100467
996	0.02212572177
997	0.02212246692
998	0.02209336086
999	0.02205688232
