back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge,total-events,unique-locations,active-location-ratio,private-to-public-ratio,location-entropy,location-dominance-ratio,back-and-forth-count,num-transitions,back-door-count-max,back-door-count-mean,back-door-count-std,back-door-count-sum,bathroom-count-max,bathroom-count-mean,bathroom-count-std,bathroom-count-sum,bedroom-count-max,bedroom-count-mean,bedroom-count-std,bedroom-count-sum,fridge-door-count-max,fridge-door-count-mean,fridge-door-count-std,fridge-door-count-sum,front-door-count-max,front-door-count-mean,front-door-count-std,front-door-count-sum,hallway-count-max,hallway-count-mean,hallway-count-std,hallway-count-sum,kitchen-count-max,kitchen-count-mean,kitchen-count-std,kitchen-count-sum,lounge-count-max,lounge-count-mean,lounge-count-std,lounge-count-sum
2.0,26.0,42.0,4.0,0.0,18.0,33.0,3.0,128.0,7.0,0.875,1.2593,2.2737,0.3281,17.0,73.0,2.0,0.0833,0.4082,2.0,12.0,1.0833,2.7013,26.0,12.0,1.75,3.4798,42.0,2.0,0.1667,0.5647,4.0,0.0,0.0,0.0,0.0,7.0,0.75,1.8708,18.0,10.0,1.375,3.0333,33.0,2.0,0.125,0.4484,3.0
12.0,4.0,13.0,14.0,0.0,20.0,47.0,1.0,111.0,7.0,0.875,0.25,2.2905,0.4234,14.0,62.0,6.0,0.5,1.4744,12.0,2.0,0.1667,0.4815,4.0,5.0,0.5417,1.3181,13.0,8.0,0.5833,1.8158,14.0,0.0,0.0,0.0,0.0,7.0,0.8333,1.9927,20.0,24.0,1.9583,5.4731,47.0,1.0,0.0417,0.2041,1.0
0.0,4.0,20.0,4.0,6.0,12.0,24.0,5.0,75.0,7.0,0.875,0.5854,2.4606,0.32,8.0,45.0,0.0,0.0,0.0,0.0,2.0,0.1667,0.5647,4.0,8.0,0.8333,2.0144,20.0,4.0,0.1667,0.8165,4.0,6.0,0.25,1.2247,6.0,7.0,0.5,1.5604,12.0,14.0,1.0,3.1623,24.0,4.0,0.2083,0.833,5.0
0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.25,1.0,0.9911,0.5556,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.1667,0.5647,4.0,2.0,0.2083,0.5882,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,13.0,33.0,6.0,0.0,15.0,19.0,3.0,91.0,7.0,0.875,1.2432,2.3743,0.3626,11.0,50.0,2.0,0.0833,0.4082,2.0,5.0,0.5417,1.3507,13.0,14.0,1.375,3.524,33.0,6.0,0.25,1.2247,6.0,0.0,0.0,0.0,0.0,8.0,0.625,1.9068,15.0,14.0,0.7917,2.904,19.0,2.0,0.125,0.4484,3.0
6.0,7.0,14.0,34.0,0.0,16.0,37.0,2.0,116.0,7.0,0.875,0.3818,2.3736,0.319,23.0,71.0,4.0,0.25,0.8969,6.0,3.0,0.2917,0.7506,7.0,6.0,0.5833,1.4116,14.0,20.0,1.4167,4.4323,34.0,0.0,0.0,0.0,0.0,6.0,0.6667,1.4939,16.0,16.0,1.5417,4.0323,37.0,1.0,0.0833,0.2823,2.0
0.0,8.0,14.0,0.0,0.0,2.0,1.0,1.0,26.0,5.0,0.625,5.5,1.6503,0.5385,3.0,12.0,0.0,0.0,0.0,0.0,7.0,0.3333,1.4346,8.0,9.0,0.5833,1.8631,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0833,0.4082,2.0,1.0,0.0417,0.2041,1.0,1.0,0.0417,0.2041,1.0
0.0,10.0,11.0,0.0,0.0,1.0,2.0,0.0,24.0,4.0,0.5,7.0,1.5319,0.4583,1.0,12.0,0.0,0.0,0.0,0.0,6.0,0.4167,1.4421,10.0,5.0,0.4583,1.3181,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0417,0.2041,1.0,2.0,0.0833,0.4082,2.0,0.0,0.0,0.0,0.0
18.0,22.0,44.0,12.0,0.0,34.0,68.0,3.0,201.0,7.0,0.875,0.6286,2.4367,0.3383,15.0,121.0,6.0,0.75,1.7508,18.0,9.0,0.9167,2.1653,22.0,12.0,1.8333,3.7261,44.0,4.0,0.5,1.2158,12.0,0.0,0.0,0.0,0.0,12.0,1.4167,3.1885,34.0,23.0,2.8333,6.6638,68.0,2.0,0.125,0.4484,3.0
7.0,10.0,16.0,36.0,1.0,22.0,49.0,0.0,141.0,7.0,0.875,0.3662,2.3437,0.3475,25.0,82.0,3.0,0.2917,0.8065,7.0,4.0,0.4167,1.1389,10.0,9.0,0.6667,1.9486,16.0,12.0,1.5,3.5509,36.0,1.0,0.0417,0.2041,1.0,6.0,0.9167,2.1247,22.0,21.0,2.0417,5.3688,49.0,0.0,0.0,0.0,0.0
