back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge,back-door-count-max,back-door-count-mean,back-door-count-std,back-door-count-sum,bathroom-count-max,bathroom-count-mean,bathroom-count-std,bathroom-count-sum,bedroom-count-max,bedroom-count-mean,bedroom-count-std,bedroom-count-sum,fridge-door-count-max,fridge-door-count-mean,fridge-door-count-std,fridge-door-count-sum,front-door-count-max,front-door-count-mean,front-door-count-std,front-door-count-sum,hallway-count-max,hallway-count-mean,hallway-count-std,hallway-count-sum,kitchen-count-max,kitchen-count-mean,kitchen-count-std,kitchen-count-sum,lounge-count-max,lounge-count-mean,lounge-count-std,lounge-count-sum
14.0,7.0,24.0,23.0,28.0,40.0,106.0,80.0,11.0,3.5,5.0,14.0,5.0,3.5,2.1213,7.0,10.0,6.0,3.7417,24.0,21.0,11.5,13.435,23.0,13.0,7.0,4.899,28.0,9.0,5.0,3.6645,40.0,20.0,10.6,5.2536,106.0,16.0,8.0,5.5976,80.0
2.0,11.0,26.0,8.0,23.0,57.0,120.0,117.0,1.0,1.0,0.0,2.0,6.0,3.6667,2.5166,11.0,8.0,3.25,2.4928,26.0,2.0,2.0,0.0,8.0,6.0,3.2857,1.7043,23.0,11.0,4.75,3.3609,57.0,16.0,8.5714,4.7021,120.0,21.0,7.8,5.5058,117.0
12.0,17.0,31.0,27.0,13.0,32.0,71.0,6.0,3.0,2.0,0.8944,12.0,5.0,2.4286,1.2724,17.0,14.0,4.4286,4.315,31.0,10.0,4.5,3.4496,27.0,7.0,4.3333,2.5166,13.0,7.0,4.5714,2.2254,32.0,19.0,10.1429,5.64,71.0,2.0,1.2,0.4472,6.0
14.0,42.0,85.0,22.0,6.0,50.0,104.0,9.0,6.0,3.5,1.9149,14.0,12.0,2.8,2.7826,42.0,12.0,4.4737,2.9509,85.0,8.0,3.6667,2.3381,22.0,6.0,6.0,3.2881,6.0,7.0,4.1667,2.2496,50.0,24.0,8.6667,5.9595,104.0,4.0,1.8,1.3038,9.0
8.0,32.0,66.0,40.0,0.0,33.0,57.0,6.0,4.0,2.6667,1.1547,8.0,7.0,2.6667,1.8257,32.0,14.0,3.6667,3.7573,66.0,20.0,10.0,6.733,40.0,7.6286,3.8224,2.4324,24.8,8.0,3.6667,2.1794,33.0,16.0,6.3333,5.9161,57.0,2.0,1.2,0.4472,6.0
25.0,55.0,84.0,48.0,1.0,65.0,135.0,4.0,6.0,3.5714,1.3973,25.0,9.0,3.9286,2.1291,55.0,12.0,4.9412,3.4364,84.0,12.0,6.0,3.7033,48.0,1.0,1.0,1.9562,1.0,12.0,5.0,3.1091,65.0,23.0,10.3846,8.0575,135.0,2.0,1.3333,0.5774,4.0
4.0,63.0,86.0,16.0,0.0,41.0,65.0,6.0,2.0,2.0,0.0,4.0,8.0,3.5,1.8865,63.0,9.0,4.5263,2.5899,86.0,6.0,4.0,2.3094,16.0,6.3889,3.3091,1.8938,20.3333,9.0,3.4167,2.4664,41.0,19.0,5.9091,5.0091,65.0,1.0,1.0,0.0,6.0
24.0,72.0,95.0,32.0,0.0,54.0,88.0,9.0,6.0,3.0,1.6036,24.0,11.0,3.7895,2.6994,72.0,12.0,5.0,3.6968,95.0,10.0,4.0,2.8284,32.0,7.0,3.6044,1.9987,26.3611,7.0,4.1538,2.035,54.0,20.0,6.7692,6.153,88.0,3.0,1.5,0.8367,9.0
20.0,70.0,96.0,18.0,0.0,56.0,94.0,6.0,6.0,2.8571,1.8645,20.0,10.0,5.3846,2.6627,70.0,14.0,5.6471,3.3901,96.0,6.0,3.6,1.6733,18.0,7.0789,3.6255,2.1348,26.6842,20.0,5.0909,5.3001,56.0,21.0,9.4,6.5693,94.0,3.0,1.5,1.0,6.0
9.0,39.0,71.0,8.0,0.0,32.0,38.0,2.0,3.0,2.25,0.5,9.0,9.0,3.25,2.0505,39.0,16.0,5.4615,4.1756,71.0,4.0,4.0,0.0,8.0,7.2821,3.4628,2.037,23.641,6.0,3.5556,1.7401,32.0,13.0,4.2222,3.7342,38.0,1.0,1.0,0.0,2.0
