back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
6.0,6.0,21.0,22.0,0.0,51.0,61.0,49.0
16.0,6.0,13.0,26.0,0.0,59.0,39.0,60.0
12.0,12.0,33.0,18.0,0.0,60.0,56.0,60.0
11.0,11.0,30.0,24.0,0.0,81.0,73.0,66.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
14.9762,44.5952,74.8095,21.7381,1.3571,41.1667,68.4762,5.5476
1.0,3.0,6.0,8.0,0.0,28.0,24.0,50.0
16.0,7.0,17.0,18.0,0.0,56.0,57.0,59.0
20.0,6.0,17.0,26.0,0.0,85.0,80.0,105.0
13.0,14.0,17.0,20.0,0.0,64.0,52.0,66.0
13.0,10.0,17.0,26.0,0.0,52.0,53.0,57.0
4.0,8.0,18.0,32.0,0.0,56.0,58.0,72.0
2.0,4.0,10.0,8.0,0.0,23.0,28.0,25.0
6.0,14.0,22.0,32.0,0.0,51.0,47.0,60.0
12.0,4.0,22.0,10.0,0.0,59.0,50.0,79.0
8.0,10.0,23.0,26.0,0.0,53.0,44.0,67.0
4.0,1.0,8.0,28.0,0.0,28.0,23.0,24.0
8.0,9.0,22.0,26.0,0.0,43.0,32.0,41.0
2.0,7.0,13.0,22.0,0.0,72.0,64.0,84.0
9.0,79.0,20.0,68.0,0.0,21.0,0.0,42.0
42.0,116.0,41.0,68.0,0.0,43.0,0.0,72.0
67.0,156.0,37.0,112.0,0.0,45.0,0.0,117.0
17.0,106.0,24.0,60.0,0.0,32.0,0.0,91.0
27.0,250.0,27.0,130.0,0.0,33.0,0.0,92.0
0.0,3.0,10.0,0.0,1.0,12.0,15.0,0.0
0.0,81.7701,18.1379,0.0,41.6322,113.5057,122.1149,0.0
0.0,30.0,17.0,0.0,0.0,49.0,44.0,0.0
0.0,49.0,59.0,0.0,33.0,136.0,141.0,0.0
0.0,78.0,75.0,0.0,38.0,158.0,174.0,0.0
0.0,84.0,50.0,0.0,26.0,114.0,109.0,0.0
0.0,73.0,81.0,0.0,12.0,84.0,109.0,0.0
0.0,104.0,44.0,0.0,20.0,114.0,111.0,0.0
0.0,72.0,27.0,0.0,10.0,91.0,86.0,0.0
0.0,98.0,76.0,0.0,24.0,90.0,96.0,0.0
0.0,112.0,53.0,0.0,28.0,141.0,124.0,0.0
0.0,136.0,68.0,0.0,38.0,173.0,155.0,0.0
0.0,101.0,46.0,0.0,16.0,91.0,105.0,0.0
0.0,137.0,76.0,0.0,20.0,152.0,172.0,0.0
0.0,123.0,48.0,0.0,10.0,112.0,124.0,0.0
0.0,163.0,76.0,0.0,89.0,187.0,161.0,0.0
0.0,48.0,72.0,0.0,26.0,96.0,91.0,0.0
0.0,63.0,55.0,0.0,24.0,87.0,70.0,0.0
0.0,98.0,45.0,0.0,18.0,100.0,98.0,0.0
