id,date,6h,back-door-count-max,back-door-count-mean,back-door-count-std,back-door-count-sum,bedroom-count-max,bedroom-count-mean,bedroom-count-std,bedroom-count-sum,fridge-door-count-max,fridge-door-count-mean,fridge-door-count-std,fridge-door-count-sum,front-door-count-max,front-door-count-mean,front-door-count-std,front-door-count-sum,hallway-count-max,hallway-count-mean,hallway-count-std,hallway-count-sum,kitchen-count-max,kitchen-count-mean,kitchen-count-std,kitchen-count-sum,lounge-count-max,lounge-count-mean,lounge-count-std,lounge-count-sum
a380e,2019-04-29,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a380e,2019-04-29,06-12,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a380e,2019-04-29,12-18,0,0.0,0.0,0,2,0.12,0.45,3,8,0.62,1.81,15,6,0.25,1.22,6,6,0.38,1.35,9,14,1.54,3.49,37,21,2.96,6.08,71
a380e,2019-04-29,18-24,4,0.17,0.82,4,12,0.92,2.59,22,4,0.5,1.22,12,0,0.0,0.0,0,7,0.67,1.69,16,20,2.5,5.45,60,14,1.92,4.06,46
a380e,2019-04-30,00-06,0,0.0,0.0,0,4,0.42,1.14,10,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a380e,2019-04-30,06-12,4,0.17,0.82,4,13,1.25,3.44,30,4,0.33,1.13,8,0,0.0,0.0,0,4,0.54,1.28,13,10,0.96,2.51,23,17,1.25,3.71,30
a380e,2019-04-30,12-18,4,0.17,0.82,4,2,0.08,0.41,2,2,0.17,0.56,4,0,0.0,0.0,0,9,0.5,1.91,12,16,0.79,3.3,19,9,0.62,2.16,15
a380e,2019-04-30,18-24,0,0.0,0.0,0,9,0.75,2.29,18,14,0.92,3.01,22,0,0.0,0.0,0,4,0.46,1.1,11,12,1.88,3.86,45,9,1.58,2.96,38
a380e,2019-05-01,00-06,0,0.0,0.0,0,8,0.71,1.81,17,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a380e,2019-05-01,06-12,4,0.17,0.82,4,15,1.62,3.87,39,6,0.46,1.56,11,0,0.0,0.0,0,8,0.71,2.01,17,12,1.0,2.89,24,14,1.0,3.13,24
a380e,2019-05-01,12-18,0,0.0,0.0,0,3,0.21,0.72,5,6,0.92,2.12,22,0,0.0,0.0,0,3,0.29,0.81,7,16,2.46,5.28,59,9,1.5,3.06,36
a380e,2019-05-01,18-24,4,0.17,0.82,4,0,0.0,0.0,0,10,0.92,2.64,22,0,0.0,0.0,0,0,0.0,0.0,0,17,1.75,4.72,42,11,1.25,2.83,30
a380e,2019-05-02,00-06,0,0.0,0.0,0,12,1.0,2.69,24,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1,3,0.12,0.61,3,2,0.08,0.41,2
a380e,2019-05-02,06-12,4,0.17,0.82,4,15,1.21,3.34,29,14,0.58,2.86,14,0,0.0,0.0,0,5,0.58,1.47,14,21,2.04,5.92,49,8,1.08,2.55,26
a380e,2019-05-02,12-18,4,0.5,1.35,12,5,0.33,1.17,8,8,1.08,2.43,26,0,0.0,0.0,0,7,0.67,1.74,16,17,2.79,5.56,67,17,2.42,4.62,58
a380e,2019-05-02,18-24,0,0.0,0.0,0,16,0.88,3.3,21,10,1.08,3.01,26,0,0.0,0.0,0,4,0.33,0.96,8,21,2.67,5.76,64,14,1.83,3.73,44
a380e,2019-05-03,00-06,0,0.0,0.0,0,5,0.5,1.38,12,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a380e,2019-05-03,06-12,4,0.17,0.82,4,10,0.88,2.38,21,8,0.42,1.67,10,0,0.0,0.0,0,3,0.33,0.82,8,18,2.12,5.19,51,11,1.46,3.31,35
a380e,2019-05-03,12-18,5,0.67,1.46,16,2,0.12,0.45,3,6,0.42,1.32,10,0,0.0,0.0,0,3,0.25,0.74,6,11,1.25,3.12,30,6,0.58,1.53,14
a380e,2019-05-03,18-24,0,0.0,0.0,0,13,0.54,2.65,13,6,0.67,1.52,16,0,0.0,0.0,0,2,0.17,0.56,4,22,2.29,5.37,55,11,1.83,3.67,44
a380e,2019-05-04,00-06,0,0.0,0.0,0,7,0.75,1.85,18,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a380e,2019-05-04,06-12,0,0.0,0.0,0,15,1.17,3.32,28,4,0.33,1.13,8,0,0.0,0.0,0,7,0.83,2.14,20,24,2.29,6.08,55,8,1.17,2.65,28
a380e,2019-05-04,12-18,4,0.17,0.82,4,12,0.5,2.45,12,12,1.08,2.76,26,0,0.0,0.0,0,5,0.62,1.41,15,14,2.71,4.95,65,9,1.62,3.05,39
a380e,2019-05-04,18-24,4,0.17,0.82,4,15,0.79,3.13,19,4,0.58,1.38,14,0,0.0,0.0,0,3,0.21,0.72,5,9,1.0,2.4,24,9,1.04,2.51,25
a380e,2019-05-05,00-06,0,0.0,0.0,0,4,0.58,1.25,14,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a380e,2019-05-05,06-12,0,0.0,0.0,0,15,1.33,3.47,32,6,0.25,1.22,6,0,0.0,0.0,0,6,0.79,1.72,19,15,1.17,3.4,28,8,0.75,1.92,18
a380e,2019-05-05,12-18,4,0.33,0.96,8,6,0.25,1.22,6,6,0.75,1.85,18,0,0.0,0.0,0,11,1.58,3.36,38,20,2.71,5.9,65,11,1.38,3.17,33
a380e,2019-05-05,18-24,0,0.0,0.0,0,14,0.62,2.86,15,10,1.0,2.5,24,0,0.0,0.0,0,3,0.21,0.72,5,18,1.29,3.96,31,16,1.21,3.6,29
