id,date,6h,back-door-count-max,back-door-count-mean,back-door-count-std,back-door-count-sum,bedroom-count-max,bedroom-count-mean,bedroom-count-std,bedroom-count-sum,fridge-door-count-max,fridge-door-count-mean,fridge-door-count-std,fridge-door-count-sum,front-door-count-max,front-door-count-mean,front-door-count-std,front-door-count-sum,hallway-count-max,hallway-count-mean,hallway-count-std,hallway-count-sum,kitchen-count-max,kitchen-count-mean,kitchen-count-std,kitchen-count-sum,lounge-count-max,lounge-count-mean,lounge-count-std,lounge-count-sum
714d7,2019-05-09,06-12,2,0.12,0.45,3,11,0.79,2.32,19,4,0.42,1.18,10,4,0.33,0.96,8,13,1.5,3.48,36,14,1.71,3.65,41,9,1.08,2.57,26
714d7,2019-05-09,12-18,3,0.21,0.66,5,6,0.29,1.23,7,10,0.75,2.27,18,2,0.25,0.68,6,10,1.17,2.87,28,11,1.33,3.23,32,11,1.25,3.08,30
714d7,2019-05-09,18-24,8,0.33,1.63,8,5,0.54,1.47,13,0,0.0,0.0,0,2,0.17,0.56,4,7,0.83,2.1,20,13,1.0,2.92,24,8,0.71,2.14,17
714d7,2019-05-10,00-06,0,0.0,0.0,0,2,0.12,0.45,3,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
714d7,2019-05-10,06-12,1,0.08,0.28,2,7,0.71,1.9,17,6,0.75,1.75,18,10,0.67,2.33,16,6,0.62,1.47,15,9,1.25,2.59,30,2,0.17,0.48,4
714d7,2019-05-10,12-18,1,0.08,0.28,2,10,0.42,2.04,10,12,0.5,2.45,12,7,0.33,1.43,8,21,0.96,4.28,23,19,1.33,4.01,32,9,0.42,1.84,10
714d7,2019-05-10,18-24,4,0.17,0.82,4,4,0.17,0.82,4,0,0.0,0.0,0,0,0.0,0.0,0,6,0.46,1.44,11,5,0.46,1.41,11,7,0.42,1.47,10
714d7,2019-05-11,00-06,0,0.0,0.0,0,3,0.12,0.61,3,2,0.08,0.41,2,0,0.0,0.0,0,2,0.08,0.41,2,2,0.08,0.41,2,0,0.0,0.0,0
714d7,2019-05-11,06-12,1,0.08,0.28,2,5,0.21,1.02,5,8,0.42,1.67,10,2,0.08,0.41,2,3,0.25,0.85,6,12,0.75,2.69,18,0,0.0,0.0,0
714d7,2019-05-11,12-18,1,0.08,0.28,2,1,0.04,0.2,1,8,0.42,1.67,10,2,0.08,0.41,2,4,0.21,0.83,5,11,0.62,2.36,15,1,0.04,0.2,1
714d7,2019-05-11,18-24,2,0.12,0.45,3,2,0.08,0.41,2,8,0.33,1.63,8,0,0.0,0.0,0,5,0.33,1.09,8,6,0.42,1.32,10,6,0.33,1.24,8
714d7,2019-05-12,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
714d7,2019-05-12,06-12,2,0.12,0.45,3,3,0.21,0.66,5,16,0.92,3.34,22,0,0.0,0.0,0,2,0.12,0.45,3,7,0.83,2.16,20,0,0.0,0.0,0
714d7,2019-05-12,12-18,4,0.21,0.83,5,7,0.42,1.44,10,12,1.0,2.77,24,4,0.33,0.96,8,10,1.12,2.66,27,15,1.83,4.33,44,7,0.58,1.64,14
714d7,2019-05-12,18-24,0,0.0,0.0,0,8,0.46,1.72,11,8,0.33,1.63,8,2,0.08,0.41,2,12,0.92,2.69,22,12,1.04,2.94,25,15,1.33,3.86,32
714d7,2019-05-13,00-06,0,0.0,0.0,0,4,0.29,0.91,7,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1,2,0.08,0.41,2,0,0.0,0.0,0
714d7,2019-05-13,06-12,2,0.12,0.45,3,7,0.46,1.61,11,8,1.25,2.35,30,2,0.08,0.41,2,6,0.38,1.28,9,8,1.33,2.55,32,1,0.04,0.2,1
714d7,2019-05-13,12-18,1,0.12,0.34,3,2,0.17,0.56,4,4,0.25,0.9,6,4,0.42,1.02,10,10,1.17,2.71,28,8,1.04,2.39,25,11,1.29,2.87,31
714d7,2019-05-13,18-24,4,0.17,0.82,4,6,0.54,1.41,13,0,0.0,0.0,0,0,0.0,0.0,0,7,0.62,1.66,15,8,0.71,1.85,17,4,0.5,1.22,12
714d7,2019-05-14,00-06,0,0.0,0.0,0,2,0.21,0.59,5,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1,3,0.12,0.61,3,0,0.0,0.0,0
714d7,2019-05-14,06-12,1,0.12,0.34,3,5,0.38,1.17,9,6,0.92,1.77,22,2,0.08,0.41,2,4,0.38,0.97,9,6,1.08,2.1,26,1,0.04,0.2,1
714d7,2019-05-14,12-18,4,0.29,0.91,7,2,0.17,0.56,4,6,0.25,1.22,6,6,0.33,1.27,8,11,1.17,2.99,28,9,1.12,2.69,27,7,0.88,1.9,21
714d7,2019-05-14,18-24,1,0.08,0.28,2,5,0.58,1.41,14,4,0.33,1.13,8,4,0.33,0.96,8,8,0.83,2.1,20,12,1.29,3.01,31,7,0.58,1.98,14
714d7,2019-05-15,00-06,0,0.0,0.0,0,2,0.21,0.51,5,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1,0,0.0,0.0,0
714d7,2019-05-15,06-12,1,0.04,0.2,1,11,0.96,2.74,23,8,1.0,2.21,24,2,0.17,0.56,4,7,0.71,1.81,17,11,1.83,3.85,44,2,0.08,0.41,2
714d7,2019-05-15,12-18,4,0.29,0.91,7,2,0.08,0.41,2,4,0.58,1.25,14,8,0.58,1.82,14,10,1.08,2.48,26,12,1.17,2.85,28,7,0.88,1.87,21
714d7,2019-05-15,18-24,2,0.08,0.41,2,9,1.33,2.96,32,2,0.08,0.41,2,2,0.08,0.41,2,8,1.08,2.52,26,9,0.92,2.28,22,7,0.88,2.07,21
714d7,2019-05-16,00-06,0,0.0,0.0,0,1,0.04,0.2,1,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
714d7,2019-05-16,06-12,1,0.04,0.2,1,13,1.12,2.98,27,12,1.42,3.3,34,6,0.42,1.32,10,15,1.5,3.84,36,22,2.38,5.7,57,10,0.62,2.16,15
714d7,2019-05-16,12-18,4,0.21,0.83,5,6,0.25,1.22,6,8,0.42,1.67,10,4,0.33,0.96,8,14,1.0,3.23,24,8,0.79,2.3,19,8,0.71,2.14,17
714d7,2019-05-16,18-24,2,0.08,0.41,2,9,0.71,2.27,17,2,0.08,0.41,2,4,0.33,0.96,8,19,1.62,4.68,39,17,1.62,4.36,39,12,1.17,3.16,28
714d7,2019-05-17,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1,0,0.0,0.0,0
714d7,2019-05-17,06-12,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,4,0.17,0.82,4,3,0.12,0.61,3,2,0.17,0.48,4,0,0.0,0.0,0
714d7,2019-05-17,12-18,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
714d7,2019-05-17,18-24,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1,0,0.0,0.0,0
714d7,2019-05-18,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
714d7,2019-05-18,06-12,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,4,0.17,0.82,4,2,0.08,0.41,2,3,0.12,0.61,3,0,0.0,0.0,0
714d7,2019-05-18,12-18,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1,0,0.0,0.0,0
714d7,2019-05-18,18-24,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,2,0.08,0.41,2,0,0.0,0.0,0
