id,date,6h,back-door-count-max,back-door-count-mean,back-door-count-std,back-door-count-sum,bathroom-count-max,bathroom-count-mean,bathroom-count-std,bathroom-count-sum,bedroom-count-max,bedroom-count-mean,bedroom-count-std,bedroom-count-sum,fridge-door-count-max,fridge-door-count-mean,fridge-door-count-std,fridge-door-count-sum,kitchen-count-max,kitchen-count-mean,kitchen-count-std,kitchen-count-sum
a539e,2019-06-17,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-06-17,06-12,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-06-17,12-18,1,0.08,0.28,2,5,0.54,1.38,13,2,0.17,0.48,4,4,0.17,0.82,4,13,1.29,3.25,31
a539e,2019-06-17,18-24,9,0.54,1.98,13,8,0.83,2.18,20,10,0.62,2.24,15,2,0.17,0.56,4,12,0.96,2.76,23
a539e,2019-06-18,00-06,0,0.0,0.0,0,3,0.21,0.72,5,3,0.5,0.98,12,2,0.08,0.41,2,2,0.12,0.45,3
a539e,2019-06-18,06-12,4,0.25,0.9,6,19,1.83,4.39,44,11,0.83,2.35,20,6,0.83,1.76,20,12,2.08,4.01,50
a539e,2019-06-18,12-18,5,0.38,1.13,9,7,0.54,1.56,13,2,0.17,0.48,4,16,0.92,3.44,22,9,1.5,3.24,36
a539e,2019-06-18,18-24,4,0.58,1.25,14,4,0.58,1.35,14,8,0.88,1.92,21,6,0.5,1.35,12,20,2.17,5.03,52
a539e,2019-06-19,00-06,4,0.17,0.82,4,5,0.54,1.35,13,5,0.62,1.47,15,2,0.08,0.41,2,7,0.29,1.43,7
a539e,2019-06-19,06-12,8,0.62,1.91,15,18,1.79,4.32,43,8,0.75,2.01,18,10,0.92,2.64,22,10,1.83,3.67,44
a539e,2019-06-19,12-18,9,0.42,1.84,10,8,0.54,1.67,13,1,0.17,0.38,4,14,1.08,3.23,26,14,2.17,4.26,52
a539e,2019-06-19,18-24,8,0.5,1.69,12,5,0.67,1.43,16,5,0.54,1.18,13,10,1.17,2.82,28,15,2.08,4.29,50
a539e,2019-06-20,00-06,4,0.17,0.82,4,4,0.25,0.9,6,3,0.29,0.81,7,2,0.08,0.41,2,6,0.29,1.23,7
a539e,2019-06-20,06-12,5,0.33,1.09,8,19,1.67,4.67,40,4,0.54,1.28,13,17,1.42,4.12,34,20,2.0,5.15,48
a539e,2019-06-20,12-18,4,0.17,0.82,4,4,0.38,1.06,9,0,0.0,0.0,0,4,0.33,1.13,8,9,0.58,1.98,14
a539e,2019-06-20,18-24,2,0.08,0.41,2,4,0.42,1.06,10,4,0.38,0.92,9,14,1.17,3.48,28,17,1.42,3.78,34
a539e,2019-06-21,00-06,2,0.08,0.41,2,3,0.38,1.01,9,3,0.29,0.81,7,0,0.0,0.0,0,4,0.17,0.82,4
a539e,2019-06-21,06-12,9,0.71,2.16,17,19,1.38,4.02,33,6,0.62,1.41,15,12,1.17,3.0,28,20,2.96,5.87,71
a539e,2019-06-21,12-18,8,0.42,1.64,10,11,1.42,3.12,34,5,0.83,1.81,20,8,0.58,1.82,14,17,3.42,6.47,82
a539e,2019-06-21,18-24,4,0.25,0.9,6,7,0.71,1.71,17,2,0.25,0.53,6,10,0.58,2.08,14,18,2.0,4.41,48
a539e,2019-06-22,00-06,2,0.08,0.41,2,5,0.46,1.32,11,2,0.29,0.69,7,8,0.42,1.67,10,12,0.83,2.88,20
a539e,2019-06-22,06-12,8,0.88,2.09,21,16,1.88,4.51,45,8,0.96,2.31,23,8,0.75,1.94,18,21,3.46,7.22,83
a539e,2019-06-22,12-18,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-06-22,18-24,2,0.08,0.41,2,2,0.08,0.41,2,2,0.08,0.41,2,4,0.17,0.82,4,4,0.42,1.02,10
a539e,2019-06-23,00-06,0,0.0,0.0,0,2,0.08,0.41,2,0,0.0,0.0,0,0,0.0,0.0,0,2,0.08,0.41,2
a539e,2019-06-23,06-12,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-06-23,12-18,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-06-23,18-24,2,0.08,0.41,2,2,0.12,0.45,3,2,0.12,0.45,3,0,0.0,0.0,0,4,0.17,0.82,4
a539e,2019-06-24,00-06,0,0.0,0.0,0,2,0.08,0.41,2,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-06-24,06-12,2,0.08,0.41,2,4,0.21,0.83,5,0,0.0,0.0,0,2,0.08,0.41,2,6,0.29,1.23,7
a539e,2019-06-24,12-18,3,0.33,0.92,8,10,0.58,2.1,14,0,0.0,0.0,0,16,0.75,3.27,18,7,0.71,1.71,17
a539e,2019-06-24,18-24,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1
a539e,2019-06-25,00-06,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-06-25,06-12,4,0.17,0.82,4,0,0.0,0.0,0,0,0.0,0.0,0,2,0.08,0.41,2,6,0.25,1.22,6
a539e,2019-06-25,12-18,2,0.08,0.41,2,5,0.25,1.03,6,0,0.0,0.0,0,2,0.08,0.41,2,5,0.21,1.02,5
a539e,2019-06-25,18-24,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-06-26,00-06,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-06-26,06-12,4,0.17,0.82,4,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,9,0.38,1.84,9
a539e,2019-06-26,12-18,1,0.04,0.2,1,4,0.17,0.82,4,1,0.08,0.28,2,2,0.08,0.41,2,6,0.46,1.56,11
a539e,2019-06-26,18-24,2,0.12,0.45,3,1,0.08,0.28,2,0,0.0,0.0,0,6,0.33,1.27,8,10,0.83,2.37,20
a539e,2019-06-27,00-06,0,0.0,0.0,0,2,0.08,0.41,2,2,0.08,0.41,2,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-06-27,06-12,4,0.5,1.06,12,6,0.38,1.28,9,1,0.12,0.34,3,14,0.75,2.94,18,12,0.83,2.53,20
a539e,2019-06-27,12-18,2,0.08,0.41,2,0,0.0,0.0,0,2,0.08,0.41,2,0,0.0,0.0,0,4,0.17,0.82,4
a539e,2019-06-27,18-24,0,0.0,0.0,0,2,0.08,0.41,2,1,0.04,0.2,1,0,0.0,0.0,0,9,0.67,1.9,16
a539e,2019-06-28,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-06-28,06-12,2,0.12,0.45,3,2,0.12,0.45,3,0,0.0,0.0,0,12,0.67,2.55,16,13,1.08,3.13,26
a539e,2019-06-28,12-18,3,0.12,0.61,3,3,0.21,0.72,5,2,0.21,0.59,5,2,0.08,0.41,2,4,0.33,0.96,8
a539e,2019-06-28,18-24,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-06-29,00-06,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-06-29,06-12,2,0.08,0.41,2,0,0.0,0.0,0,0,0.0,0.0,0,4,0.17,0.82,4,7,0.33,1.43,8
a539e,2019-06-29,12-18,0,0.0,0.0,0,4,0.17,0.82,4,1,0.08,0.28,2,2,0.08,0.41,2,7,0.29,1.43,7
a539e,2019-06-29,18-24,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-06-30,00-06,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-06-30,06-12,2,0.25,0.68,6,1,0.04,0.2,1,1,0.08,0.28,2,10,0.42,2.04,10,11,1.17,3.02,28
a539e,2019-06-30,12-18,0,0.0,0.0,0,7,0.33,1.43,8,0,0.0,0.0,0,2,0.08,0.41,2,3,0.25,0.85,6
a539e,2019-06-30,18-24,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
