id,date,6h,back-door-count-max,back-door-count-mean,back-door-count-std,back-door-count-sum,bathroom-count-max,bathroom-count-mean,bathroom-count-std,bathroom-count-sum,bedroom-count-max,bedroom-count-mean,bedroom-count-std,bedroom-count-sum,fridge-door-count-max,fridge-door-count-mean,fridge-door-count-std,fridge-door-count-sum,kitchen-count-max,kitchen-count-mean,kitchen-count-std,kitchen-count-sum
a539e,2019-05-08,12-18,0,0.0,0.0,0,1,0.08,0.28,2,1,0.04,0.2,1,0,0.0,0.0,0,8,0.75,2.17,18
a539e,2019-05-08,18-24,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-05-09,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1
a539e,2019-05-09,06-12,6,0.33,1.27,8,1,0.04,0.2,1,1,0.04,0.2,1,0,0.0,0.0,0,15,1.17,3.6,28
a539e,2019-05-09,12-18,2,0.08,0.41,2,2,0.12,0.45,3,0,0.0,0.0,0,0,0.0,0.0,0,2,0.25,0.61,6
a539e,2019-05-09,18-24,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-05-10,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.08,0.28,2
a539e,2019-05-10,06-12,0,0.0,0.0,0,0,0.0,0.0,0,1,0.08,0.28,2,0,0.0,0.0,0,11,0.96,2.74,23
a539e,2019-05-10,12-18,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.17,0.38,4
a539e,2019-05-10,18-24,2,0.08,0.41,2,2,0.12,0.45,3,1,0.08,0.28,2,0,0.0,0.0,0,15,1.08,3.24,26
a539e,2019-05-11,00-06,2,0.17,0.56,4,2,0.12,0.45,3,1,0.04,0.2,1,0,0.0,0.0,0,6,0.5,1.56,12
a539e,2019-05-11,06-12,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-05-11,12-18,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-05-11,18-24,2,0.17,0.56,4,4,0.21,0.83,5,1,0.04,0.2,1,0,0.0,0.0,0,6,0.62,1.71,15
a539e,2019-05-12,00-06,0,0.0,0.0,0,6,0.25,1.22,6,0,0.0,0.0,0,0,0.0,0.0,0,4,0.21,0.83,5
a539e,2019-05-12,06-12,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,2,0.12,0.45,3
a539e,2019-05-12,12-18,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.08,0.28,2
a539e,2019-05-12,18-24,2,0.08,0.41,2,1,0.04,0.2,1,0,0.0,0.0,0,0,0.0,0.0,0,3,0.25,0.85,6
a539e,2019-05-13,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-05-13,06-12,0,0.0,0.0,0,9,0.42,1.84,10,2,0.12,0.45,3,0,0.0,0.0,0,8,0.58,1.79,14
a539e,2019-05-13,12-18,2,0.08,0.41,2,2,0.12,0.45,3,1,0.08,0.28,2,0,0.0,0.0,0,6,0.42,1.32,10
a539e,2019-05-13,18-24,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,2,0.08,0.41,2
a539e,2019-05-14,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1
a539e,2019-05-14,06-12,0,0.0,0.0,0,2,0.08,0.41,2,1,0.04,0.2,1,0,0.0,0.0,0,10,0.67,2.24,16
a539e,2019-05-14,12-18,0,0.0,0.0,0,3,0.12,0.61,3,0,0.0,0.0,0,0,0.0,0.0,0,3,0.12,0.61,3
a539e,2019-05-14,18-24,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1
a539e,2019-05-15,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-05-15,06-12,1,0.08,0.28,2,1,0.04,0.2,1,2,0.21,0.59,5,0,0.0,0.0,0,14,1.04,3.09,25
a539e,2019-05-15,12-18,2,0.12,0.45,3,3,0.29,0.75,7,3,0.29,0.81,7,0,0.0,0.0,0,15,1.96,4.19,47
a539e,2019-05-15,18-24,6,0.62,1.44,15,5,0.79,1.5,19,4,0.5,1.18,12,0,0.0,0.0,0,12,1.83,3.67,44
a539e,2019-05-16,00-06,0,0.0,0.0,0,4,0.38,1.13,9,5,0.58,1.28,14,0,0.0,0.0,0,10,0.71,2.33,17
a539e,2019-05-16,06-12,8,0.58,2.0,14,20,1.79,4.68,43,8,0.71,2.05,17,0,0.0,0.0,0,20,2.5,5.59,60
a539e,2019-05-16,12-18,4,0.21,0.83,5,8,0.62,1.69,15,5,0.58,1.44,14,0,0.0,0.0,0,19,2.5,5.39,60
a539e,2019-05-16,18-24,13,1.0,2.81,24,8,0.79,1.96,19,5,0.58,1.41,14,0,0.0,0.0,0,20,2.17,5.51,52
a539e,2019-05-17,00-06,0,0.0,0.0,0,2,0.25,0.68,6,3,0.25,0.74,6,0,0.0,0.0,0,4,0.17,0.82,4
a539e,2019-05-17,06-12,6,0.25,1.22,6,21,1.83,4.55,44,8,0.83,1.97,20,12,0.62,2.5,15,15,3.38,6.02,81
a539e,2019-05-17,12-18,8,0.67,1.83,16,8,0.88,2.05,21,3,0.29,0.75,7,16,1.42,3.56,34,15,1.88,4.13,45
a539e,2019-05-17,18-24,18,1.38,3.91,33,6,0.58,1.47,14,7,0.67,1.61,16,8,0.5,1.69,12,14,1.88,4.05,45
a539e,2019-05-18,00-06,3,0.12,0.61,3,5,0.38,1.28,9,5,0.42,1.18,10,4,0.25,0.9,6,9,0.54,1.89,13
a539e,2019-05-18,06-12,5,0.75,1.73,18,17,1.71,4.47,41,10,1.38,2.99,33,14,0.92,2.95,22,16,2.21,4.58,53
a539e,2019-05-18,12-18,17,0.71,3.47,17,5,0.5,1.44,12,4,0.17,0.82,4,4,0.33,0.96,8,11,0.67,2.3,16
a539e,2019-05-18,18-24,17,1.12,3.77,27,3,0.38,0.82,9,5,0.62,1.28,15,12,0.5,2.45,12,16,2.0,4.29,48
a539e,2019-05-19,00-06,0,0.0,0.0,0,5,0.42,1.21,10,6,0.54,1.47,13,2,0.08,0.41,2,2,0.12,0.45,3
a539e,2019-05-19,06-12,6,0.71,1.68,17,24,1.71,5.13,41,8,0.75,2.11,18,10,1.17,2.63,28,16,2.58,5.28,62
a539e,2019-05-19,12-18,9,0.71,2.01,17,7,0.67,1.86,16,2,0.25,0.61,6,16,0.92,3.44,22,19,1.62,4.21,39
a539e,2019-05-19,18-24,8,0.67,2.01,16,9,0.62,1.91,15,5,0.54,1.32,13,6,0.5,1.47,12,20,1.92,4.87,46
a539e,2019-05-20,00-06,2,0.08,0.41,2,4,0.5,1.06,12,3,0.5,1.02,12,2,0.17,0.56,4,6,0.33,1.27,8
a539e,2019-05-20,06-12,8,0.71,1.88,17,20,1.62,4.4,39,7,0.88,1.94,21,18,1.42,4.02,34,19,2.88,5.78,69
a539e,2019-05-20,12-18,7,0.29,1.43,7,4,0.46,1.06,11,1,0.04,0.2,1,6,0.58,1.5,14,16,1.83,4.2,44
a539e,2019-05-20,18-24,4,0.38,1.13,9,5,0.54,1.35,13,5,0.46,1.14,11,18,1.0,3.73,24,26,2.38,5.98,57
a539e,2019-05-21,00-06,0,0.0,0.0,0,3,0.25,0.85,6,5,0.33,1.17,8,2,0.08,0.41,2,5,0.21,1.02,5
a539e,2019-05-21,06-12,11,1.12,2.8,27,19,2.04,4.56,49,10,1.17,2.51,28,14,1.33,3.71,32,18,2.58,5.17,62
a539e,2019-05-21,12-18,3,0.17,0.64,4,7,0.58,1.59,14,7,0.42,1.47,10,20,1.71,5.25,41,22,2.75,6.07,66
a539e,2019-05-21,18-24,7,0.88,2.07,21,9,0.75,2.15,18,7,0.75,1.85,18,12,0.83,2.57,20,19,2.17,4.94,52
a539e,2019-05-22,00-06,0,0.0,0.0,0,5,0.46,1.18,11,5,0.58,1.35,14,2,0.08,0.41,2,14,0.92,3.23,22
a539e,2019-05-22,06-12,5,0.62,1.47,15,17,2.17,4.56,52,7,1.04,2.1,25,24,2.75,6.8,66,18,3.21,6.14,77
a539e,2019-05-22,12-18,4,0.5,1.18,12,12,1.5,3.09,36,8,1.04,2.1,25,10,1.42,3.02,34,17,2.42,4.64,58
a539e,2019-05-22,18-24,10,0.62,2.16,15,13,1.25,2.98,30,5,0.67,1.52,16,12,1.0,2.7,24,19,3.0,6.13,72
a539e,2019-05-23,00-06,2,0.12,0.45,3,17,1.08,3.65,26,4,0.46,1.06,11,10,0.42,2.04,10,9,0.62,2.16,15
a539e,2019-05-23,06-12,3,0.33,0.82,8,13,1.0,2.86,24,7,1.04,2.14,25,16,2.58,5.06,62,13,2.0,3.92,48
a539e,2019-05-23,12-18,4,0.29,1.0,7,3,0.29,0.86,7,7,0.79,1.69,19,18,2.5,5.66,60,26,3.67,7.41,88
a539e,2019-05-23,18-24,10,1.08,2.89,26,4,0.42,1.02,10,5,0.88,1.62,21,4,0.58,1.25,14,19,2.54,5.42,61
a539e,2019-05-24,00-06,2,0.08,0.41,2,4,0.33,0.96,8,3,0.42,0.83,10,2,0.08,0.41,2,4,0.21,0.83,5
a539e,2019-05-24,06-12,7,0.67,1.86,16,16,1.75,4.05,42,6,1.12,2.09,27,12,1.75,3.88,42,14,2.88,5.24,69
a539e,2019-05-24,12-18,6,0.67,1.63,16,7,0.79,1.86,19,2,0.21,0.59,5,4,0.33,1.13,8,10,1.17,2.44,28
a539e,2019-05-24,18-24,6,0.58,1.72,14,6,0.79,1.74,19,7,0.88,1.8,21,8,1.17,2.57,28,16,2.04,4.49,49
a539e,2019-05-25,00-06,2,0.08,0.41,2,4,0.54,1.14,13,6,0.58,1.59,14,2,0.17,0.56,4,9,0.62,2.16,15
a539e,2019-05-25,06-12,3,0.33,0.82,8,19,2.17,5.02,52,10,1.0,2.36,24,12,1.17,2.88,28,18,2.75,5.3,66
a539e,2019-05-25,12-18,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
a539e,2019-05-25,18-24,0,0.0,0.0,0,1,0.12,0.34,3,1,0.04,0.2,1,4,0.17,0.82,4,4,0.46,1.06,11
a539e,2019-05-26,00-06,0,0.0,0.0,0,3,0.17,0.64,4,0,0.0,0.0,0,2,0.08,0.41,2,2,0.17,0.56,4
a539e,2019-05-26,06-12,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1
