id,date,6h,bathroom-count-max,bathroom-count-mean,bathroom-count-std,bathroom-count-sum,bedroom-count-max,bedroom-count-mean,bedroom-count-std,bedroom-count-sum,front-door-count-max,front-door-count-mean,front-door-count-std,front-door-count-sum,hallway-count-max,hallway-count-mean,hallway-count-std,hallway-count-sum,kitchen-count-max,kitchen-count-mean,kitchen-count-std,kitchen-count-sum
16f4b,2019-04-09,00-06,4,0.29,0.91,7,2,0.25,0.61,6,0,0.0,0.0,0,3,0.29,0.81,7,3,0.12,0.61,3
16f4b,2019-04-09,06-12,11,0.75,2.51,18,8,0.58,1.79,14,4,0.17,0.82,4,11,0.79,2.6,19,11,0.92,2.96,22
16f4b,2019-04-09,12-18,12,1.04,2.74,25,2,0.17,0.48,4,2,0.17,0.56,4,11,1.17,3.05,28,14,1.21,3.09,29
16f4b,2019-04-09,18-24,8,0.92,2.12,22,3,0.12,0.61,3,2,0.08,0.41,2,12,1.54,3.19,37,14,1.33,3.57,32
16f4b,2019-04-10,00-06,3,0.29,0.81,7,3,0.17,0.64,4,0,0.0,0.0,0,3,0.17,0.64,4,5,0.21,1.02,5
16f4b,2019-04-10,06-12,15,1.58,3.79,38,9,1.12,2.61,27,2,0.08,0.41,2,13,1.42,3.31,34,14,1.54,3.5,37
16f4b,2019-04-10,12-18,11,1.17,2.79,28,7,0.92,2.04,22,4,0.42,1.02,10,8,1.17,2.53,28,7,0.88,2.15,21
16f4b,2019-04-10,18-24,10,1.04,2.4,25,11,0.96,2.51,23,6,0.5,1.47,12,8,1.0,2.32,24,16,1.38,3.76,33
16f4b,2019-04-11,00-06,2,0.33,0.7,8,5,0.5,1.22,12,0,0.0,0.0,0,2,0.33,0.7,8,2,0.12,0.45,3
16f4b,2019-04-11,06-12,14,2.29,4.66,55,14,1.5,3.49,36,6,0.5,1.47,12,20,3.04,6.29,73,19,2.38,5.22,57
16f4b,2019-04-11,12-18,6,0.92,1.74,22,2,0.12,0.45,3,6,0.5,1.35,12,6,0.83,1.69,20,5,0.79,1.5,19
16f4b,2019-04-11,18-24,10,1.12,2.44,27,2,0.08,0.41,2,2,0.17,0.56,4,16,1.67,3.94,40,15,1.88,4.05,45
16f4b,2019-04-12,00-06,7,0.67,1.66,16,3,0.5,0.98,12,0,0.0,0.0,0,6,0.58,1.59,14,5,0.38,1.28,9
16f4b,2019-04-12,06-12,19,1.96,4.55,47,11,1.04,2.79,25,4,0.25,0.9,6,19,2.33,4.98,56,18,2.21,4.96,53
16f4b,2019-04-12,12-18,11,1.75,3.59,42,8,0.79,2.13,19,12,1.25,3.04,30,17,2.96,5.61,71,22,2.54,5.5,61
16f4b,2019-04-12,18-24,8,1.29,2.54,31,4,0.5,1.06,12,2,0.08,0.41,2,9,1.33,2.71,32,11,1.33,2.99,32
16f4b,2019-04-13,00-06,4,0.54,1.28,13,3,0.21,0.66,5,0,0.0,0.0,0,2,0.25,0.68,6,2,0.21,0.59,5
16f4b,2019-04-13,06-12,10,1.29,2.85,31,7,0.79,1.82,19,4,0.17,0.82,4,9,1.12,2.51,27,10,1.29,3.07,31
16f4b,2019-04-13,12-18,11,1.12,2.83,27,5,0.33,1.09,8,2,0.17,0.56,4,5,0.75,1.59,18,8,1.12,2.25,27
16f4b,2019-04-13,18-24,12,1.25,2.88,30,7,0.58,1.69,14,8,0.33,1.63,8,15,1.67,3.99,40,15,1.75,3.87,42
16f4b,2019-04-14,00-06,10,0.75,2.29,18,3,0.21,0.72,5,0,0.0,0.0,0,5,0.46,1.41,11,9,0.67,2.08,16
16f4b,2019-04-14,06-12,14,1.5,3.46,36,10,1.38,3.16,33,0,0.0,0.0,0,15,1.67,4.11,40,11,1.17,2.94,28
16f4b,2019-04-14,12-18,12,1.83,3.91,44,8,0.92,2.06,22,14,0.83,3.06,20,19,2.62,5.75,63,17,2.5,5.01,60
16f4b,2019-04-14,18-24,11,1.62,3.25,39,7,0.67,1.76,16,0,0.0,0.0,0,12,1.58,3.48,38,23,2.83,6.3,68
16f4b,2019-04-15,00-06,6,0.5,1.32,12,5,0.33,1.09,8,0,0.0,0.0,0,5,0.29,1.04,7,3,0.12,0.61,3
16f4b,2019-04-15,06-12,11,1.17,2.57,28,6,0.92,1.98,22,2,0.08,0.41,2,11,1.04,2.42,25,10,1.17,2.48,28
16f4b,2019-04-15,12-18,15,2.04,4.33,49,4,0.38,1.01,9,4,0.25,0.9,6,14,1.92,4.11,46,16,2.42,4.9,58
16f4b,2019-04-15,18-24,11,1.42,2.93,34,4,0.38,1.13,9,2,0.08,0.41,2,14,1.42,3.28,34,12,1.46,3.19,35
16f4b,2019-04-16,00-06,4,0.42,1.06,10,5,0.42,1.1,10,0,0.0,0.0,0,3,0.21,0.72,5,3,0.12,0.61,3
16f4b,2019-04-16,06-12,7,0.96,2.03,23,6,0.92,1.89,22,2,0.08,0.41,2,15,1.46,3.49,35,15,1.33,3.42,32
16f4b,2019-04-16,12-18,15,3.12,5.67,75,7,1.12,2.31,27,26,2.71,6.27,65,21,3.79,6.91,91,19,3.29,6.06,79
16f4b,2019-04-16,18-24,18,2.29,5.05,55,6,0.71,1.6,17,13,0.92,2.9,22,17,2.33,4.88,56,18,1.96,4.63,47
16f4b,2019-04-17,00-06,1,0.04,0.2,1,2,0.12,0.45,3,2,0.08,0.41,2,5,0.21,1.02,5,7,0.29,1.43,7
16f4b,2019-04-17,06-12,9,0.96,2.35,23,11,1.12,2.66,27,6,0.42,1.44,10,14,1.62,3.74,39,15,1.58,3.83,38
16f4b,2019-04-17,12-18,5,0.46,1.22,11,9,1.29,2.53,31,12,0.58,2.47,14,11,1.75,3.35,42,7,0.96,1.92,23
16f4b,2019-04-17,18-24,8,0.54,1.67,13,6,0.46,1.35,11,0,0.0,0.0,0,4,0.42,1.14,10,12,0.96,2.65,23
16f4b,2019-04-18,00-06,2,0.21,0.59,5,5,0.54,1.32,13,0,0.0,0.0,0,4,0.38,0.97,9,2,0.21,0.59,5
16f4b,2019-04-18,06-12,14,0.79,2.87,19,5,0.62,1.47,15,8,0.58,2.0,14,17,1.17,3.6,28,9,0.92,2.45,22
16f4b,2019-04-18,12-18,5,0.33,1.17,8,4,0.21,0.83,5,2,0.17,0.56,4,7,0.5,1.62,12,5,0.42,1.18,10
16f4b,2019-04-18,18-24,9,1.29,2.88,31,7,0.92,2.15,22,4,0.25,0.9,6,10,1.58,3.62,38,11,1.38,3.24,33
16f4b,2019-04-19,00-06,2,0.17,0.48,4,2,0.33,0.7,8,0,0.0,0.0,0,2,0.21,0.59,5,2,0.08,0.41,2
16f4b,2019-04-19,06-12,9,0.46,1.84,11,5,0.79,1.61,19,0,0.0,0.0,0,9,0.58,1.98,14,12,0.67,2.5,16
16f4b,2019-04-19,12-18,14,2.33,4.64,56,11,0.46,2.25,11,6,0.5,1.47,12,13,2.08,4.2,50,13,2.12,4.1,51
16f4b,2019-04-19,18-24,13,1.12,2.89,27,2,0.29,0.69,7,6,0.25,1.22,6,13,1.29,3.1,31,12,1.21,3.05,29
16f4b,2019-04-20,00-06,0,0.0,0.0,0,1,0.08,0.28,2,0,0.0,0.0,0,1,0.08,0.28,2,2,0.12,0.45,3
16f4b,2019-04-20,06-12,1,0.04,0.2,1,4,0.5,1.18,12,2,0.08,0.41,2,3,0.42,0.97,10,4,0.38,1.06,9
16f4b,2019-04-20,12-18,8,0.88,2.01,21,3,0.25,0.85,6,0,0.0,0.0,0,7,1.04,2.05,25,6,1.04,1.92,25
16f4b,2019-04-20,18-24,11,1.79,3.73,43,5,0.58,1.25,14,7,0.54,1.64,13,22,2.71,5.91,65,12,1.58,3.45,38
16f4b,2019-04-21,00-06,2,0.21,0.51,5,3,0.21,0.72,5,0,0.0,0.0,0,2,0.21,0.51,5,2,0.17,0.56,4
16f4b,2019-04-21,06-12,10,0.83,2.3,20,22,2.54,6.27,61,0,0.0,0.0,0,22,2.42,5.98,58,22,2.04,5.38,49
16f4b,2019-04-21,12-18,11,1.75,3.5,42,9,0.67,1.95,16,2,0.08,0.41,2,20,3.12,6.06,75,16,2.42,4.59,58
16f4b,2019-04-21,18-24,14,1.29,3.2,31,4,0.46,1.18,11,12,1.0,2.95,24,16,2.29,4.95,55,15,1.96,4.24,47
16f4b,2019-04-22,00-06,4,0.29,0.91,7,2,0.12,0.45,3,2,0.08,0.41,2,10,0.58,2.08,14,4,0.29,0.91,7
16f4b,2019-04-22,06-12,15,1.83,4.4,44,16,1.54,3.62,37,0,0.0,0.0,0,25,2.79,6.59,67,20,2.25,5.36,54
16f4b,2019-04-22,12-18,16,1.25,3.48,30,5,0.46,1.32,11,18,1.0,3.73,24,21,2.0,4.89,48,9,1.12,2.68,27
16f4b,2019-04-22,18-24,9,0.88,2.13,21,6,0.67,1.66,16,2,0.17,0.56,4,8,0.88,2.05,21,6,0.71,1.57,17
16f4b,2019-04-23,00-06,3,0.17,0.64,4,2,0.08,0.41,2,0,0.0,0.0,0,3,0.25,0.74,6,6,0.33,1.24,8
16f4b,2019-04-23,06-12,6,0.62,1.64,15,9,1.04,2.48,25,8,0.33,1.63,8,20,1.29,4.32,31,17,0.92,3.53,22
16f4b,2019-04-23,12-18,12,1.58,3.45,38,9,1.12,2.63,27,8,0.5,1.69,12,12,1.83,3.85,44,14,1.71,3.71,41
16f4b,2019-04-23,18-24,12,0.83,2.48,20,3,0.21,0.72,5,4,0.33,1.13,8,7,0.88,1.87,21,12,1.04,2.77,25
16f4b,2019-04-24,00-06,2,0.17,0.48,4,5,0.5,1.32,12,0,0.0,0.0,0,3,0.29,0.75,7,2,0.17,0.56,4
16f4b,2019-04-24,06-12,4,0.25,0.85,6,3,0.25,0.74,6,0,0.0,0.0,0,3,0.21,0.66,5,11,0.46,2.25,11
16f4b,2019-04-24,12-18,8,1.0,2.27,24,4,0.29,0.91,7,10,0.92,2.43,22,14,2.75,5.04,66,12,2.17,4.0,52
16f4b,2019-04-24,18-24,3,0.29,0.75,7,5,0.42,1.28,10,6,0.25,1.22,6,12,0.67,2.46,16,9,0.58,1.89,14
16f4b,2019-04-25,00-06,2,0.12,0.45,3,3,0.33,0.87,8,0,0.0,0.0,0,2,0.12,0.45,3,1,0.04,0.2,1
16f4b,2019-04-25,06-12,12,0.67,2.46,16,12,1.5,3.82,36,2,0.08,0.41,2,13,1.46,3.84,35,13,1.29,3.67,31
16f4b,2019-04-25,12-18,7,1.21,2.45,29,12,1.38,2.99,33,4,0.67,1.4,16,16,2.58,5.27,62,18,2.71,5.5,65
16f4b,2019-04-25,18-24,10,1.25,2.72,30,13,1.04,3.28,25,4,0.67,1.4,16,20,2.67,5.88,64,12,1.83,3.87,44
16f4b,2019-04-26,00-06,1,0.04,0.2,1,2,0.25,0.61,6,0,0.0,0.0,0,3,0.21,0.72,5,2,0.17,0.56,4
