id,date,6h,back-door-count-max,back-door-count-mean,back-door-count-std,back-door-count-sum,bathroom-count-max,bathroom-count-mean,bathroom-count-std,bathroom-count-sum,bedroom-count-max,bedroom-count-mean,bedroom-count-std,bedroom-count-sum,fridge-door-count-max,fridge-door-count-mean,fridge-door-count-std,fridge-door-count-sum,front-door-count-max,front-door-count-mean,front-door-count-std,front-door-count-sum,hallway-count-max,hallway-count-mean,hallway-count-std,hallway-count-sum,kitchen-count-max,kitchen-count-mean,kitchen-count-std,kitchen-count-sum
56b6b,2019-05-07,06-12,4,0.17,0.82,4,0,0.0,0.0,0,10,0.42,2.04,10,0,0.0,0.0,0,2,0.08,0.41,2,11,0.46,2.25,11,10,0.42,2.04,10
56b6b,2019-05-07,12-18,1,0.04,0.2,1,0,0.0,0.0,0,19,1.08,3.91,26,4,0.17,0.82,4,4,0.46,1.1,11,9,1.08,2.54,26,12,1.17,2.96,28
56b6b,2019-05-07,18-24,5,0.62,1.41,15,0,0.0,0.0,0,11,1.42,2.86,34,4,0.33,0.96,8,8,0.67,1.93,16,11,1.83,3.63,44,25,3.21,6.51,77
56b6b,2019-05-08,00-06,0,0.0,0.0,0,0,0.0,0.0,0,5,0.54,1.32,13,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-05-08,06-12,8,0.5,1.79,12,0,0.0,0.0,0,22,1.75,4.71,42,4,0.17,0.82,4,2,0.17,0.56,4,4,0.42,1.14,10,9,0.79,2.25,19
56b6b,2019-05-08,12-18,6,0.42,1.28,10,0,0.0,0.0,0,17,2.25,4.8,54,4,0.33,0.96,8,8,0.5,1.69,12,9,1.33,2.6,32,11,1.58,3.15,38
56b6b,2019-05-08,18-24,4,0.17,0.82,4,0,0.0,0.0,0,23,1.33,4.84,32,2,0.08,0.41,2,4,0.25,0.9,6,12,0.83,2.58,20,9,0.75,2.09,18
56b6b,2019-05-09,00-06,0,0.0,0.0,0,0,0.0,0.0,0,5,0.42,1.14,10,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-05-09,06-12,10,1.04,2.6,25,0,0.0,0.0,0,22,2.5,5.96,60,5,0.29,1.08,7,6,0.5,1.35,12,18,1.83,4.72,44,19,2.25,5.57,54
56b6b,2019-05-09,12-18,8,0.62,1.81,15,0,0.0,0.0,0,14,1.42,3.22,34,5,0.29,1.08,7,4,0.42,1.02,10,9,1.88,3.49,45,20,2.96,6.35,71
56b6b,2019-05-09,18-24,7,0.92,2.08,22,0,0.0,0.0,0,7,0.92,2.04,22,2,0.17,0.48,4,4,0.42,1.18,10,11,1.71,3.47,41,18,2.17,4.56,52
56b6b,2019-05-10,00-06,0,0.0,0.0,0,0,0.0,0.0,0,9,0.5,1.87,12,0,0.0,0.0,0,0,0.0,0.0,0,4,0.17,0.82,4,3,0.12,0.61,3
56b6b,2019-05-10,06-12,4,0.17,0.82,4,0,0.0,0.0,0,18,1.42,3.94,34,4,0.17,0.82,4,2,0.25,0.68,6,12,1.04,2.85,25,18,1.42,4.31,34
