id,date,6h,back-door-count-max,back-door-count-mean,back-door-count-std,back-door-count-sum,bathroom-count-max,bathroom-count-mean,bathroom-count-std,bathroom-count-sum,bedroom-count-max,bedroom-count-mean,bedroom-count-std,bedroom-count-sum,fridge-door-count-max,fridge-door-count-mean,fridge-door-count-std,fridge-door-count-sum,front-door-count-max,front-door-count-mean,front-door-count-std,front-door-count-sum,hallway-count-max,hallway-count-mean,hallway-count-std,hallway-count-sum,kitchen-count-max,kitchen-count-mean,kitchen-count-std,kitchen-count-sum
56b6b,2019-06-02,12-18,3,0.33,0.82,8,0,0.0,0.0,0,14,1.83,3.87,44,2,0.08,0.41,2,2,0.33,0.76,8,9,1.38,2.81,33,23,2.21,5.68,53
56b6b,2019-06-02,18-24,1,0.08,0.28,2,0,0.0,0.0,0,14,1.46,3.69,35,2,0.17,0.56,4,4,0.33,0.96,8,10,0.83,2.33,20,15,1.54,4.03,37
56b6b,2019-06-03,00-06,0,0.0,0.0,0,0,0.0,0.0,0,18,1.04,3.7,25,0,0.0,0.0,0,0,0.0,0.0,0,3,0.12,0.61,3,4,0.17,0.82,4
56b6b,2019-06-03,06-12,6,0.29,1.23,7,0,0.0,0.0,0,21,1.62,4.6,39,0,0.0,0.0,0,4,0.75,1.42,18,15,2.46,4.83,59,15,2.21,4.64,53
56b6b,2019-06-03,12-18,4,0.17,0.82,4,0,0.0,0.0,0,1,0.04,0.2,1,0,0.0,0.0,0,10,0.42,2.04,10,9,0.58,1.91,14,8,0.83,2.12,20
56b6b,2019-06-03,18-24,0,0.0,0.0,0,0,0.0,0.0,0,2,0.08,0.41,2,0,0.0,0.0,0,4,0.17,0.82,4,3,0.12,0.61,3,2,0.08,0.41,2
56b6b,2019-06-04,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-04,06-12,0,0.0,0.0,0,0,0.0,0.0,0,15,1.38,3.65,33,0,0.0,0.0,0,6,0.79,1.84,19,13,1.67,3.6,40,14,2.38,4.88,57
56b6b,2019-06-04,12-18,0,0.0,0.0,0,0,0.0,0.0,0,4,0.17,0.82,4,0,0.0,0.0,0,12,1.17,2.94,28,10,1.17,2.65,28,11,1.62,3.45,39
56b6b,2019-06-04,18-24,0,0.0,0.0,0,0,0.0,0.0,0,4,0.17,0.82,4,0,0.0,0.0,0,4,0.17,0.82,4,4,0.17,0.82,4,3,0.12,0.61,3
56b6b,2019-06-05,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-05,06-12,0,0.0,0.0,0,0,0.0,0.0,0,19,1.5,4.35,36,0,0.0,0.0,0,8,1.08,2.36,26,13,1.83,3.85,44,15,2.71,5.43,65
56b6b,2019-06-05,12-18,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,8,0.75,2.09,18,14,1.08,3.08,26,13,1.46,3.54,35
56b6b,2019-06-05,18-24,0,0.0,0.0,0,0,0.0,0.0,0,2,0.08,0.41,2,0,0.0,0.0,0,4,0.17,0.82,4,3,0.12,0.61,3,2,0.08,0.41,2
56b6b,2019-06-06,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-06,06-12,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,5,0.21,1.02,5,5,0.54,1.5,13,12,1.79,3.87,43
56b6b,2019-06-06,12-18,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,7,0.5,1.72,12,5,0.79,1.67,19,13,1.58,3.54,38
56b6b,2019-06-06,18-24,0,0.0,0.0,0,0,0.0,0.0,0,3,0.12,0.61,3,0,0.0,0.0,0,8,0.33,1.63,8,3,0.12,0.61,3,2,0.08,0.41,2
56b6b,2019-06-07,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-07,06-12,2,0.08,0.41,2,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,8,0.83,2.28,20,17,1.92,4.38,46,21,3.29,6.86,79
56b6b,2019-06-07,12-18,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,6,0.67,1.63,16,17,1.54,4.32,37,17,1.96,5.19,47
56b6b,2019-06-07,18-24,0,0.0,0.0,0,0,0.0,0.0,0,2,0.08,0.41,2,0,0.0,0.0,0,4,0.17,0.82,4,3,0.12,0.61,3,2,0.08,0.41,2
56b6b,2019-06-08,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-08,06-12,0,0.0,0.0,0,0,0.0,0.0,0,1,0.04,0.2,1,0,0.0,0.0,0,16,0.92,3.34,22,16,0.83,3.28,20,5,0.38,1.17,9
56b6b,2019-06-08,12-18,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-08,18-24,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-10,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-10,06-12,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-10,12-18,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-10,18-24,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,4,0.17,0.82,4,2,0.08,0.41,2,2,0.08,0.41,2
56b6b,2019-06-12,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-12,06-12,0,0.0,0.0,0,0,0.0,0.0,0,2,0.08,0.41,2,0,0.0,0.0,0,4,0.17,0.82,4,3,0.12,0.61,3,1,0.04,0.2,1
56b6b,2019-06-12,12-18,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-12,18-24,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-13,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-13,06-12,4,0.33,0.92,8,0,0.0,0.0,0,9,0.58,2.06,14,0,0.0,0.0,0,2,0.25,0.68,6,6,0.62,1.71,15,16,1.42,3.94,34
56b6b,2019-06-13,12-18,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-13,18-24,2,0.08,0.41,2,0,0.0,0.0,0,0,0.0,0.0,0,2,0.08,0.41,2,6,0.25,1.22,6,6,0.25,1.22,6,2,0.08,0.41,2
56b6b,2019-06-14,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-14,06-12,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-14,12-18,2,0.08,0.41,2,0,0.0,0.0,0,6,0.42,1.44,10,0,0.0,0.0,0,4,0.25,0.9,6,4,0.25,0.9,6,7,0.33,1.43,8
56b6b,2019-06-14,18-24,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-17,00-06,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-17,06-12,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-17,12-18,1,0.08,0.28,2,0,0.0,0.0,0,13,1.46,4.0,35,6,0.33,1.24,8,11,0.54,2.26,13,15,1.5,4.0,36,15,1.88,4.65,45
56b6b,2019-06-17,18-24,5,0.38,1.17,9,0,0.0,0.0,0,14,1.29,3.69,31,4,0.42,1.14,10,4,0.25,0.9,6,8,0.83,2.06,20,25,2.54,6.51,61
56b6b,2019-06-18,00-06,0,0.0,0.0,0,0,0.0,0.0,0,2,0.29,0.69,7,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-18,06-12,5,0.54,1.32,13,0,0.0,0.0,0,23,2.25,5.51,54,4,0.25,0.9,6,7,0.83,1.88,20,16,1.75,4.02,42,15,1.62,3.87,39
56b6b,2019-06-18,12-18,2,0.21,0.51,5,0,0.0,0.0,0,6,0.88,2.01,21,0,0.0,0.0,0,5,0.67,1.49,16,11,1.96,3.78,47,22,2.46,5.53,59
56b6b,2019-06-18,18-24,3,0.46,0.98,11,0,0.0,0.0,0,9,1.08,2.54,26,2,0.08,0.41,2,2,0.17,0.56,4,7,1.04,2.31,25,13,1.67,3.87,40
56b6b,2019-06-19,00-06,0,0.0,0.0,0,0,0.0,0.0,0,3,0.21,0.72,5,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-19,06-12,4,0.17,0.82,4,0,0.0,0.0,0,19,1.29,4.13,31,2,0.08,0.41,2,2,0.25,0.68,6,5,0.46,1.28,11,13,0.96,2.93,23
56b6b,2019-06-19,12-18,1,0.12,0.34,3,0,0.0,0.0,0,9,1.0,2.52,24,6,0.42,1.32,10,2,0.33,0.76,8,13,1.5,3.41,36,12,1.54,3.56,37
56b6b,2019-06-19,18-24,7,0.71,1.71,17,0,0.0,0.0,0,7,1.08,2.28,26,2,0.08,0.41,2,2,0.17,0.56,4,8,1.08,2.19,26,16,2.0,4.56,48
56b6b,2019-06-20,00-06,0,0.0,0.0,0,0,0.0,0.0,0,2,0.25,0.68,6,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-20,06-12,9,1.04,2.54,25,0,0.0,0.0,0,23,3.04,6.19,73,3,0.33,0.82,8,8,0.83,2.18,20,15,2.12,4.63,51,18,2.5,5.58,60
56b6b,2019-06-20,12-18,7,0.92,2.26,22,0,0.0,0.0,0,9,1.04,2.51,25,2,0.25,0.68,6,4,0.42,1.18,10,9,1.33,2.93,32,18,2.38,5.11,57
56b6b,2019-06-20,18-24,2,0.12,0.45,3,0,0.0,0.0,0,13,1.21,3.23,29,4,0.17,0.82,4,2,0.25,0.68,6,11,0.92,2.59,22,11,0.83,2.41,20
56b6b,2019-06-21,00-06,0,0.0,0.0,0,0,0.0,0.0,0,2,0.25,0.68,6,0,0.0,0.0,0,0,0.0,0.0,0,3,0.12,0.61,3,1,0.04,0.2,1
56b6b,2019-06-21,06-12,3,0.12,0.61,3,0,0.0,0.0,0,10,1.21,2.9,29,2,0.08,0.41,2,9,0.54,1.98,13,14,1.25,3.82,30,13,1.04,3.28,25
56b6b,2019-06-21,12-18,4,0.5,1.06,12,0,0.0,0.0,0,12,1.58,3.37,38,4,0.17,0.82,4,3,0.29,0.81,7,12,2.0,3.74,48,19,2.29,4.69,55
56b6b,2019-06-21,18-24,2,0.21,0.59,5,0,0.0,0.0,0,10,0.96,2.31,23,6,0.25,1.22,6,4,0.25,0.9,6,7,0.88,1.92,21,10,0.96,2.37,23
56b6b,2019-06-22,00-06,0,0.0,0.0,0,0,0.0,0.0,0,2,0.08,0.41,2,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-22,06-12,3,0.29,0.75,7,0,0.0,0.0,0,21,3.67,7.3,88,2,0.08,0.41,2,4,0.33,1.13,8,9,1.0,2.47,24,11,1.33,3.23,32
56b6b,2019-06-22,12-18,2,0.17,0.48,4,0,0.0,0.0,0,12,1.04,3.14,25,2,0.33,0.76,8,5,0.54,1.35,13,10,1.29,2.77,31,19,2.5,5.45,60
56b6b,2019-06-22,18-24,3,0.29,0.86,7,0,0.0,0.0,0,10,0.71,2.22,17,1,0.08,0.28,2,6,0.33,1.27,8,6,0.58,1.61,14,7,0.67,1.99,16
56b6b,2019-06-23,00-06,0,0.0,0.0,0,0,0.0,0.0,0,2,0.38,0.77,9,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-23,06-12,0,0.0,0.0,0,0,0.0,0.0,0,22,2.04,5.1,49,0,0.0,0.0,0,2,0.25,0.68,6,12,1.12,2.92,27,11,1.0,2.65,24
56b6b,2019-06-23,12-18,2,0.08,0.41,2,0,0.0,0.0,0,4,0.17,0.82,4,0,0.0,0.0,0,6,0.25,1.22,6,7,0.29,1.43,7,7,0.29,1.43,7
56b6b,2019-06-23,18-24,2,0.17,0.56,4,0,0.0,0.0,0,14,1.25,3.64,30,2,0.08,0.41,2,2,0.08,0.41,2,9,0.79,2.41,19,12,0.75,2.54,18
56b6b,2019-06-24,00-06,0,0.0,0.0,0,0,0.0,0.0,0,2,0.38,0.77,9,0,0.0,0.0,0,0,0.0,0.0,0,2,0.08,0.41,2,2,0.08,0.41,2
56b6b,2019-06-24,06-12,4,0.17,0.82,4,0,0.0,0.0,0,9,1.0,2.55,24,2,0.08,0.41,2,2,0.25,0.68,6,12,1.0,2.8,24,13,0.83,2.87,20
56b6b,2019-06-24,12-18,6,0.38,1.28,9,0,0.0,0.0,0,13,0.96,3.04,23,2,0.08,0.41,2,6,0.46,1.32,11,10,1.04,2.44,25,10,1.04,2.56,25
56b6b,2019-06-24,18-24,3,0.38,0.77,9,0,0.0,0.0,0,10,1.29,2.88,31,4,0.33,1.01,8,7,0.46,1.61,11,14,1.83,3.7,44,17,2.75,5.17,66
56b6b,2019-06-25,00-06,0,0.0,0.0,0,0,0.0,0.0,0,3,0.38,0.82,9,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-25,06-12,4,0.25,0.9,6,0,0.0,0.0,0,16,1.79,3.96,43,2,0.08,0.41,2,6,0.67,1.63,16,9,1.54,3.12,37,16,1.67,4.1,40
56b6b,2019-06-25,12-18,5,0.58,1.32,14,0,0.0,0.0,0,12,1.12,3.3,27,2,0.21,0.59,5,5,0.5,1.18,12,11,1.42,3.02,34,13,1.96,4.06,47
56b6b,2019-06-25,18-24,5,0.5,1.22,12,0,0.0,0.0,0,14,1.88,3.78,45,3,0.17,0.64,4,4,0.5,1.35,12,14,1.83,3.96,44,12,1.62,3.7,39
56b6b,2019-06-26,00-06,0,0.0,0.0,0,0,0.0,0.0,0,3,0.33,0.92,8,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-26,06-12,2,0.08,0.41,2,0,0.0,0.0,0,20,1.83,4.63,44,0,0.0,0.0,0,2,0.17,0.56,4,11,0.92,2.55,22,10,0.75,2.35,18
56b6b,2019-06-26,12-18,6,0.54,1.59,13,0,0.0,0.0,0,11,1.38,3.05,33,8,0.67,2.12,16,4,0.58,1.38,14,11,2.38,4.28,57,17,2.5,5.25,60
56b6b,2019-06-26,18-24,3,0.46,1.06,11,0,0.0,0.0,0,17,1.62,4.23,39,8,0.46,1.64,11,8,0.5,1.69,12,8,1.29,2.48,31,12,2.08,4.13,50
56b6b,2019-06-27,00-06,0,0.0,0.0,0,0,0.0,0.0,0,4,0.5,1.1,12,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-27,06-12,7,0.58,1.69,14,0,0.0,0.0,0,16,2.29,5.09,55,2,0.17,0.56,4,4,0.33,0.96,8,14,1.54,3.78,37,15,1.83,4.44,44
56b6b,2019-06-27,12-18,6,0.33,1.27,8,0,0.0,0.0,0,9,1.0,2.43,24,6,0.67,1.83,16,4,0.42,1.18,10,10,1.67,3.25,40,22,3.54,7.06,85
56b6b,2019-06-27,18-24,9,0.62,1.88,15,0,0.0,0.0,0,7,0.75,2.01,18,4,0.33,0.96,8,4,0.33,0.96,8,8,1.42,2.69,34,23,2.58,5.59,62
56b6b,2019-06-28,00-06,0,0.0,0.0,0,0,0.0,0.0,0,8,0.58,1.69,14,0,0.0,0.0,0,0,0.0,0.0,0,4,0.17,0.82,4,4,0.17,0.82,4
56b6b,2019-06-28,06-12,0,0.0,0.0,0,0,0.0,0.0,0,18,1.46,4.43,35,0,0.0,0.0,0,2,0.25,0.68,6,9,0.79,2.04,19,9,0.62,2.0,15
56b6b,2019-06-28,12-18,3,0.17,0.64,4,0,0.0,0.0,0,7,0.79,2.15,19,5,0.33,1.17,8,7,0.54,1.64,13,7,0.88,2.36,21,13,1.17,3.55,28
56b6b,2019-06-28,18-24,8,0.58,1.74,14,0,0.0,0.0,0,10,1.17,2.63,28,2,0.17,0.56,4,3,0.25,0.74,6,9,1.12,2.51,27,11,1.46,3.22,35
56b6b,2019-06-29,00-06,0,0.0,0.0,0,0,0.0,0.0,0,2,0.21,0.59,5,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-29,06-12,1,0.04,0.2,1,0,0.0,0.0,0,21,1.92,4.99,46,1,0.04,0.2,1,3,0.25,0.85,6,9,1.08,2.5,26,16,1.46,3.84,35
56b6b,2019-06-29,12-18,1,0.12,0.34,3,0,0.0,0.0,0,12,1.12,2.89,27,12,1.08,2.93,26,4,0.5,1.1,12,11,1.46,2.93,35,16,2.42,4.99,58
56b6b,2019-06-29,18-24,3,0.33,0.82,8,0,0.0,0.0,0,10,1.12,2.86,27,3,0.38,0.88,9,4,0.42,1.02,10,12,0.88,2.52,21,17,1.62,4.29,39
56b6b,2019-06-30,00-06,0,0.0,0.0,0,0,0.0,0.0,0,2,0.17,0.48,4,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0
56b6b,2019-06-30,06-12,2,0.08,0.41,2,0,0.0,0.0,0,21,1.25,4.4,30,0,0.0,0.0,0,6,0.25,1.22,6,9,0.38,1.84,9,8,0.33,1.63,8
56b6b,2019-06-30,12-18,2,0.08,0.41,2,0,0.0,0.0,0,3,0.17,0.64,4,2,0.08,0.41,2,4,0.25,0.9,6,6,0.38,1.35,9,3,0.21,0.72,5
56b6b,2019-06-30,18-24,3,0.25,0.74,6,0,0.0,0.0,0,20,2.96,6.2,71,0,0.0,0.0,0,4,0.33,0.96,8,9,1.17,2.35,28,11,1.79,3.45,43
