id,day,quarter,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
099bc,2019-05-19,00-06,0.0,7.0,9,0.0,0.0,0.0,0.0,0.0
099bc,2019-05-19,06-12,2.0,29.0,39,8.0,0.0,19.0,27.0,3.0
099bc,2019-05-19,12-18,2.0,17.0,18,6.0,0.0,20.0,34.0,2.0
099bc,2019-05-19,18-24,0.0,10.0,20,2.0,0.0,2.0,4.0,1.0
099bc,2019-05-20,00-06,0.0,6.0,9,0.0,0.0,0.0,0.0,0.0
099bc,2019-05-20,06-12,10.0,29.0,36,8.0,0.0,25.0,30.0,1.0
099bc,2019-05-20,12-18,14.0,24.0,35,20.0,0.0,24.0,37.0,6.0
099bc,2019-05-20,18-24,0.0,13.0,15,4.0,0.0,5.0,21.0,2.0
099bc,2019-05-21,00-06,0.0,8.0,13,0.0,0.0,0.0,0.0,0.0
099bc,2019-05-21,06-12,8.0,32.0,41,4.0,0.0,16.0,25.0,1.0
099bc,2019-05-21,12-18,10.0,22.0,28,8.0,0.0,33.0,54.0,4.0
099bc,2019-05-21,18-24,2.0,8.0,14,6.0,0.0,7.0,15.0,1.0
099bc,2019-05-22,00-06,0.0,4.0,5,0.0,0.0,0.0,0.0,0.0
099bc,2019-05-22,06-12,2.0,26.0,48,4.0,0.0,16.0,24.0,1.0
099bc,2019-05-22,12-18,2.0,3.0,6,4.0,0.0,6.0,4.0,0.0
099bc,2019-05-22,18-24,5.0,6.0,12,0.0,0.0,10.0,10.0,1.0
099bc,2019-05-23,00-06,0.0,5.0,10,0.0,0.0,0.0,0.0,0.0
099bc,2019-05-23,06-12,4.0,27.0,30,6.0,0.0,6.0,18.0,0.0
099bc,2019-05-23,12-18,20.0,7.0,23,16.0,0.0,14.0,21.0,0.0
099bc,2019-05-23,18-24,10.0,14.0,16,6.0,0.0,12.0,21.0,0.0
099bc,2019-05-24,00-06,0.0,3.0,7,0.0,0.0,0.0,0.0,0.0
099bc,2019-05-24,06-12,10.0,12.0,37,14.0,0.0,17.0,27.0,0.0
099bc,2019-05-24,12-18,14.0,13.0,33,16.0,0.0,36.0,65.0,2.0
099bc,2019-05-24,18-24,4.0,20.0,35,2.0,0.0,7.0,10.0,2.0
099bc,2019-05-25,00-06,0.0,4.0,8,0.0,0.0,0.0,0.0,0.0
099bc,2019-05-25,06-12,2.0,7.0,35,6.0,1.0,16.0,16.0,0.0
099bc,2019-05-25,12-18,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
099bc,2019-05-25,18-24,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
099bc,2019-05-26,00-06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
099bc,2019-05-26,06-12,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
099bc,2019-05-26,12-18,2.0,4.0,9,12.0,2.0,10.0,9.0,1.0
099bc,2019-05-26,18-24,0.0,11.0,23,0.0,0.0,2.0,2.0,0.0
099bc,2019-05-27,00-06,0.0,2.0,6,0.0,0.0,0.0,0.0,0.0
099bc,2019-05-27,06-12,0.0,27.0,32,6.0,3.0,21.0,28.0,11.0
099bc,2019-05-27,12-18,10.0,6.0,12,12.0,0.0,20.0,34.0,0.0
099bc,2019-05-27,18-24,0.0,17.0,28,0.0,0.0,8.0,6.0,1.0
099bc,2019-05-28,00-06,0.0,4.0,6,0.0,0.0,0.0,0.0,0.0
099bc,2019-05-28,06-12,13.0,26.0,39,6.0,0.0,19.0,18.0,0.0
099bc,2019-05-28,12-18,7.0,6.0,5,4.0,2.0,16.0,27.0,1.0
099bc,2019-05-28,18-24,4.0,12.0,18,0.0,0.0,6.0,8.0,0.0
099bc,2019-05-29,00-06,0.0,4.0,6,0.0,0.0,0.0,0.0,0.0
099bc,2019-05-29,06-12,6.0,11.0,29,10.0,0.0,14.0,25.0,2.0
099bc,2019-05-29,12-18,10.0,9.0,22,10.0,0.0,20.0,36.0,1.0
099bc,2019-05-29,18-24,0.0,6.0,13,2.0,0.0,4.0,5.0,0.0
099bc,2019-05-30,00-06,0.0,8.0,14,0.0,0.0,0.0,0.0,0.0
099bc,2019-05-30,06-12,2.0,24.0,36,4.0,0.0,25.0,24.0,3.0
099bc,2019-05-30,12-18,8.0,13.0,16,12.0,0.0,20.0,42.0,3.0
099bc,2019-05-30,18-24,2.0,12.0,25,16.0,0.0,7.0,21.0,1.0
099bc,2019-05-31,00-06,0.0,4.0,7,0.0,0.0,0.0,0.0,0.0
099bc,2019-05-31,06-12,14.0,26.0,33,8.0,0.0,24.0,36.0,1.0
099bc,2019-05-31,12-18,8.0,11.0,22,8.0,0.0,13.0,27.0,1.0
099bc,2019-05-31,18-24,0.0,16.0,19,4.0,0.0,8.0,13.0,2.0
099bc,2019-06-01,00-06,0.0,5.0,10,0.0,0.0,0.0,0.0,0.0
099bc,2019-06-01,06-12,0.0,21.0,38,8.0,2.0,20.0,34.0,2.0
099bc,2019-06-01,12-18,21.0,14.0,28,38.0,4.0,46.0,55.0,8.0
099bc,2019-06-01,18-24,1.0,11.0,28,0.0,0.0,7.0,7.0,2.0
099bc,2019-06-02,00-06,0.0,10.0,19,0.0,0.0,3.0,3.0,1.0
099bc,2019-06-02,06-12,3.0,11.0,29,6.0,0.0,19.0,31.0,3.0
099bc,2019-06-02,12-18,9.0,10.0,12,24.0,0.0,29.0,42.0,15.0
099bc,2019-06-02,18-24,0.0,10.0,9,0.0,0.0,2.0,2.0,0.0
099bc,2019-06-03,00-06,0.0,6.0,6,0.0,0.0,2.0,2.0,0.0
099bc,2019-06-03,06-12,7.0,20.0,40,6.0,3.0,24.0,36.0,3.0
099bc,2019-06-03,12-18,25.0,6.0,28,0.0,0.0,21.0,11.0,4.0
099bc,2019-06-03,18-24,0.0,9.0,16,0.0,0.0,4.0,4.0,0.0
099bc,2019-06-04,00-06,0.0,15.0,25,0.0,0.0,2.0,2.0,0.0
099bc,2019-06-04,06-12,13.0,25.0,39,6.0,0.0,19.0,31.0,0.0
099bc,2019-06-04,12-18,8.0,8.0,13,18.0,0.0,21.0,44.0,3.0
099bc,2019-06-04,18-24,0.0,14.0,16,0.0,0.0,4.0,6.0,0.0
099bc,2019-06-05,00-06,0.0,4.0,12,0.0,0.0,0.0,0.0,0.0
099bc,2019-06-05,06-12,3.0,27.0,48,6.0,0.0,21.0,35.0,1.0
099bc,2019-06-05,12-18,6.0,4.0,14,6.0,0.0,13.0,39.0,0.0
099bc,2019-06-05,18-24,0.0,12.0,10,4.0,0.0,5.0,17.0,1.0
099bc,2019-06-06,00-06,0.0,6.0,8,0.0,0.0,2.0,5.0,0.0
099bc,2019-06-06,06-12,1.0,26.0,22,6.0,0.0,8.0,16.0,0.0
099bc,2019-06-06,12-18,26.0,18.0,17,8.0,0.0,25.0,38.0,5.0
