id,date,6h,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
d93d8,2019-05-25,18-24,8.0,26.0,0.0,12.0,31.0,25.0,34.0
d93d8,2019-05-26,00-06,5.0,37.0,0.0,20.0,12.0,17.0,7.0
d93d8,2019-05-26,06-12,1.0,6.0,0.0,0.0,6.0,8.0,3.0
d93d8,2019-05-26,12-18,16.0,24.0,14.0,14.0,66.0,57.0,55.0
d93d8,2019-05-26,18-24,11.0,4.0,0.0,16.0,38.0,33.0,41.0
d93d8,2019-05-27,00-06,5.0,39.0,0.0,8.0,19.0,15.0,17.0
d93d8,2019-05-27,06-12,21.0,41.0,6.0,16.0,49.0,50.0,22.0
d93d8,2019-05-27,12-18,2.0,4.0,2.0,18.0,11.0,13.0,12.0
d93d8,2019-05-27,18-24,5.0,10.0,0.0,34.0,28.0,23.0,31.0
d93d8,2019-05-28,00-06,4.0,32.0,0.0,12.0,20.0,15.0,8.0
d93d8,2019-05-28,06-12,16.0,24.0,6.0,28.0,52.0,44.0,28.0
d93d8,2019-05-28,12-18,11.0,38.0,6.0,20.0,48.0,30.0,40.0
d93d8,2019-05-28,18-24,3.0,11.0,2.0,4.0,15.0,9.0,25.0
d93d8,2019-05-29,00-06,6.0,52.0,0.0,16.0,15.0,11.0,7.0
d93d8,2019-05-29,06-12,27.0,26.0,4.0,16.0,49.0,22.0,26.0
d93d8,2019-05-29,12-18,14.0,18.0,8.0,30.0,52.0,44.0,53.0
d93d8,2019-05-29,18-24,8.0,2.0,0.0,20.0,23.0,28.0,34.0
d93d8,2019-05-30,00-06,9.0,58.0,0.0,14.0,18.0,13.0,12.0
d93d8,2019-05-30,06-12,25.0,51.0,10.0,24.0,49.0,25.0,31.0
d93d8,2019-05-30,12-18,5.0,21.0,4.0,22.0,30.0,36.0,13.0
d93d8,2019-05-30,18-24,8.0,9.0,0.0,22.0,31.0,29.0,28.0
d93d8,2019-05-31,00-06,5.0,47.0,0.0,16.0,18.0,15.0,13.0
d93d8,2019-05-31,06-12,16.0,39.0,4.0,18.0,32.0,28.0,16.0
d93d8,2019-05-31,12-18,4.0,11.0,14.0,24.0,37.0,38.0,33.0
d93d8,2019-05-31,18-24,8.0,9.0,0.0,30.0,31.0,28.0,44.0
d93d8,2019-06-01,00-06,8.0,50.0,0.0,18.0,25.0,23.0,13.0
d93d8,2019-06-01,06-12,13.0,32.0,0.0,8.0,21.0,20.0,8.0
d93d8,2019-06-01,12-18,11.0,13.0,0.0,32.0,48.0,38.0,42.0
d93d8,2019-06-01,18-24,3.0,5.0,0.0,28.0,22.0,22.0,35.0
d93d8,2019-06-02,00-06,7.0,33.0,0.0,12.0,22.0,10.0,18.0
d93d8,2019-06-02,06-12,14.0,67.0,6.0,28.0,37.0,34.0,19.0
d93d8,2019-06-02,12-18,7.0,6.0,0.0,36.0,17.0,26.0,17.0
d93d8,2019-06-02,18-24,6.0,9.0,2.0,34.0,37.0,33.0,54.0
d93d8,2019-06-03,00-06,9.0,36.0,0.0,8.0,21.0,15.0,12.0
d93d8,2019-06-03,06-12,19.0,31.0,4.0,24.0,40.0,22.0,15.0
d93d8,2019-06-03,12-18,5.0,9.0,2.0,14.0,17.0,13.0,14.0
d93d8,2019-06-03,18-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d93d8,2019-06-04,00-06,6.0,39.0,0.0,0.0,10.0,1.0,1.0
d93d8,2019-06-04,06-12,17.0,20.0,2.0,36.0,47.0,38.0,44.0
d93d8,2019-06-04,12-18,16.0,31.0,4.0,28.0,49.0,38.0,45.0
d93d8,2019-06-04,18-24,8.0,4.0,0.0,19.0,27.0,33.0,33.0
d93d8,2019-06-05,00-06,6.0,33.0,0.0,14.0,23.0,20.0,18.0
d93d8,2019-06-05,06-12,25.0,43.0,2.0,16.0,55.0,49.0,35.0
d93d8,2019-06-05,12-18,9.0,6.0,6.0,30.0,41.0,37.0,50.0
d93d8,2019-06-05,18-24,10.0,17.0,8.0,32.0,43.0,27.0,39.0
d93d8,2019-06-06,00-06,6.0,44.0,0.0,10.0,16.0,14.0,18.0
d93d8,2019-06-06,06-12,16.0,24.0,6.0,32.0,30.0,28.0,13.0
d93d8,2019-06-06,12-18,8.0,17.0,6.0,15.0,29.0,21.0,22.0
d93d8,2019-06-06,18-24,6.0,5.0,0.0,33.0,34.0,33.0,43.0
d93d8,2019-06-07,00-06,10.0,44.0,0.0,20.0,21.0,21.0,8.0
d93d8,2019-06-07,06-12,12.0,38.0,6.0,12.0,25.0,18.0,8.0
d93d8,2019-06-07,12-18,30.0,17.0,6.0,48.0,46.0,45.0,34.0
