id,date,6h,back-door,bedroom,fridge-door,front-door,hallway,kitchen,lounge
a380e,2019-04-29,00-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a380e,2019-04-29,06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a380e,2019-04-29,12-18,0.0,3.0,15.0,6.0,9.0,37.0,71.0
a380e,2019-04-29,18-24,4.0,22.0,12.0,0.0,16.0,60.0,46.0
a380e,2019-04-30,00-06,0.0,10.0,0.0,0.0,0.0,0.0,0.0
a380e,2019-04-30,06-12,4.0,30.0,8.0,0.0,13.0,23.0,30.0
a380e,2019-04-30,12-18,4.0,2.0,4.0,0.0,12.0,19.0,15.0
a380e,2019-04-30,18-24,0.0,18.0,22.0,0.0,11.0,45.0,38.0
a380e,2019-05-01,00-06,0.0,17.0,0.0,0.0,0.0,0.0,0.0
a380e,2019-05-01,06-12,4.0,39.0,11.0,0.0,17.0,24.0,24.0
a380e,2019-05-01,12-18,0.0,5.0,22.0,0.0,7.0,59.0,36.0
a380e,2019-05-01,18-24,4.0,0.0,22.0,0.0,0.0,42.0,30.0
a380e,2019-05-02,00-06,0.0,24.0,0.0,0.0,1.0,3.0,2.0
a380e,2019-05-02,06-12,4.0,29.0,14.0,0.0,14.0,49.0,26.0
a380e,2019-05-02,12-18,12.0,8.0,26.0,0.0,16.0,67.0,58.0
a380e,2019-05-02,18-24,0.0,21.0,26.0,0.0,8.0,64.0,44.0
a380e,2019-05-03,00-06,0.0,12.0,0.0,0.0,0.0,0.0,0.0
a380e,2019-05-03,06-12,4.0,21.0,10.0,0.0,8.0,51.0,35.0
a380e,2019-05-03,12-18,16.0,3.0,10.0,0.0,6.0,30.0,14.0
a380e,2019-05-03,18-24,0.0,13.0,16.0,0.0,4.0,55.0,44.0
a380e,2019-05-04,00-06,0.0,18.0,0.0,0.0,0.0,0.0,0.0
a380e,2019-05-04,06-12,0.0,28.0,8.0,0.0,20.0,55.0,28.0
a380e,2019-05-04,12-18,4.0,12.0,26.0,0.0,15.0,65.0,39.0
a380e,2019-05-04,18-24,4.0,19.0,14.0,0.0,5.0,24.0,25.0
a380e,2019-05-05,00-06,0.0,14.0,0.0,0.0,0.0,0.0,0.0
a380e,2019-05-05,06-12,0.0,32.0,6.0,0.0,19.0,28.0,18.0
a380e,2019-05-05,12-18,8.0,6.0,18.0,0.0,38.0,65.0,33.0
a380e,2019-05-05,18-24,0.0,15.0,24.0,0.0,5.0,31.0,29.0
a380e,2019-05-06,00-06,0.0,14.0,0.0,0.0,0.0,0.0,0.0
a380e,2019-05-06,06-12,0.0,31.0,8.0,0.0,9.0,46.0,38.0
a380e,2019-05-06,12-18,12.0,7.0,20.0,0.0,4.0,52.0,32.0
a380e,2019-05-06,18-24,4.0,12.0,10.0,0.0,7.0,52.0,71.0
a380e,2019-05-07,00-06,0.0,16.0,0.0,0.0,0.0,0.0,0.0
a380e,2019-05-07,06-12,4.0,27.0,10.0,0.0,8.0,32.0,27.0
a380e,2019-05-07,12-18,6.0,9.0,8.0,0.0,19.0,27.0,26.0
a380e,2019-05-07,18-24,0.0,0.0,4.0,0.0,0.0,37.0,19.0
a380e,2019-05-08,00-06,0.0,18.0,8.0,0.0,4.0,12.0,7.0
a380e,2019-05-08,06-12,0.0,32.0,12.0,0.0,13.0,42.0,27.0
a380e,2019-05-08,12-18,4.0,0.0,12.0,0.0,0.0,52.0,25.0
a380e,2019-05-08,18-24,4.0,21.0,18.0,0.0,7.0,55.0,31.0
a380e,2019-05-09,00-06,0.0,13.0,0.0,0.0,0.0,0.0,0.0
a380e,2019-05-09,06-12,0.0,26.0,8.0,0.0,6.0,43.0,27.0
a380e,2019-05-09,12-18,4.0,12.0,12.0,0.0,6.0,57.0,33.0
a380e,2019-05-09,18-24,6.0,15.0,22.0,0.0,3.0,64.0,33.0
a380e,2019-05-10,00-06,0.0,11.0,0.0,0.0,0.0,0.0,0.0
a380e,2019-05-10,06-12,6.0,27.0,14.0,0.0,21.0,31.0,29.0
a380e,2019-05-10,12-18,15.0,0.0,8.0,0.0,2.0,39.0,15.0
a380e,2019-05-10,18-24,4.0,18.0,12.0,0.0,17.0,37.0,29.0
a380e,2019-05-11,00-06,0.0,15.0,0.0,0.0,1.0,9.0,5.0
a380e,2019-05-11,06-12,6.0,23.0,22.0,0.0,9.0,72.0,41.0
a380e,2019-05-11,12-18,4.0,22.0,18.0,0.0,8.0,48.0,35.0
a380e,2019-05-11,18-24,0.0,50.0,2.0,0.0,10.0,16.0,12.0
a380e,2019-05-12,00-06,0.0,13.0,0.0,0.0,0.0,0.0,0.0
a380e,2019-05-12,06-12,1.0,17.0,40.0,0.0,6.0,71.0,36.0
a380e,2019-05-12,12-18,3.0,20.0,14.0,0.0,15.0,25.0,22.0
a380e,2019-05-12,18-24,4.0,12.0,10.0,0.0,9.0,35.0,28.0
a380e,2019-05-13,00-06,0.0,13.0,0.0,0.0,0.0,0.0,0.0
a380e,2019-05-13,06-12,0.0,36.0,12.0,0.0,16.0,46.0,32.0
a380e,2019-05-13,12-18,6.0,2.0,30.0,0.0,10.0,51.0,35.0
a380e,2019-05-13,18-24,2.0,13.0,8.0,0.0,7.0,37.0,24.0
a380e,2019-05-14,00-06,0.0,10.0,0.0,0.0,0.0,0.0,0.0
a380e,2019-05-14,06-12,5.0,26.0,12.0,0.0,14.0,38.0,26.0
a380e,2019-05-14,12-18,11.0,5.0,22.0,0.0,5.0,56.0,39.0
a380e,2019-05-14,18-24,6.0,3.0,4.0,0.0,5.0,39.0,29.0
a380e,2019-05-15,00-06,0.0,21.0,4.0,0.0,1.0,4.0,2.0
a380e,2019-05-15,06-12,2.0,21.0,6.0,0.0,10.0,41.0,39.0
a380e,2019-05-15,12-18,0.0,2.0,4.0,0.0,6.0,30.0,25.0
a380e,2019-05-15,18-24,4.0,19.0,24.0,0.0,3.0,61.0,29.0
a380e,2019-05-16,00-06,0.0,18.0,0.0,0.0,0.0,0.0,0.0
a380e,2019-05-16,06-12,0.0,20.0,12.0,0.0,6.0,75.0,32.0
a380e,2019-05-16,12-18,16.0,3.0,28.0,0.0,17.0,72.0,29.0
a380e,2019-05-16,18-24,9.0,16.0,28.0,0.0,11.0,73.0,28.0
a380e,2019-05-17,00-06,0.0,17.0,0.0,0.0,0.0,0.0,0.0
a380e,2019-05-17,06-12,4.0,23.0,6.0,0.0,9.0,31.0,28.0
a380e,2019-05-17,12-18,2.0,0.0,16.0,0.0,3.0,54.0,45.0
a380e,2019-05-17,18-24,4.0,10.0,12.0,0.0,3.0,60.0,21.0
a380e,2019-05-18,00-06,0.0,19.0,0.0,0.0,0.0,0.0,0.0
a380e,2019-05-18,06-12,0.0,26.0,6.0,0.0,11.0,35.0,41.0
a380e,2019-05-18,12-18,4.0,6.0,23.0,0.0,25.0,61.0,31.0
a380e,2019-05-18,18-24,6.0,17.0,22.0,0.0,6.0,56.0,30.0
a380e,2019-05-19,00-06,0.0,11.0,0.0,0.0,0.0,0.0,0.0
a380e,2019-05-19,06-12,0.0,35.0,10.0,0.0,16.0,41.0,32.0
a380e,2019-05-19,12-18,4.0,4.0,12.0,0.0,7.0,47.0,19.0
a380e,2019-05-19,18-24,0.0,15.0,14.0,0.0,4.0,52.0,34.0
a380e,2019-05-20,00-06,0.0,17.0,0.0,0.0,0.0,0.0,0.0
a380e,2019-05-20,06-12,4.0,27.0,16.0,0.0,22.0,37.0,26.0
a380e,2019-05-20,12-18,0.0,0.0,0.0,0.0,1.0,2.0,1.0
a380e,2019-05-20,18-24,4.0,4.0,16.0,0.0,2.0,49.0,31.0
a380e,2019-05-21,00-06,0.0,16.0,0.0,0.0,0.0,0.0,0.0
