id,date,6h,back-door,bathroom,bedroom,fridge-door,hallway,kitchen,lounge
0efe8,2019-05-14,00-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0efe8,2019-05-14,06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0efe8,2019-05-14,12-18,1.0,0.0,3.0,1.0,13.0,9.0,21.0
0efe8,2019-05-14,18-24,4.0,2.0,6.0,8.0,13.0,14.0,27.0
0efe8,2019-05-15,00-06,0.0,2.0,4.0,0.0,0.0,0.0,0.0
0efe8,2019-05-15,06-12,4.0,8.0,4.0,16.0,56.0,58.0,68.0
0efe8,2019-05-15,12-18,3.0,0.0,0.0,14.0,91.0,41.0,88.0
0efe8,2019-05-15,18-24,10.0,1.0,6.0,4.0,11.0,9.0,22.0
0efe8,2019-05-16,00-06,0.0,2.0,4.0,0.0,0.0,0.0,0.0
0efe8,2019-05-16,06-12,15.0,5.0,3.0,6.0,92.0,26.0,81.0
0efe8,2019-05-16,12-18,2.0,0.0,0.0,8.0,84.0,29.0,73.0
0efe8,2019-05-16,18-24,15.0,1.0,6.0,4.0,24.0,19.0,54.0
0efe8,2019-05-17,00-06,0.0,3.0,5.0,0.0,0.0,0.0,0.0
0efe8,2019-05-17,06-12,15.0,6.0,15.0,4.0,34.0,20.0,62.0
0efe8,2019-05-17,12-18,33.0,0.0,1.0,12.0,51.0,32.0,84.0
0efe8,2019-05-17,18-24,10.0,2.0,5.0,4.0,19.0,14.0,29.0
0efe8,2019-05-18,00-06,0.0,1.0,2.0,0.0,0.0,0.0,0.0
0efe8,2019-05-18,06-12,11.0,8.0,5.0,8.0,60.0,25.0,89.0
0efe8,2019-05-18,12-18,13.0,1.0,1.0,8.0,54.0,23.0,77.0
0efe8,2019-05-18,18-24,4.0,3.0,5.0,4.0,15.0,7.0,68.0
0efe8,2019-05-19,00-06,0.0,1.0,4.0,0.0,0.0,0.0,7.0
0efe8,2019-05-19,06-12,10.0,2.0,5.0,4.0,63.0,37.0,72.0
0efe8,2019-05-19,12-18,2.0,2.0,2.0,2.0,66.0,14.0,62.0
0efe8,2019-05-19,18-24,3.0,3.0,3.0,4.0,6.0,10.0,24.0
0efe8,2019-05-20,00-06,0.0,2.0,2.0,0.0,0.0,0.0,0.0
0efe8,2019-05-20,06-12,0.0,0.0,0.0,0.0,6.0,0.0,7.0
0efe8,2019-05-20,12-18,4.0,1.0,0.0,6.0,46.0,16.0,49.0
0efe8,2019-05-20,18-24,7.0,2.0,5.0,10.0,14.0,10.0,23.0
0efe8,2019-05-21,00-06,0.0,1.0,2.0,0.0,0.0,0.0,9.0
0efe8,2019-05-21,06-12,8.0,1.0,4.0,6.0,71.0,29.0,95.0
0efe8,2019-05-21,12-18,3.0,0.0,0.0,14.0,62.0,16.0,70.0
0efe8,2019-05-21,18-24,5.0,1.0,6.0,8.0,15.0,13.0,21.0
0efe8,2019-05-22,00-06,5.0,3.0,4.0,0.0,6.0,4.0,13.0
0efe8,2019-05-22,06-12,9.0,0.0,3.0,18.0,60.0,37.0,99.0
0efe8,2019-05-22,12-18,4.0,0.0,1.0,4.0,37.0,14.0,38.0
0efe8,2019-05-22,18-24,13.0,2.0,4.0,4.0,23.0,14.0,38.0
0efe8,2019-05-23,00-06,0.0,1.0,4.0,0.0,0.0,0.0,1.0
0efe8,2019-05-23,06-12,16.0,7.0,13.0,4.0,57.0,21.0,82.0
0efe8,2019-05-23,12-18,2.0,0.0,0.0,14.0,73.0,20.0,66.0
0efe8,2019-05-23,18-24,4.0,2.0,3.0,6.0,12.0,9.0,16.0
0efe8,2019-05-24,00-06,2.0,2.0,4.0,0.0,26.0,4.0,10.0
0efe8,2019-05-24,06-12,11.0,3.0,5.0,12.0,56.0,28.0,68.0
