id,date,6h,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen
56b6b,2019-05-02,00-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56b6b,2019-05-02,06-12,14.0,4.0,5.0,25.0,16.0,5.0,3.0
56b6b,2019-05-02,12-18,15.0,6.0,28.0,10.0,8.0,26.0,29.0
56b6b,2019-05-02,18-24,31.0,6.0,21.0,16.0,6.0,20.0,54.0
56b6b,2019-05-03,00-06,0.0,6.0,6.0,0.0,0.0,0.0,0.0
56b6b,2019-05-03,06-12,10.0,9.0,46.0,2.0,8.0,30.0,30.0
56b6b,2019-05-03,12-18,19.0,0.0,22.0,6.0,9.0,32.0,47.0
56b6b,2019-05-03,18-24,17.0,0.0,20.0,10.0,10.0,26.0,53.0
56b6b,2019-05-04,00-06,0.0,0.0,7.0,0.0,0.0,0.0,0.0
56b6b,2019-05-04,06-12,10.0,0.0,51.0,6.0,4.0,29.0,50.0
56b6b,2019-05-04,12-18,21.0,0.0,43.0,4.0,18.0,46.0,61.0
56b6b,2019-05-04,18-24,13.0,0.0,17.0,12.0,0.0,24.0,56.0
56b6b,2019-05-05,00-06,0.0,0.0,4.0,0.0,0.0,0.0,0.0
56b6b,2019-05-05,06-12,4.0,0.0,28.0,2.0,2.0,13.0,20.0
56b6b,2019-05-05,12-18,12.0,0.0,18.0,6.0,4.0,16.0,26.0
56b6b,2019-05-05,18-24,25.0,0.0,38.0,4.0,10.0,36.0,65.0
56b6b,2019-05-06,00-06,0.0,0.0,9.0,0.0,0.0,0.0,0.0
56b6b,2019-05-06,06-12,6.0,0.0,52.0,0.0,9.0,18.0,38.0
56b6b,2019-05-06,12-18,26.0,0.0,23.0,2.0,16.0,37.0,67.0
56b6b,2019-05-06,18-24,0.0,0.0,37.0,0.0,2.0,14.0,15.0
56b6b,2019-05-07,00-06,0.0,0.0,22.0,0.0,0.0,3.0,1.0
56b6b,2019-05-07,06-12,4.0,0.0,10.0,0.0,2.0,11.0,10.0
56b6b,2019-05-07,12-18,1.0,0.0,26.0,4.0,11.0,26.0,28.0
56b6b,2019-05-07,18-24,15.0,0.0,34.0,8.0,16.0,44.0,77.0
56b6b,2019-05-08,00-06,0.0,0.0,13.0,0.0,0.0,0.0,0.0
56b6b,2019-05-08,06-12,12.0,0.0,42.0,4.0,4.0,10.0,19.0
56b6b,2019-05-08,12-18,10.0,0.0,54.0,8.0,12.0,32.0,38.0
56b6b,2019-05-08,18-24,4.0,0.0,32.0,2.0,6.0,20.0,18.0
56b6b,2019-05-09,00-06,0.0,0.0,10.0,0.0,0.0,0.0,0.0
56b6b,2019-05-09,06-12,25.0,0.0,60.0,7.0,12.0,44.0,54.0
56b6b,2019-05-09,12-18,15.0,0.0,34.0,7.0,10.0,45.0,71.0
56b6b,2019-05-09,18-24,22.0,0.0,22.0,4.0,10.0,41.0,52.0
56b6b,2019-05-10,00-06,0.0,0.0,12.0,0.0,0.0,4.0,3.0
56b6b,2019-05-10,06-12,4.0,0.0,34.0,4.0,6.0,25.0,34.0
56b6b,2019-05-10,12-18,12.0,0.0,23.0,4.0,12.0,28.0,30.0
56b6b,2019-05-10,18-24,16.0,0.0,33.0,8.0,10.0,35.0,50.0
56b6b,2019-05-11,00-06,0.0,0.0,5.0,0.0,0.0,0.0,0.0
56b6b,2019-05-11,06-12,6.0,0.0,39.0,2.0,4.0,19.0,18.0
56b6b,2019-05-11,12-18,18.0,0.0,35.0,8.0,10.0,46.0,52.0
56b6b,2019-05-11,18-24,16.0,0.0,7.0,8.0,6.0,24.0,37.0
56b6b,2019-05-12,00-06,0.0,0.0,20.0,0.0,0.0,6.0,5.0
56b6b,2019-05-12,06-12,2.0,0.0,41.0,0.0,2.0,15.0,13.0
56b6b,2019-05-12,12-18,12.0,0.0,24.0,2.0,4.0,22.0,38.0
