id,date,hour,back-door,bedroom,fridge-door,front-door,hallway,kitchen,lounge
714d7,2019-04-29,14,1.0,6.0,1.0,1.0,5.0,3.0,3.0
714d7,2019-04-29,15,5.0,11.0,19.0,7.0,20.0,21.0,15.0
714d7,2019-04-29,16,0.0,1.0,0.0,10.0,9.0,8.0,6.0
714d7,2019-04-29,17,1.0,0.0,0.0,0.0,8.0,7.0,8.0
714d7,2019-04-29,18,1.0,0.0,0.0,0.0,3.0,2.0,4.0
714d7,2019-04-29,19,0.0,0.0,0.0,0.0,0.0,0.0,1.0
714d7,2019-04-29,20,0.0,1.0,4.0,2.0,3.0,7.0,3.0
714d7,2019-04-29,21,0.0,5.0,2.0,0.0,4.0,9.0,6.0
714d7,2019-04-29,22,0.0,1.0,0.0,0.0,0.0,0.0,0.0
714d7,2019-04-30,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
714d7,2019-04-30,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0
714d7,2019-04-30,5,0.0,3.0,0.0,0.0,1.0,1.0,0.0
714d7,2019-04-30,6,0.0,7.0,4.0,2.0,3.0,5.0,1.0
714d7,2019-04-30,7,1.0,5.0,6.0,0.0,3.0,9.0,0.0
714d7,2019-04-30,8,0.0,2.0,4.0,0.0,4.0,8.0,0.0
714d7,2019-04-30,9,0.0,0.0,2.0,0.0,0.0,3.0,0.0
714d7,2019-04-30,10,1.0,0.0,0.0,0.0,0.0,1.0,0.0
714d7,2019-04-30,11,1.0,0.0,6.0,0.0,0.0,5.0,0.0
714d7,2019-04-30,12,0.0,0.0,2.0,2.0,2.0,2.0,4.0
714d7,2019-04-30,13,7.0,2.0,4.0,2.0,9.0,10.0,7.0
714d7,2019-04-30,14,3.0,0.0,2.0,4.0,5.0,5.0,6.0
714d7,2019-04-30,15,0.0,0.0,0.0,4.0,8.0,8.0,9.0
714d7,2019-04-30,16,1.0,1.0,0.0,0.0,7.0,7.0,13.0
714d7,2019-04-30,17,0.0,2.0,0.0,0.0,11.0,8.0,10.0
714d7,2019-04-30,18,0.0,0.0,2.0,2.0,5.0,5.0,6.0
714d7,2019-04-30,19,2.0,1.0,0.0,0.0,4.0,3.0,3.0
714d7,2019-04-30,22,0.0,2.0,0.0,2.0,4.0,4.0,0.0
714d7,2019-04-30,23,0.0,2.0,0.0,0.0,0.0,0.0,0.0
714d7,2019-05-01,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0
714d7,2019-05-01,5,0.0,3.0,0.0,0.0,0.0,0.0,0.0
714d7,2019-05-01,8,1.0,16.0,4.0,2.0,5.0,5.0,0.0
714d7,2019-05-01,9,0.0,0.0,14.0,0.0,0.0,9.0,0.0
714d7,2019-05-01,10,0.0,0.0,2.0,4.0,6.0,4.0,7.0
714d7,2019-05-01,11,0.0,4.0,6.0,2.0,8.0,14.0,8.0
714d7,2019-05-01,12,0.0,0.0,4.0,0.0,2.0,7.0,1.0
714d7,2019-05-01,13,0.0,0.0,0.0,2.0,3.0,5.0,2.0
714d7,2019-05-01,14,0.0,0.0,0.0,0.0,0.0,4.0,0.0
714d7,2019-05-01,16,1.0,0.0,0.0,0.0,1.0,2.0,2.0
714d7,2019-05-01,17,0.0,0.0,2.0,2.0,10.0,6.0,9.0
714d7,2019-05-01,18,0.0,0.0,0.0,0.0,8.0,8.0,13.0
714d7,2019-05-01,19,0.0,1.0,0.0,2.0,4.0,3.0,3.0
714d7,2019-05-01,20,0.0,2.0,0.0,0.0,4.0,5.0,3.0
714d7,2019-05-01,21,0.0,0.0,0.0,0.0,8.0,10.0,7.0
714d7,2019-05-01,22,0.0,3.0,0.0,0.0,1.0,1.0,2.0
714d7,2019-05-01,23,0.0,2.0,0.0,0.0,0.0,0.0,0.0
714d7,2019-05-02,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0
714d7,2019-05-02,8,0.0,8.0,4.0,0.0,3.0,2.0,0.0
714d7,2019-05-02,9,1.0,4.0,8.0,12.0,12.0,17.0,2.0
714d7,2019-05-02,10,0.0,0.0,4.0,0.0,0.0,4.0,0.0
714d7,2019-05-02,11,0.0,0.0,4.0,0.0,0.0,5.0,0.0
714d7,2019-05-02,12,0.0,0.0,6.0,0.0,1.0,8.0,1.0
714d7,2019-05-02,13,1.0,4.0,4.0,8.0,11.0,10.0,8.0
714d7,2019-05-02,17,4.0,1.0,6.0,8.0,11.0,10.0,7.0
714d7,2019-05-02,18,6.0,1.0,0.0,2.0,7.0,10.0,9.0
714d7,2019-05-02,19,4.0,0.0,4.0,0.0,8.0,9.0,7.0
714d7,2019-05-02,20,2.0,3.0,0.0,0.0,6.0,5.0,3.0
714d7,2019-05-02,21,0.0,2.0,0.0,0.0,2.0,0.0,1.0
714d7,2019-05-02,22,0.0,4.0,0.0,0.0,3.0,4.0,3.0
714d7,2019-05-02,23,0.0,2.0,0.0,0.0,0.0,1.0,0.0
714d7,2019-05-03,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
714d7,2019-05-03,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0
714d7,2019-05-03,7,0.0,4.0,0.0,0.0,0.0,1.0,0.0
714d7,2019-05-03,8,0.0,11.0,8.0,2.0,6.0,9.0,3.0
714d7,2019-05-03,9,1.0,2.0,16.0,6.0,21.0,19.0,14.0
714d7,2019-05-03,10,0.0,0.0,4.0,0.0,7.0,11.0,0.0
714d7,2019-05-03,11,0.0,0.0,0.0,0.0,9.0,8.0,1.0
714d7,2019-05-03,12,0.0,0.0,4.0,0.0,5.0,5.0,1.0
714d7,2019-05-03,13,1.0,2.0,4.0,6.0,13.0,6.0,6.0
714d7,2019-05-03,14,6.0,1.0,0.0,8.0,8.0,7.0,5.0
714d7,2019-05-03,15,0.0,0.0,2.0,2.0,2.0,2.0,8.0
714d7,2019-05-03,16,0.0,0.0,2.0,0.0,5.0,5.0,5.0
714d7,2019-05-03,17,0.0,0.0,4.0,0.0,6.0,8.0,10.0
714d7,2019-05-03,18,0.0,1.0,2.0,2.0,10.0,10.0,11.0
714d7,2019-05-03,19,2.0,0.0,0.0,0.0,1.0,1.0,1.0
714d7,2019-05-03,20,0.0,3.0,0.0,0.0,2.0,3.0,1.0
714d7,2019-05-03,22,0.0,4.0,0.0,2.0,3.0,3.0,1.0
714d7,2019-05-04,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
714d7,2019-05-04,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
714d7,2019-05-04,7,0.0,1.0,0.0,0.0,1.0,3.0,0.0
714d7,2019-05-04,8,1.0,11.0,6.0,6.0,11.0,18.0,4.0
714d7,2019-05-04,9,0.0,0.0,8.0,0.0,1.0,11.0,0.0
714d7,2019-05-04,10,3.0,0.0,8.0,0.0,2.0,6.0,0.0
