id,date,hour,back-door,bathroom,bedroom,fridge-door,kitchen
a539e,2019-05-03,12,7.0,11.0,10.0,11.0,8.0
a539e,2019-05-03,13,2.0,3.0,1.0,2.0,10.0
a539e,2019-05-03,14,0.0,0.0,0.0,4.0,6.0
a539e,2019-05-03,15,0.0,5.0,4.0,0.0,2.0
a539e,2019-05-03,16,2.0,5.0,6.0,2.0,5.0
a539e,2019-05-03,18,9.0,4.0,9.0,0.0,9.0
a539e,2019-05-03,19,0.0,0.0,1.0,8.0,8.0
a539e,2019-05-03,20,0.0,5.0,4.0,2.0,13.0
a539e,2019-05-03,21,4.0,0.0,1.0,2.0,5.0
a539e,2019-05-03,22,2.0,5.0,5.0,2.0,3.0
a539e,2019-05-04,0,0.0,0.0,1.0,0.0,0.0
a539e,2019-05-04,4,0.0,2.0,2.0,5.0,3.0
a539e,2019-05-04,5,8.0,5.0,2.0,4.0,14.0
a539e,2019-05-04,6,0.0,0.0,1.0,4.0,2.0
a539e,2019-05-04,7,0.0,6.0,3.0,18.0,10.0
a539e,2019-05-04,8,0.0,15.0,4.0,4.0,8.0
a539e,2019-05-04,9,15.0,1.0,0.0,10.0,16.0
a539e,2019-05-04,10,0.0,10.0,10.0,4.0,14.0
a539e,2019-05-04,11,0.0,5.0,3.0,0.0,15.0
a539e,2019-05-04,12,30.0,3.0,2.0,10.0,18.0
a539e,2019-05-04,13,10.0,6.0,3.0,0.0,8.0
a539e,2019-05-04,16,5.0,6.0,0.0,4.0,6.0
a539e,2019-05-04,17,7.0,4.0,1.0,4.0,12.0
a539e,2019-05-04,18,5.0,4.0,5.0,10.0,17.0
a539e,2019-05-04,19,4.0,2.0,3.0,2.0,11.0
a539e,2019-05-04,20,9.0,2.0,0.0,0.0,19.0
a539e,2019-05-04,21,8.0,2.0,3.0,0.0,6.0
a539e,2019-05-04,22,4.0,0.0,5.0,10.0,11.0
a539e,2019-05-04,23,14.0,3.0,7.0,0.0,12.0
a539e,2019-05-05,0,0.0,4.0,4.0,0.0,0.0
a539e,2019-05-05,2,0.0,2.0,2.0,0.0,0.0
a539e,2019-05-05,6,2.0,2.0,4.0,2.0,8.0
a539e,2019-05-05,7,0.0,15.0,8.0,4.0,8.0
a539e,2019-05-05,8,6.0,14.0,6.0,29.0,23.0
a539e,2019-05-05,9,0.0,7.0,2.0,18.0,22.0
a539e,2019-05-05,10,4.0,4.0,4.0,4.0,16.0
a539e,2019-05-05,11,4.0,4.0,1.0,0.0,8.0
a539e,2019-05-05,15,0.0,1.0,0.0,0.0,0.0
a539e,2019-05-05,16,0.0,2.0,0.0,2.0,4.0
a539e,2019-05-06,6,0.0,0.0,1.0,0.0,0.0
a539e,2019-05-06,7,2.0,0.0,0.0,2.0,4.0
a539e,2019-05-06,8,0.0,0.0,0.0,0.0,3.0
a539e,2019-05-06,9,0.0,0.0,0.0,0.0,1.0
a539e,2019-05-06,10,0.0,0.0,0.0,0.0,2.0
a539e,2019-05-06,13,0.0,0.0,0.0,0.0,1.0
a539e,2019-05-06,17,2.0,2.0,0.0,0.0,2.0
a539e,2019-05-06,18,0.0,2.0,2.0,2.0,2.0
a539e,2019-05-06,19,2.0,0.0,0.0,0.0,4.0
a539e,2019-05-06,20,0.0,1.0,0.0,2.0,7.0
a539e,2019-05-06,21,0.0,0.0,0.0,0.0,1.0
a539e,2019-05-06,23,2.0,0.0,2.0,0.0,1.0
a539e,2019-05-07,1,0.0,1.0,0.0,0.0,1.0
a539e,2019-05-07,8,2.0,1.0,1.0,2.0,6.0
a539e,2019-05-07,9,0.0,0.0,2.0,5.0,8.0
a539e,2019-05-07,10,0.0,2.0,1.0,0.0,1.0
a539e,2019-05-07,11,0.0,3.0,0.0,0.0,0.0
a539e,2019-05-07,14,0.0,2.0,0.0,0.0,0.0
a539e,2019-05-07,15,2.0,0.0,1.0,0.0,1.0
a539e,2019-05-07,16,0.0,0.0,0.0,0.0,2.0
a539e,2019-05-07,19,0.0,0.0,0.0,0.0,10.0
a539e,2019-05-07,20,0.0,1.0,0.0,0.0,2.0
a539e,2019-05-07,21,0.0,0.0,2.0,0.0,0.0
a539e,2019-05-08,6,2.0,4.0,1.0,0.0,6.0
a539e,2019-05-08,7,0.0,0.0,0.0,0.0,1.0
a539e,2019-05-08,8,2.0,0.0,0.0,0.0,4.0
a539e,2019-05-08,9,0.0,0.0,0.0,0.0,11.0
a539e,2019-05-08,10,0.0,0.0,0.0,0.0,5.0
a539e,2019-05-08,11,0.0,1.0,0.0,0.0,1.0
a539e,2019-05-08,12,0.0,0.0,0.0,0.0,7.0
a539e,2019-05-08,16,0.0,1.0,0.0,0.0,8.0
a539e,2019-05-08,17,0.0,1.0,1.0,0.0,3.0
a539e,2019-05-09,2,0.0,0.0,0.0,0.0,1.0
a539e,2019-05-09,6,0.0,0.0,0.0,0.0,1.0
a539e,2019-05-09,8,2.0,1.0,1.0,0.0,10.0
