id,date,hour,back-door,bedroom,fridge-door,front-door,hallway,kitchen,lounge
a380e,2019-04-29,12,0.0,1.0,1.0,0.0,3.0,5.0,19.0
a380e,2019-04-29,13,0.0,2.0,4.0,6.0,6.0,14.0,21.0
a380e,2019-04-29,14,0.0,0.0,2.0,0.0,0.0,6.0,11.0
a380e,2019-04-29,15,0.0,0.0,0.0,0.0,0.0,0.0,6.0
a380e,2019-04-29,16,0.0,0.0,0.0,0.0,0.0,8.0,6.0
a380e,2019-04-29,17,0.0,0.0,8.0,0.0,0.0,4.0,8.0
a380e,2019-04-29,18,4.0,1.0,4.0,0.0,1.0,14.0,14.0
a380e,2019-04-29,19,0.0,3.0,4.0,0.0,3.0,11.0,13.0
a380e,2019-04-29,20,0.0,0.0,0.0,0.0,0.0,0.0,2.0
a380e,2019-04-29,21,0.0,4.0,2.0,0.0,1.0,20.0,5.0
a380e,2019-04-29,22,0.0,12.0,2.0,0.0,7.0,9.0,7.0
a380e,2019-04-29,23,0.0,2.0,0.0,0.0,4.0,6.0,5.0
a380e,2019-04-30,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
a380e,2019-04-30,1,0.0,4.0,0.0,0.0,0.0,0.0,0.0
a380e,2019-04-30,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0
a380e,2019-04-30,4,0.0,4.0,0.0,0.0,0.0,0.0,0.0
a380e,2019-04-30,6,0.0,11.0,0.0,0.0,2.0,3.0,2.0
a380e,2019-04-30,7,0.0,4.0,0.0,0.0,4.0,3.0,17.0
a380e,2019-04-30,8,0.0,13.0,4.0,0.0,4.0,10.0,6.0
a380e,2019-04-30,9,4.0,2.0,4.0,0.0,3.0,7.0,5.0
a380e,2019-04-30,16,0.0,2.0,2.0,0.0,9.0,16.0,9.0
a380e,2019-04-30,17,4.0,0.0,2.0,0.0,3.0,3.0,6.0
a380e,2019-04-30,18,0.0,0.0,4.0,0.0,0.0,5.0,6.0
a380e,2019-04-30,19,0.0,0.0,0.0,0.0,2.0,7.0,6.0
a380e,2019-04-30,20,0.0,0.0,14.0,0.0,0.0,12.0,9.0
a380e,2019-04-30,21,0.0,2.0,4.0,0.0,2.0,8.0,6.0
a380e,2019-04-30,22,0.0,7.0,0.0,0.0,4.0,12.0,8.0
a380e,2019-04-30,23,0.0,9.0,0.0,0.0,3.0,1.0,3.0
a380e,2019-05-01,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
a380e,2019-05-01,1,0.0,3.0,0.0,0.0,0.0,0.0,0.0
a380e,2019-05-01,2,0.0,3.0,0.0,0.0,0.0,0.0,0.0
a380e,2019-05-01,4,0.0,8.0,0.0,0.0,0.0,0.0,0.0
