id,date,hour,back-door,bathroom,bedroom,fridge-door,hallway,lounge
0f352,2019-06-28,23,0.0,4.0,0.0,4.0,0.0,6.0
0f352,2019-06-29,0,0.0,7.0,4.0,6.0,3.0,10.0
0f352,2019-06-29,3,0.0,0.0,2.0,0.0,0.0,0.0
0f352,2019-06-29,5,0.0,0.0,0.0,0.0,0.0,1.0
0f352,2019-06-29,6,0.0,1.0,0.0,0.0,1.0,2.0
0f352,2019-06-29,7,0.0,3.0,3.0,0.0,2.0,4.0
0f352,2019-06-29,8,0.0,10.0,0.0,12.0,0.0,5.0
0f352,2019-06-29,9,0.0,11.0,0.0,8.0,2.0,2.0
0f352,2019-06-29,10,2.0,19.0,7.0,16.0,4.0,6.0
0f352,2019-06-29,11,2.0,6.0,0.0,14.0,1.0,3.0
0f352,2019-06-29,12,0.0,23.0,0.0,16.0,2.0,8.0
0f352,2019-06-29,13,0.0,17.0,1.0,4.0,2.0,6.0
0f352,2019-06-29,14,0.0,17.0,0.0,0.0,1.0,3.0
0f352,2019-06-29,15,0.0,21.0,1.0,0.0,0.0,0.0
0f352,2019-06-29,16,1.0,20.0,2.0,0.0,1.0,2.0
0f352,2019-06-29,17,16.0,17.0,0.0,0.0,1.0,1.0
0f352,2019-06-29,18,2.0,19.0,1.0,15.0,4.0,10.0
0f352,2019-06-29,19,0.0,20.0,0.0,17.0,0.0,6.0
0f352,2019-06-29,20,4.0,20.0,0.0,6.0,4.0,6.0
0f352,2019-06-29,21,0.0,9.0,2.0,1.0,2.0,5.0
0f352,2019-06-29,22,0.0,5.0,4.0,13.0,2.0,7.0
0f352,2019-06-29,23,0.0,5.0,0.0,2.0,1.0,5.0
0f352,2019-06-30,0,0.0,12.0,2.0,4.0,2.0,13.0
0f352,2019-06-30,1,0.0,2.0,0.0,6.0,0.0,3.0
0f352,2019-06-30,3,0.0,0.0,2.0,0.0,0.0,0.0
0f352,2019-06-30,4,0.0,0.0,1.0,0.0,0.0,0.0
0f352,2019-06-30,6,0.0,0.0,1.0,0.0,0.0,0.0
0f352,2019-06-30,7,0.0,7.0,0.0,6.0,2.0,3.0
0f352,2019-06-30,8,0.0,3.0,0.0,2.0,0.0,2.0
0f352,2019-06-30,9,0.0,13.0,0.0,10.0,0.0,7.0
0f352,2019-06-30,10,0.0,0.0,0.0,0.0,0.0,2.0
0f352,2019-06-30,11,0.0,3.0,0.0,6.0,0.0,2.0
0f352,2019-06-30,12,0.0,14.0,4.0,6.0,6.0,5.0
0f352,2019-06-30,13,2.0,23.0,0.0,24.0,0.0,8.0
0f352,2019-06-30,14,0.0,13.0,0.0,6.0,0.0,5.0
0f352,2019-06-30,15,0.0,7.0,0.0,0.0,1.0,2.0
0f352,2019-06-30,16,0.0,6.0,0.0,6.0,1.0,0.0
0f352,2019-06-30,17,0.0,16.0,0.0,6.0,3.0,8.0
0f352,2019-06-30,18,0.0,10.0,0.0,0.0,1.0,5.0
0f352,2019-06-30,19,0.0,7.0,8.0,0.0,1.0,3.0
0f352,2019-06-30,20,2.0,17.0,3.0,4.0,6.0,11.0
0f352,2019-06-30,21,0.0,10.0,0.0,22.0,0.0,6.0
0f352,2019-06-30,22,0.0,5.0,0.0,0.0,2.0,5.0
0f352,2019-06-30,23,0.0,2.0,2.0,0.0,2.0,2.0
