id,date,hour,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
d93d8,2019-05-08,13,1.0,6.0,1.0,1.0,10.0,7.0,7.0
d93d8,2019-05-08,14,4.0,5.0,6.0,8.0,15.0,18.0,9.0
d93d8,2019-05-08,15,2.0,2.0,3.0,16.0,7.0,12.0,3.0
d93d8,2019-05-08,16,1.0,1.0,0.0,4.0,5.0,5.0,2.0
d93d8,2019-05-08,17,2.0,5.0,0.0,4.0,5.0,11.0,4.0
d93d8,2019-05-08,18,2.0,2.0,0.0,12.0,10.0,18.0,4.0
d93d8,2019-05-08,19,1.0,0.0,0.0,6.0,8.0,6.0,8.0
d93d8,2019-05-08,20,1.0,0.0,0.0,0.0,1.0,1.0,5.0
d93d8,2019-05-08,21,0.0,1.0,0.0,8.0,2.0,2.0,8.0
d93d8,2019-05-08,22,1.0,0.0,0.0,2.0,3.0,1.0,5.0
d93d8,2019-05-08,23,3.0,3.0,0.0,0.0,6.0,2.0,12.0
d93d8,2019-05-09,0,4.0,2.0,0.0,2.0,6.0,0.0,4.0
d93d8,2019-05-09,1,1.0,2.0,0.0,2.0,8.0,10.0,7.0
d93d8,2019-05-09,2,1.0,7.0,0.0,2.0,2.0,1.0,3.0
d93d8,2019-05-09,3,0.0,14.0,0.0,5.0,1.0,2.0,0.0
d93d8,2019-05-09,4,2.0,11.0,0.0,3.0,4.0,3.0,1.0
d93d8,2019-05-09,5,3.0,8.0,0.0,0.0,3.0,0.0,1.0
d93d8,2019-05-09,6,1.0,8.0,0.0,2.0,8.0,5.0,0.0
d93d8,2019-05-09,7,7.0,5.0,0.0,8.0,11.0,20.0,3.0
d93d8,2019-05-09,8,17.0,10.0,0.0,2.0,16.0,5.0,13.0
d93d8,2019-05-09,9,5.0,10.0,4.0,8.0,15.0,9.0,11.0
d93d8,2019-05-09,14,0.0,3.0,4.0,3.0,6.0,6.0,0.0
d93d8,2019-05-09,15,4.0,0.0,0.0,15.0,9.0,13.0,6.0
d93d8,2019-05-09,16,4.0,4.0,2.0,10.0,11.0,5.0,7.0
d93d8,2019-05-09,17,3.0,0.0,2.0,11.0,9.0,13.0,8.0
d93d8,2019-05-09,18,1.0,3.0,0.0,25.0,11.0,11.0,7.0
d93d8,2019-05-09,19,2.0,2.0,0.0,5.0,8.0,1.0,13.0
d93d8,2019-05-09,20,1.0,0.0,0.0,4.0,6.0,5.0,10.0
d93d8,2019-05-09,21,0.0,0.0,0.0,8.0,5.0,5.0,9.0
d93d8,2019-05-09,22,3.0,1.0,0.0,2.0,8.0,4.0,8.0
d93d8,2019-05-09,23,1.0,3.0,0.0,2.0,7.0,6.0,12.0
d93d8,2019-05-10,0,2.0,3.0,0.0,2.0,3.0,1.0,7.0
d93d8,2019-05-10,1,1.0,13.0,0.0,0.0,2.0,0.0,0.0
d93d8,2019-05-10,2,0.0,6.0,0.0,1.0,2.0,2.0,2.0
d93d8,2019-05-10,3,1.0,8.0,0.0,5.0,3.0,4.0,0.0
d93d8,2019-05-10,4,2.0,10.0,0.0,0.0,2.0,0.0,0.0
d93d8,2019-05-10,5,0.0,7.0,0.0,0.0,0.0,0.0,0.0
d93d8,2019-05-10,6,2.0,5.0,0.0,0.0,2.0,0.0,0.0
d93d8,2019-05-10,7,4.0,8.0,0.0,10.0,7.0,8.0,1.0
d93d8,2019-05-10,8,15.0,9.0,0.0,10.0,20.0,16.0,8.0
d93d8,2019-05-10,9,3.0,8.0,4.0,2.0,6.0,1.0,1.0
d93d8,2019-05-10,13,2.0,3.0,2.0,0.0,7.0,7.0,3.0
d93d8,2019-05-10,14,3.0,2.0,2.0,4.0,11.0,11.0,11.0
d93d8,2019-05-10,15,0.0,2.0,0.0,6.0,5.0,7.0,5.0
d93d8,2019-05-10,16,1.0,0.0,0.0,4.0,12.0,11.0,8.0
d93d8,2019-05-10,17,1.0,2.0,0.0,6.0,5.0,7.0,13.0
d93d8,2019-05-10,18,4.0,13.0,0.0,0.0,15.0,9.0,3.0
d93d8,2019-05-10,19,0.0,1.0,2.0,20.0,12.0,14.0,10.0
d93d8,2019-05-10,20,4.0,2.0,0.0,2.0,8.0,4.0,7.0
d93d8,2019-05-10,21,0.0,1.0,0.0,0.0,1.0,0.0,2.0
d93d8,2019-05-10,22,0.0,3.0,2.0,4.0,9.0,13.0,7.0
d93d8,2019-05-10,23,2.0,1.0,0.0,0.0,3.0,0.0,5.0
d93d8,2019-05-11,0,1.0,7.0,0.0,0.0,1.0,0.0,0.0
d93d8,2019-05-11,1,3.0,2.0,0.0,6.0,11.0,10.0,9.0
d93d8,2019-05-11,2,0.0,9.0,0.0,0.0,1.0,0.0,1.0
d93d8,2019-05-11,3,6.0,11.0,0.0,0.0,6.0,0.0,0.0
d93d8,2019-05-11,4,0.0,2.0,0.0,0.0,0.0,0.0,0.0
d93d8,2019-05-11,5,2.0,5.0,0.0,0.0,3.0,1.0,0.0
d93d8,2019-05-11,6,3.0,6.0,0.0,4.0,6.0,8.0,2.0
d93d8,2019-05-11,7,1.0,1.0,0.0,0.0,3.0,4.0,1.0
d93d8,2019-05-11,8,2.0,4.0,0.0,12.0,5.0,16.0,4.0
d93d8,2019-05-11,9,2.0,2.0,0.0,4.0,5.0,5.0,2.0
d93d8,2019-05-11,10,3.0,0.0,0.0,10.0,6.0,1.0,7.0
d93d8,2019-05-11,11,1.0,1.0,0.0,6.0,3.0,6.0,1.0
d93d8,2019-05-11,12,5.0,3.0,0.0,22.0,12.0,15.0,18.0
d93d8,2019-05-11,13,1.0,1.0,0.0,2.0,6.0,6.0,6.0
d93d8,2019-05-11,14,2.0,5.0,0.0,0.0,5.0,2.0,10.0
d93d8,2019-05-11,15,1.0,0.0,0.0,0.0,5.0,1.0,7.0
d93d8,2019-05-11,16,2.0,2.0,0.0,6.0,9.0,8.0,5.0
d93d8,2019-05-11,17,3.0,3.0,6.0,7.0,10.0,15.0,7.0
d93d8,2019-05-11,18,3.0,0.0,0.0,9.0,15.0,19.0,8.0
d93d8,2019-05-11,19,0.0,0.0,0.0,7.0,3.0,2.0,3.0
d93d8,2019-05-11,20,2.0,2.0,0.0,3.0,6.0,5.0,6.0
d93d8,2019-05-11,21,0.0,0.0,0.0,0.0,0.0,0.0,2.0
d93d8,2019-05-11,22,2.0,0.0,0.0,8.0,7.0,6.0,11.0
d93d8,2019-05-11,23,1.0,1.0,0.0,0.0,2.0,0.0,6.0
d93d8,2019-05-12,0,3.0,3.0,0.0,4.0,8.0,8.0,12.0
d93d8,2019-05-12,1,0.0,8.0,0.0,0.0,0.0,0.0,0.0
d93d8,2019-05-12,2,1.0,7.0,0.0,0.0,2.0,0.0,0.0
d93d8,2019-05-12,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0
d93d8,2019-05-12,4,1.0,5.0,0.0,0.0,2.0,0.0,0.0
d93d8,2019-05-12,5,2.0,7.0,0.0,8.0,4.0,7.0,0.0
d93d8,2019-05-12,6,2.0,9.0,0.0,0.0,2.0,0.0,0.0
d93d8,2019-05-12,7,2.0,6.0,0.0,0.0,2.0,0.0,0.0
d93d8,2019-05-12,8,3.0,6.0,0.0,2.0,4.0,3.0,1.0
d93d8,2019-05-12,9,0.0,0.0,0.0,2.0,0.0,21.0,0.0
d93d8,2019-05-12,10,6.0,4.0,0.0,16.0,11.0,26.0,7.0
d93d8,2019-05-12,11,4.0,3.0,0.0,2.0,6.0,4.0,4.0
d93d8,2019-05-12,12,3.0,1.0,0.0,0.0,3.0,1.0,4.0
d93d8,2019-05-12,13,1.0,0.0,0.0,8.0,8.0,23.0,6.0
d93d8,2019-05-12,14,6.0,0.0,0.0,0.0,6.0,3.0,2.0
d93d8,2019-05-12,15,0.0,2.0,0.0,6.0,7.0,7.0,5.0
d93d8,2019-05-12,16,4.0,1.0,0.0,10.0,8.0,9.0,5.0
d93d8,2019-05-12,17,2.0,1.0,0.0,0.0,5.0,4.0,8.0
d93d8,2019-05-12,18,4.0,1.0,0.0,10.0,19.0,17.0,16.0
d93d8,2019-05-12,19,0.0,1.0,0.0,2.0,3.0,2.0,5.0
d93d8,2019-05-12,20,2.0,1.0,0.0,6.0,3.0,4.0,8.0
d93d8,2019-05-12,21,0.0,0.0,0.0,0.0,1.0,1.0,6.0
d93d8,2019-05-12,22,1.0,0.0,0.0,0.0,1.0,0.0,5.0
d93d8,2019-05-12,23,0.0,1.0,0.0,2.0,5.0,4.0,5.0
d93d8,2019-05-13,0,3.0,2.0,0.0,2.0,7.0,7.0,8.0
d93d8,2019-05-13,1,1.0,7.0,0.0,2.0,4.0,1.0,4.0
d93d8,2019-05-13,2,2.0,5.0,0.0,0.0,2.0,0.0,2.0
d93d8,2019-05-13,3,0.0,6.0,0.0,0.0,1.0,0.0,1.0
d93d8,2019-05-13,4,2.0,9.0,0.0,0.0,2.0,0.0,0.0
d93d8,2019-05-13,5,0.0,3.0,0.0,0.0,0.0,0.0,0.0
d93d8,2019-05-13,6,3.0,5.0,0.0,0.0,3.0,6.0,1.0
d93d8,2019-05-13,7,2.0,3.0,0.0,4.0,2.0,5.0,1.0
d93d8,2019-05-13,8,8.0,6.0,0.0,12.0,8.0,12.0,0.0
d93d8,2019-05-13,9,7.0,13.0,4.0,8.0,19.0,15.0,9.0
d93d8,2019-05-13,10,0.0,2.0,0.0,0.0,6.0,2.0,6.0
d93d8,2019-05-13,11,1.0,0.0,0.0,0.0,1.0,0.0,7.0
d93d8,2019-05-13,12,1.0,4.0,1.0,2.0,12.0,6.0,12.0
d93d8,2019-05-13,13,3.0,5.0,1.0,26.0,13.0,10.0,11.0
d93d8,2019-05-13,14,0.0,1.0,0.0,6.0,13.0,16.0,9.0
d93d8,2019-05-13,15,1.0,0.0,0.0,2.0,3.0,2.0,4.0
d93d8,2019-05-13,16,1.0,2.0,0.0,6.0,8.0,8.0,9.0
d93d8,2019-05-13,17,3.0,3.0,0.0,7.0,8.0,7.0,7.0
d93d8,2019-05-13,18,4.0,0.0,0.0,9.0,14.0,23.0,5.0
d93d8,2019-05-13,19,1.0,0.0,0.0,12.0,6.0,5.0,6.0
d93d8,2019-05-13,20,4.0,3.0,4.0,2.0,10.0,5.0,12.0
d93d8,2019-05-13,21,0.0,2.0,0.0,8.0,4.0,6.0,8.0
d93d8,2019-05-13,22,1.0,0.0,0.0,0.0,3.0,3.0,11.0
d93d8,2019-05-13,23,0.0,5.0,0.0,8.0,6.0,3.0,11.0
d93d8,2019-05-14,0,2.0,1.0,0.0,4.0,11.0,10.0,13.0
d93d8,2019-05-14,1,0.0,6.0,0.0,0.0,0.0,0.0,0.0
d93d8,2019-05-14,2,1.0,9.0,0.0,6.0,2.0,2.0,0.0
d93d8,2019-05-14,3,3.0,7.0,0.0,0.0,4.0,0.0,0.0
d93d8,2019-05-14,4,1.0,7.0,0.0,0.0,2.0,0.0,0.0
d93d8,2019-05-14,5,2.0,6.0,0.0,4.0,5.0,2.0,1.0
d93d8,2019-05-14,6,2.0,3.0,0.0,0.0,2.0,0.0,0.0
d93d8,2019-05-14,7,4.0,7.0,0.0,10.0,7.0,10.0,1.0
d93d8,2019-05-14,8,18.0,13.0,0.0,5.0,17.0,13.0,5.0
d93d8,2019-05-14,9,1.0,2.0,2.0,6.0,11.0,7.0,11.0
d93d8,2019-05-14,10,2.0,2.0,2.0,4.0,8.0,5.0,10.0
d93d8,2019-05-14,11,6.0,0.0,0.0,8.0,12.0,9.0,7.0
d93d8,2019-05-14,12,1.0,0.0,0.0,8.0,7.0,14.0,11.0
